tb_name,code
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_中央銀行_資產-年,EF23Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_中央銀行_資產-月,EF23M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_中央銀行_負債-年,EF25Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_中央銀行_負債-月,EF25M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_其他貨幣機構合併報表_資產-年,EF27Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_其他貨幣機構合併報表_資產-月,EF27M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_其他貨幣機構合併報表_負債-年,EF29Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_其他貨幣機構合併報表_負債-月,EF29M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_本國銀行_資產-年,EF43Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_本國銀行_資產-月,EF43M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_本國銀行_負債-年,EF45Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_本國銀行_負債-月,EF45M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_外國銀行_資產-年,EF47Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_外國銀行_資產-月,EF47M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_外國銀行_負債-年,EF49Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_外國銀行_負債-月,EF49M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_信用合作社_資產-年,EF55Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_信用合作社_資產-月,EF55M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_信用合作社_負債-年,EF57Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_信用合作社_負債-月,EF57M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_農漁會信用部_資產-年,EF59Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_農漁會信用部_資產-月,EF59M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_農漁會信用部_負債-年,EF61Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_農漁會信用部_負債-月,EF61M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_中華郵政儲匯處_資產-年,EF63Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_中華郵政儲匯處_資產-月,EF63M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_中華郵政儲匯處_負債-年,EF64Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_中華郵政儲匯處_負債-月,EF64M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_貨幣市場基金_資產負債-年,EG65Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_貨幣市場基金_資產負債-月,EG65M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_信託投資公司_資產負債-年,EF65Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_信託投資公司_資產負債-月,EF65M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_人壽保險公司_資產負債-年,EF67Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_人壽保險公司_資產負債-月,EF67M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_產物保險公司_資產負債-年,EG05Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_產物保險公司_資產負債-月,EG05M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_中央存款保險公司_資產負債-年,EG03Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_中央存款保險公司_資產負債-月,EG03M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_票券金融公司_資產負債-年,EG07Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_票券金融公司_資產負債-月,EG07M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_證券金融公司_資產負債-年,EGA9Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_證券金融公司_資產負債-月,EGA9M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_國際金融業務分行_資產負債統計表_資產負債-月,EGA7M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_國際金融業務分行_期限分析表_資產負債-季,EGC7Q01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_科目別_年,EI75Y01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_科目別_月,EI75M01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_存戶行業別_年,EI77Y01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_存戶行業別_月,EI77M01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_存戶部門別_年,EI79Y01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_存戶部門別_月,EI79M01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_定期存款-期限別_月,EI80M01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_定期儲蓄存款-期限別_月,EI81M01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_定期存款-存戶別_月,EIA1M01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_定期儲蓄存款-存戶別_月,EI82M01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_定期存款-額度別_月,EI83M01.px
中央銀行統計資料庫_金融統計月報_全體銀行存款餘額統計表_定期儲蓄存款-額度別_月,EI84M01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_科目別_年,EI85Y01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_科目別_月,EI85M01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_借戶部門別_年,EI86Y01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_借戶部門別_月,EI86M01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_借戶行業別_年,EI87Y01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_借戶行業別_月,EI87M01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_額度別_年,EI97Y01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_額度別_月,EI97M01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_期限別_年,EI98Y01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_期限別_月,EI98M01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_對公民營製造業放款餘額_年,E95GY01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_對公民營製造業放款餘額_月,E95GM01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_消費者貸款及建築貸款餘額_年,EF99Y01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_消費者貸款及建築貸款餘額_月,EF99M01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_外幣放款餘額_年,EG01Y01.px
中央銀行統計資料庫_金融統計月報_全體銀行放款餘額統計表_外幣放款餘額_月,EG01M01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款金額機構別_年,EG11Y01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款金額機構別_月,EG11M01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款金額機構別_日,EG11D01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款餘額機構別_年,EG13Y01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款餘額機構別_月,EG13M01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款餘額機構別_日,EG13D01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款金額期限別_年,EG15Y01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款金額期限別_月,EG15M01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款金額期限別_日,EG15D01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款餘額期限別_年,EG16Y01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款餘額期限別_月,EG16M01.px
中央銀行統計資料庫_金融統計月報_金融業拆款市場_拆款餘額期限別_日,EG16D01.px
中央銀行統計資料庫_金融統計月報_票券市場_交易金額工具別_年,EG17Y01.px
中央銀行統計資料庫_金融統計月報_票券市場_交易金額工具別_月,EG17M01.px
中央銀行統計資料庫_金融統計月報_票券市場_交易金額對象別_年,EG19Y01.px
中央銀行統計資料庫_金融統計月報_票券市場_交易金額對象別_月,EG19M01.px
中央銀行統計資料庫_金融統計月報_票券市場_發行、償還及餘額_年,EG21Y01.px
中央銀行統計資料庫_金融統計月報_票券市場_發行、償還及餘額_月,EG21M01.px
中央銀行統計資料庫_金融統計月報_債券市場_債劵交易金額_年,EG23Y01.px
中央銀行統計資料庫_金融統計月報_債券市場_債劵交易金額_月,EG23M01.px
中央銀行統計資料庫_金融統計月報_債券市場_政府公債發行、償還及餘額_年,EGA4Y01.px
中央銀行統計資料庫_金融統計月報_債券市場_政府公債發行、償還及餘額_月,EGA4M01.px
中央銀行統計資料庫_金融統計月報_債券市場_國內公司債及金融債劵發行、償還及餘額_年,EGB4Y01.px
中央銀行統計資料庫_金融統計月報_債券市場_國內公司債及金融債劵發行、償還及餘額_月,EGB4M01.px
中央銀行統計資料庫_金融統計月報_股票市場_股票信用交易_年,EG25Y01.px
中央銀行統計資料庫_金融統計月報_股票市場_股票信用交易_月,EG25M01.px
中央銀行統計資料庫_金融統計月報_股票市場_股票交易與股價指數_年,EG27Y01.px
中央銀行統計資料庫_金融統計月報_股票市場_股票交易與股價指數_月,EG27M01.px
中央銀行統計資料庫_金融統計月報_利率統計_中央銀行利率_年,EG2AY01.px
中央銀行統計資料庫_金融統計月報_利率統計_中央銀行利率_月,EG2AM01.px
中央銀行統計資料庫_金融統計月報_利率統計_中央銀行利率_調整日,EG28D01.px
中央銀行統計資料庫_金融統計月報_利率統計_五大銀行存放款平均利率_年,EG2BY01.px
中央銀行統計資料庫_金融統計月報_利率統計_五大銀行存放款平均利率_月,EG2BM01.px
中央銀行統計資料庫_金融統計月報_利率統計_主要銀行存放款利率_月,EG2WM01.px
中央銀行統計資料庫_金融統計月報_利率統計_第一銀行存放款牌告利率_日,EG30D01.px
中央銀行統計資料庫_金融統計月報_利率統計_存放款加權平均利率_年,EG39Y01.px
中央銀行統計資料庫_金融統計月報_利率統計_存放款加權平均利率_季,EG39Q01.px
中央銀行統計資料庫_金融統計月報_利率統計_五大銀行新承作放款金額與利率_年,EH45Y01.px
中央銀行統計資料庫_金融統計月報_利率統計_五大銀行新承作放款金額與利率_月,EH45M01.px
中央銀行統計資料庫_金融統計月報_利率統計_金融業拆款利率_年,EG37Y01.px
中央銀行統計資料庫_金融統計月報_利率統計_金融業拆款利率_月,EG37M01.px
中央銀行統計資料庫_金融統計月報_利率統計_金融業拆款利率_日,EG37D01.px
中央銀行統計資料庫_金融統計月報_利率統計_貨幣市場利率_年,EG41Y01.px
中央銀行統計資料庫_金融統計月報_利率統計_貨幣市場利率_月,EG41M01.px
中央銀行統計資料庫_金融統計月報_利率統計_資本市場利率_年,EG43Y01.px
中央銀行統計資料庫_金融統計月報_利率統計_資本市場利率_月,EG43M01.px
中央銀行統計資料庫_金融統計月報_利率統計_民間借貸利率(102年12月資料截止)_月,EG45M01.px
中央銀行統計資料庫_金融統計月報_外匯統計_出進口外匯收支_年,EG46Y01.px
中央銀行統計資料庫_金融統計月報_外匯統計_出進口外匯收支_月,EG46M01.px
中央銀行統計資料庫_金融統計月報_外匯統計_日平均外匯交易量與外匯淨部位_年,EG47Y01.px
中央銀行統計資料庫_金融統計月報_外匯統計_日平均外匯交易量與外匯淨部位_月,EG47M01.px
中央銀行統計資料庫_金融統計月報_外匯統計_台北外幣拆放市場交易_年,EG49Y01.px
中央銀行統計資料庫_金融統計月報_外匯統計_台北外幣拆放市場交易_月,EG49M01.px
中央銀行統計資料庫_金融統計月報_外匯統計_台北外幣拆放市場交易_日,EG4ZD01.px
中央銀行統計資料庫_金融統計月報_外匯統計_美元即期匯率及遠期信用狀美金利率_月,EG51M01.px
中央銀行統計資料庫_金融統計月報_外匯統計_美元即期匯率及遠期信用狀美金利率_日,EG51D01.px
中央銀行統計資料庫_金融統計月報_外匯統計_即期匯率_月,EG52M01.px
中央銀行統計資料庫_金融統計月報_外匯統計_美元兌新台幣遠期匯率_年,EG55Y01.px
中央銀行統計資料庫_金融統計月報_外匯統計_美元兌新台幣遠期匯率_月,EG55M01.px
中央銀行統計資料庫_金融統計月報_外匯統計_美元兌新台幣遠期匯率_日,EG55D01.px
中央銀行統計資料庫_金融統計月報_其他統計_各類金融機構家數_年,EF09Y01.px
中央銀行統計資料庫_金融統計月報_其他統計_各類金融機構家數_月,EF09M01.px
中央銀行統計資料庫_金融統計月報_其他統計_中央銀行公開市場操作_年,EG60Y01.px
中央銀行統計資料庫_金融統計月報_其他統計_中央銀行公開市場操作_月,EG60M01.px
中央銀行統計資料庫_金融統計月報_其他統計_中央銀行公開市場操作_日,EG60D01.px
中央銀行統計資料庫_金融統計月報_其他統計_票據交換及存款不足退票數額_年,EF70Y01.px
中央銀行統計資料庫_金融統計月報_其他統計_票據交換及存款不足退票數額_月,EF70M01.px
中央銀行統計資料庫_金融統計月報_其他統計_主要支付系統_年,EG77Y01.px
中央銀行統計資料庫_金融統計月報_其他統計_主要支付系統_月,EG77M01.px
中央銀行統計資料庫_金融統計月報_其他統計_本國銀行存款借記總額及回轉次數_年,EF69Y01.px
中央銀行統計資料庫_金融統計月報_其他統計_本國銀行存款借記總額及回轉次數_月,EF69M01.px
中央銀行統計資料庫_金融統計月報_其他統計_信用卡及金融機構自動櫃員機業務統計_年,EG02Y01.px
中央銀行統計資料庫_金融統計月報_其他統計_信用卡及金融機構自動櫃員機業務統計_月,EG02M01.px
中央銀行統計資料庫_金融統計月報_其他統計_全體貨幣機構放款與投資-以公平價值衡量_年,EG75Y01.px
中央銀行統計資料庫_金融統計月報_其他統計_全體貨幣機構放款與投資-以公平價值衡量_月,EG75M01.px
中央銀行統計資料庫_金融統計月報_其他統計_間接金融年增率_年,EG73Y01.px
中央銀行統計資料庫_金融統計月報_其他統計_間接金融年增率_月,EG73M01.px
中央銀行統計資料庫_國際收支與國際投資部位_國際收支_所有項目_年,BPP2Y01.px
中央銀行統計資料庫_國際收支與國際投資部位_國際收支_所有項目_季,BPP2Q01.px
中央銀行統計資料庫_國際收支與國際投資部位_國際投資部位_所有項目_年,BPF4Y01.px
中央銀行統計資料庫_資金流量統計_資金流量_年,FL01_cn.px
中央銀行統計資料庫_資金流量統計_金融性資產負債餘額_年,FL02_cn.px
