ID,Length_cm,Weight_g,Species,Scientific Name,Inspector,Measurement Date
204,42,2689,Galapagos penguin,Spheniscus mendiculus,Elbert,1991/6/26
205,65,5034,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1990/9/19
206,76,7658,Gentoo penguin,Pygoscelis papua,Charpentier,1990/9/28
207,55,2452,Galapagos penguin,Spheniscus mendiculus,Charpentier,1991/6/8
208,47,781,Little penguin,Eudyptula minor,Antisthenes,1990/12/27
209,47,2981,Galapagos penguin,Spheniscus mendiculus,Alisha,1990/9/29
210,,1092,Galapagos penguin,Spheniscus mendiculus,Janet,1991/6/4
211,73,3311,Chinstrap penguin,Pygoscelis antarcticus,Raymond,1990/9/21
212,72,3262,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/12/12
213,42,1144,Little penguin,Eudyptula minor,Raymond,1990/12/31
214,86,6027,Gentoo penguin,Pygoscelis papua,Charpentier,1991/3/14
215,,1164,Galapagos penguin,Spheniscus mendiculus,Charpentier,1990/12/30
216,32,1282,Little penguin,Eudyptula minor,Elbert,1991/6/27
217,56,2045,Galapagos penguin,Spheniscus mendiculus,Elbert,1991/6/20
218,67,6336,Gentoo penguin,Pygoscelis papua,Raymond,1990/12/27
219,49,866,Little penguin,Eudyptula minor,Elbert,1991/3/5
221,51,1246,Little penguin,Eudyptula minor,Raymond,1991/3/10
222,51,4247,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1991/3/25
223,42,2859,Galapagos penguin,Spheniscus mendiculus,Alisha,1990/9/26
224,67,6018,Gentoo penguin,Pygoscelis papua,Raymond,1991/3/1
225,35,971,Little penguin,Eudyptula minor,Raymond,1990/9/10
226,97,,Gentoo penguin,Pygoscelis papua,Bannier,1991/3/19
227,40,726,Little penguin,Eudyptula minor,Charpentier,1991/3/14
228,76,3532,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1991/3/14
229,78,6038,Gentoo penguin,Pygoscelis papua,Bannier,1991/3/8
230,55,1984,Galapagos penguin,Spheniscus mendiculus,Raymond,1990/9/7
231,,6712,Gentoo penguin,Pygoscelis papua,Charpentier,1991/6/22
232,44,936,Little penguin,Eudyptula minor,Janet,1991/3/3
233,36,1002,Little penguin,Eudyptula minor,Charpentier,1991/6/21
234,55,3530,Chinstrap penguin,Pygoscelis antarcticus,Raymond,1990/9/12
235,97,5931,Gentoo penguin,Pygoscelis papua,Antisthenes,1990/9/26
236,52,3446,Chinstrap penguin,Pygoscelis antarcticus,Raymond,1991/6/14
237,33,766,Little penguin,Eudyptula minor,Alisha,1990/12/18
238,44,1281,Little penguin,Eudyptula minor,Raymond,1991/6/22
239,43,925,Little penguin,Eudyptula minor,Janet,1991/3/15
240,51,3025,Galapagos penguin,Spheniscus mendiculus,Alisha,1990/9/21
241,89,9059,Gentoo penguin,Pygoscelis papua,Charpentier,1991/3/25
242,42,948,Little penguin,Eudyptula minor,Antisthenes,1990/9/3
243,75,5976,Gentoo penguin,Pygoscelis papua,Alisha,1991/6/10
244,36,2957,Galapagos penguin,Spheniscus mendiculus,Alisha,1991/6/6
245,109,8523,Gentoo penguin,Pygoscelis papua,Charpentier,1990/9/11
246,41,1049,Little penguin,Eudyptula minor,Elbert,1990/9/14
247,48,2639,Galapagos penguin,Spheniscus mendiculus,Antisthenes,1991/3/10
248,35,1796,Galapagos penguin,Spheniscus mendiculus,Charpentier,1990/9/3
193,81,7322,Gentoo penguin,Pygoscelis papua,Alisha,1990/12/18
249,94,7643,Gentoo penguin,Pygoscelis papua,Alisha,1991/3/15
250,48,1198,Little penguin,Eudyptula minor,Elbert,1991/6/2
251,71,5537,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/9/3
252,89,6712,Gentoo penguin,Pygoscelis papua,Elbert,1990/12/23
253,51,726,Little penguin,Eudyptula minor,Elbert,1991/6/7
254,36,2121,Galapagos penguin,Spheniscus mendiculus,Janet,1991/6/17
255,64,6291,Gentoo penguin,Pygoscelis papua,Charpentier,1990/9/25
256,37,1141,Little penguin,Eudyptula minor,Raymond,1991/3/30
257,80,4768,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1990/9/9
259,51,1005,Little penguin,Eudyptula minor,Bannier,1990/9/10
260,58,2054,Galapagos penguin,Spheniscus mendiculus,Antisthenes,1990/12/23
261,53,5368,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1990/12/22
262,63,2970,Galapagos penguin,Spheniscus mendiculus,Alisha,1990/9/7
263,53,2587,Galapagos penguin,Spheniscus mendiculus,Charpentier,1990/9/19
264,33,972,Little penguin,Eudyptula minor,Alisha,1991/6/23
265,82,3178,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1991/3/14
266,61,2975,Galapagos penguin,Spheniscus mendiculus,Alisha,1991/3/27
267,54,2043,Galapagos penguin,Spheniscus mendiculus,Raymond,1990/9/22
268,33,831,Little penguin,Eudyptula minor,Bannier,1991/3/22
269,70,3371,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/12/13
270,111,8373,Gentoo penguin,Pygoscelis papua,Elbert,1991/6/21
271,44,2509,Galapagos penguin,Spheniscus mendiculus,Charpentier,1991/3/29
272,53,1299,Little penguin,Eudyptula minor,Antisthenes,1991/6/25
273,48,5340,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/12/31
274,42,995,Little penguin,Eudyptula minor,Raymond,1991/3/2
275,62,8055,Gentoo penguin,Pygoscelis papua,Alisha,1990/12/21
277,111,,Gentoo penguin,Pygoscelis papua,Alisha,1991/3/21
278,36,1140,Little penguin,Eudyptula minor,Elbert,1990/12/1
279,73,6839,Gentoo penguin,Pygoscelis papua,Janet,1990/9/16
280,105,5158,Gentoo penguin,Pygoscelis papua,Janet,1991/6/13
281,54,5285,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1991/3/27
282,42,774,Little penguin,Eudyptula minor,Charpentier,1990/9/10
283,,877,Little penguin,Eudyptula minor,Charpentier,1991/6/13
284,,5694,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1990/9/4
285,54,3153,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1991/3/22
286,66,5308,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1991/6/19
287,,728,Galapagos penguin,Spheniscus mendiculus,Charpentier,1990/9/12
288,38,956,Little penguin,Eudyptula minor,Elbert,1990/9/11
289,63,6919,Gentoo penguin,Pygoscelis papua,Janet,1990/12/22
290,,6080,Gentoo penguin,Pygoscelis papua,Raymond,1991/3/5
291,71,6432,Gentoo penguin,Pygoscelis papua,Bannier,1991/6/23
292,112,6125,Gentoo penguin,Pygoscelis papua,Elbert,1991/6/19
293,45,3027,Galapagos penguin,Spheniscus mendiculus,Bannier,1991/6/24
294,41,862,Little penguin,Eudyptula minor,Bannier,1990/9/7
295,48,2623,Galapagos penguin,Spheniscus mendiculus,Alisha,1991/3/23
296,44,710,Little penguin,Eudyptula minor,Charpentier,1991/3/11
297,48,1914,Galapagos penguin,Spheniscus mendiculus,Janet,1990/9/24
298,100,8635,Gentoo penguin,Pygoscelis papua,Charpentier,1990/12/6
299,62,2180,Galapagos penguin,Spheniscus mendiculus,Elbert,1991/6/29
300,39,1124,Little penguin,Eudyptula minor,Antisthenes,1991/6/16
301,48,4205,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1990/9/16
302,53,805,Little penguin,Eudyptula minor,Elbert,1990/12/28
303,60,1902,Galapagos penguin,Spheniscus mendiculus,Alisha,1991/6/12
304,55,1173,Little penguin,Eudyptula minor,Janet,1990/12/2
305,,5215,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1991/3/8
306,38,1857,Galapagos penguin,Spheniscus mendiculus,Janet,1991/3/9
307,50,1252,Little penguin,Eudyptula minor,Antisthenes,1991/6/15
308,56,,Galapagos penguin,Spheniscus mendiculus,Janet,1991/6/27
309,,718,Little penguin,Eudyptula minor,Alisha,1991/3/2
310,45,1043,Little penguin,Eudyptula minor,Elbert,1991/3/24
311,54,3681,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1990/9/18
312,47,864,Little penguin,Eudyptula minor,Raymond,1990/12/14
313,88,6844,Gentoo penguin,Pygoscelis papua,Raymond,1990/12/13
314,50,2105,Galapagos penguin,Spheniscus mendiculus,Bannier,1991/6/15
315,33,953,Little penguin,Eudyptula minor,Elbert,1990/12/1
316,40,1135,Little penguin,Eudyptula minor,Janet,1990/12/4
317,37,976,Little penguin,Eudyptula minor,Bannier,1990/12/24
318,60,5226,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/9/10
319,101,7529,Gentoo penguin,Pygoscelis papua,Bannier,1991/3/1
320,,843,Galapagos penguin,Spheniscus mendiculus,Charpentier,1991/6/16
321,74,4525,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1990/12/19
322,36,1966,Galapagos penguin,Spheniscus mendiculus,Alisha,1991/3/19
323,64,7654,Gentoo penguin,Pygoscelis papua,Alisha,1991/3/5
324,50,3758,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/9/7
325,67,6841,Gentoo penguin,Pygoscelis papua,Elbert,1991/6/30
326,35,1183,Little penguin,Eudyptula minor,Janet,1991/3/26
327,54,2341,Galapagos penguin,Spheniscus mendiculus,Raymond,1990/9/6
328,40,2875,Galapagos penguin,Spheniscus mendiculus,Janet,1990/12/27
329,44,1958,Galapagos penguin,Spheniscus mendiculus,Alisha,1991/3/5
330,,6188,Gentoo penguin,Pygoscelis papua,Raymond,1990/9/15
331,48,5846,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1991/6/30
332,34,1175,Little penguin,Eudyptula minor,Charpentier,1990/9/21
333,68,7288,Gentoo penguin,Pygoscelis papua,Alisha,1991/3/25
334,64,3752,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1991/3/8
335,45,2300,Galapagos penguin,Spheniscus mendiculus,Antisthenes,1991/3/11
336,53,897,Little penguin,Eudyptula minor,Janet,1990/9/17
337,37,812,Little penguin,Eudyptula minor,Antisthenes,1990/9/22
338,74,6013,Gentoo penguin,Pygoscelis papua,Charpentier,1990/9/11
