,評等,評語
24,5.0,今晚到園邸店用餐，是事先預約的，所以預約時間的前十分鐘左右報到，帶著家人來用餐，但是因為家母眼睛不好，加上其他人並未攙扶，這部分是我們的不對，所以沒有注意到台階，不小心跌倒。但是非常感謝屋馬的工作人員，馬上來關心之外，還讓家母坐著休息時，準備了冰塊跟開水，甚至到入座前都還很關心家母的狀況，我真心覺得這間店非常優秀！ ⋯⋯更多今晚到園邸店用餐，是事先預約的，所以預約時間的前十分鐘左右報到，帶著家人來用餐，但是因為家母眼睛不好，加上其他人並未攙扶，這部分是我們的不對，所以沒有注意到台階，不小心跌倒。但是非常感謝屋馬的工作人員，馬上來關心之外，還讓家母坐著休息時，準備了冰塊跟開水，甚至到入座前都還很關心家母的狀況，我真心覺得這間店非常優秀！食材都很優質，且中間過程不斷的來更換烤網，感謝30跟88！（抱歉只記得編號嗚嗚嗚）這樣的服務精神我真的很敬佩，謝謝屋馬給我一個跟家人聚會的美好回憶，也謝謝每一位服務人員的用心努力，之後一定還會再來光顧的！
25,5.0,食材新鮮，服務親切
26,4.0,國慶連假第一天中午來用餐常聽朋友說訂位時間到了都要額外再等好幾分鐘才能入座 ⋯⋯更多國慶連假第一天中午來用餐常聽朋友說訂位時間到了都要額外再等好幾分鐘才能入座這次訂了13:00大約中午12:40登記已進來到了13:05帶位入座都還在合理範圍點完餐後的五分鐘內雞湯也上了肉質、新鮮度都還是很好吃過好幾間分店換網的速度也很快也會主動詢問需要網子的更換嗎唯一一個小缺點是是否上一組的客人弄到座位下方地板一小塊油油的希望可以加強前一組客人坐過位置的清潔度
27,5.0,用餐時間是在中秋連假期間的某天晚上滿想著開店已經有些日子 外加客源一直爆滿狀態 服務態度及餐點品質也許並不佳沒想到的是 ⋯⋯更多用餐時間是在中秋連假期間的某天晚上滿想著開店已經有些日子 外加客源一直爆滿狀態 服務態度及餐點品質也許並不佳沒想到的是服務及餐點品質很對得起價位甚至更勝用餐期間內的烤網更換次數、餐點擺放距離過遠的調整及空盤更換和盤子換新、不定時的遞上濕紙巾擦拭手上的油膩外加店內的空間也很不錯 一點都不擁擠且地板、桌椅的整潔度也都很高個人還蠻推薦的  不過服務人員倒是忘了😂
28,3.0,沙拉跟海鮮粥好吃肉品口感不錯整體下來份量很足 ⋯⋯更多沙拉跟海鮮粥好吃肉品口感不錯整體下來份量很足時常更換烤網很優但餐具及環境衛生有待加強
29,5.0,服務很好，賓至如歸，肉質新鮮，美味可口
30,5.0,服務很好！
31,5.0,雞湯超好喝全牛餐cp值也蠻高的....服務也不錯👍
32,5.0,好吃，服務很好。
33,3.0,温馨的舊式酒店，停車場空間尚可
34,5.0,好吃，肉質優，服務好，換烤網超快，吃的算飽。價格偏高但還可接受。我是平日來就爆滿要先預約唷。假日更難約。總而言之用餐算愉快唷。
35,5.0,(由 Google 提供翻譯) 日本和牛真好吃(原始評論)日本和牛真好吃
36,1.0,2020091119:49進場用餐，告知限用餐到21:10入座位置：包3（面廁所正門口一公尺） ⋯⋯更多2020091119:49進場用餐，告知限用餐到21:10入座位置：包3（面廁所正門口一公尺）服務員：冬瓜兩人點選2880三人套餐。從入座開始就感覺節奏非常緊湊沒有任何介紹，好險有來用餐過不然我朋友根本不知道要怎麼點餐。中間有一位男服務生上粥品時，踩到我全白的鞋子...（我昨天才剛送洗完）不知道是真的不知道，還是裝作不知道？！一句不吭就離開了，呵呵OK那就算了中間一度飛蟲飛來飛去...OK那就算了直到吃甜點時才發現哈囉，我們不是點三人套餐，為何小姐從頭到尾只出兩杯飲料跟甜點？經過詢問確認好幾次才釐清確實少點少送我吃飽要離開妳才要補給我，有用？不是差那一杯飲料一份甜點感覺非常差。服務熱情，但流程都不到位餐點尚可，座位環境空調小，飛蟲飛來飛去（邊吃邊流汗，後續反應有改善一點）接待sop明顯未落實，用餐體驗很差！第一次來園邸店不用排隊，是不是越來越退步了9月中，事後播打給我當日同行友人，說要再來電向我詢問瞭解，如今到10/10號沒消沒息！客訴處理機制也真有效率，誠意十足呢！
37,3.0,很普，太難訂位導致期望太高服務生很好但食物就很一般燒烤店那樣😐
38,2.0,好吃是好吃，不過晚上9.30入場說用餐時間兩個小時，入座後過半小時才上菜，們十點才能開吃，重點是10點吃到11點10幾分服務生一直催外面有訂位的11點客人很生氣，我才更生氣吧吃個飯聽你們趕客人趕兩次，我都不想說了，看google評論原來這家店趕客人不是一次，很多人都沒用餐到兩小時，要賺錢也要節制吧，到處趕客人，你們google回應都官方然後也沒確實改善
39,5.0,肉質很好 豬肉跟牛肉都很刷嘴 價格雖然有點高不過cp值剛好服務人員冬瓜超級棒的，很積極的要替我們服務，態度也很好
40,5.0,肉質非常鮮美
41,1.0,電話都打不通 打30幾通不想辦法處理？用網路訂位不是也很好、知道哪時有空哪時沒空
42,5.0,真的好吃😋服務又非常好👍很難不去第二次，店內用餐氣氛又很優秀
43,3.0,可能是聽朋友介紹期待太高了，點了雙人套餐，大致上是好吃的，但是感覺上不會是想要很快再訪的店，經常需要訂位可以避免久候。
44,5.0,人非常多 但是不會刻意趕客人 服務態度良好!
45,3.0,覺得餐點食材部份全部都還好…純粹就是去吃氣氛的…
46,5.0,服務好，牛肉👍，羊肉不會有腥味，還有最好喝的雞湯，重點服務好，去台中必吃
47,5.0,從澎湖去台中玩特地去吃～果然名不虛傳 好吃服務超好 下次有去台中一定會再訪😍
48,5.0,今天9/30收到回復，店家忙碌又辛苦，真的是很有禮貌與用心詢問當天情況，相信肯定是當天生意太好無法面面俱到，真的是很棒的餐廳。
49,5.0,好吃的燒肉
50,5.0,(由 Google 提供翻譯) 很好吃(原始評論)很好吃
51,5.0,服務與燒肉品質真的維持的很好，但是有一點不解的是，給客人使用的盤子、放生肉的盤子，怎麼會都是「塑膠的」，已經吃很多次了，只是這次中秋去用餐，覺得這點感覺不好，應該不是為了要省成本，而犧牲顧客的用餐品質吧（？
52,4.0,熱雞湯無限供應勤換烤盤
53,4.0,找不到停車位
54,5.0,服務很好，很幸運遇到一位很好的服務人員66服務好，用心對待每一位客人，謝謝您☺️餐點的話推薦薄切和厚切的牛小排系列 ⋯⋯更多服務很好，很幸運遇到一位很好的服務人員66服務好，用心對待每一位客人，謝謝您☺️餐點的話推薦薄切和厚切的牛小排系列太高價的沒點所以不清楚口味勤換烤網很用心火力部分因為可能火太大所以要一直很認真烤烤完後吃點心時才發現原來可以調整推薦+60升級海鮮粥訂位部分不好訂電話訂位常常只訂到深夜時段所以可以提早到店排現場侯位幸運有別人取消的話就可以排到這次現場侯位留電話後離開居然10分鐘內就接到電話說排到了可能因為是下午三點多去現場問的最後是畫盤服務是屋馬的特色之一一定要預定一下唷收到中秋節系列的畫盤👍
55,5.0,讚啦
56,3.0,店員服務態度非常好不過若較注重兩人用餐的氣氛的話 實在不推薦因為兩人的座位安排有機率被安排在大桌子 ⋯⋯更多店員服務態度非常好不過若較注重兩人用餐的氣氛的話 實在不推薦因為兩人的座位安排有機率被安排在大桌子可能跟隔壁桌的人非常靠近希望可以改進
57,5.0,人很多但服務態度一樣好棒棒
58,5.0,肉質很新鮮
59,5.0,我們家的員工每次中秋聚會必到的地點他們覺得屋馬這一家的服務最棒
60,4.0,氣氛擺盤肉質沒有想像中的理想。和牛跟原燒的口感差異不大(可能是個人差異)
61,5.0,第一次吃屋馬就被圈粉從坐下來喝到雞湯的一開始😂😂😂
62,5.0,東西不錯吃 廁所有點小
63,5.0,還是這家好吃服務又好
64,2.0,不是難吃，但是也不令人驚艷，對於主餐肉品沒有太深刻的記憶，服務很好所以服務費值得，但是如何讓顧客有下一次要吃燒肉是第一個想到的就是屋馬該做的功課，多言了！感謝
65,5.0,東西好吃不用說，服務也很好👍中秋連假 辛苦你們了～～
66,5.0,"超級好吃！！！服務超棒,反正就是很推薦來吃"
67,5.0,雞湯濃郁，可以調整鹹度，服務貼心，吃完烤肉身上可以沒有烤肉味😊😊
68,1.0,"建議不要現場候位,原因如下:1. 早上11點開店去登記現場候位，一直等到14:00，服務人員告知要看15:00有沒有人取消才能候補，從外縣市來候位三小時等不到就離開了，建議訂不到位置的人，趕時間或有其他安排行程，就不要現場候位，因為要等原先訂位取消是很碰運氣的事情 ⋯⋯更多建議不要現場候位,原因如下:1. 早上11點開店去登記現場候位，一直等到14:00，服務人員告知要看15:00有沒有人取消才能候補，從外縣市來候位三小時等不到就離開了，建議訂不到位置的人，趕時間或有其他安排行程，就不要現場候位，因為要等原先訂位取消是很碰運氣的事情2. 罐頭簡訊回覆消費者建議3. 僅針對貴公司訂位流程評價，應有很大的改善空間"
69,5.0,最強燒肉當之無愧
70,5.0,"服務很好價格也不算太貴,和牛很肥美,唯一就是豬肉味道很不好有點傻眼"
71,5.0,五訪了都是園邸店服務和餐點都是來台中必來的點！！
72,5.0,服務員態度很好，4個人點了2人套餐+3人套餐，覺得份量差不多夠，食量比較小的點剛好夠人數的就行。一開始就附上好喝的高湯而且可以續湯，沙拉也超出意料之外的好吃，肉類算是對的起他的價格，除了和牛之外對其他肉已經沒有印象，但是整體記得是好吃的，難怪這麼多人推薦，的確值得！
73,5.0,服務態度佳，肉品及海鮮粥超好吃的。
74,4.0,服務親切，肉品優良值得一試
75,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
76,5.0,屋馬94讚
77,5.0,服務品質優良☺️雞湯跟海鮮粥超棒😍😍和牛好吃的❤️ ⋯⋯更多服務品質優良☺️雞湯跟海鮮粥超棒😍😍和牛好吃的❤️建議畫盤如果有想要的角色要先說不然就會像我一樣😭最後男友決定自己畫咖波給我😳
78,4.0,凱撒沙拉醬比其他同屋馬少，反應加醬還需要加50元。結帳跟主管反應了，薄荷帥哥主管態度不錯，還滿意
79,5.0,服務很好，勤換網，肉質很好，海鮮也很好吃，當月壽星有驚喜
80,4.0,(由 Google 提供翻譯) 尚可(原始評論)尚可
81,4.0,環境典雅舒適、服務熱誠用心、食材新鮮美味，唯一缺點價位太高。
82,5.0,CP值高，服務態度佳！就是好吃！也無需多說
83,4.0,等待時間還可以肩頸按摩一下，餐點好吃，服務態度超好👍記得要先預約才不用等很久
84,5.0,肉質鮮美，服務親切到位不做作，環境舒適
85,5.0,全牛套餐每一道都超級軟嫩好吃來園邸店第二次了真希望屋馬在北部也可拓展分店！！ ⋯⋯更多全牛套餐每一道都超級軟嫩好吃來園邸店第二次了真希望屋馬在北部也可拓展分店！！我一定天天吃爆😆😆服務人員都很親切熱心整體吃完真的覺得是滿分～和牛套餐的油花吃起來好像偏油了一點太生滿嘴油太熟又好像不到那個價值下次再訪希望服務人員可以示範和牛烤法最強cp值最高的燒肉店❤️海鮮粥必點
86,5.0,實在很好吃，下回可以再來
87,5.0,"肉類精緻豐富,沙拉好吃,加價的海鮮粥料多,雞湯可以無限暢飲,價位雖高但很值得,唯一缺點好的時段真的很難訂位！"
88,5.0,(由 Google 提供翻譯) 肉好吃(原始評論)肉好吃
89,5.0,好吃人很多可先訂位
90,3.0,空調似乎應該整修了。。。。還沒開始烤，一進去就好悶。。。人很多，所以等到很餓，上菜速度跟調配可以再均衡一點更好
91,4.0,慕名而來，觀感普通服務的確不錯，當天服務員好像是西瓜跟芒果兩個都很親切專業，服務周到 ⋯⋯更多慕名而來，觀感普通服務的確不錯，當天服務員好像是西瓜跟芒果兩個都很親切專業，服務周到前菜沙拉不錯，比肉還有記憶點肉品都滿普通的(雖然點的是最便宜的1680套餐)海鮮粥本店最優秀，一定要加點剝蝦服務快速也細心，但蝦子普通甜點冰淇淋都不錯整體來說慕名嘗鮮還可以，不至於後悔，但大概不會再訪
92,2.0,雖然只有訂到最晚一組的位子，但是還是滿心期待的去用餐，整體餐點普通偏上，食材有新鮮，但越來越接近人員收拾時間，服務人員一次幫我們烤起來，說真的冷掉的東西不是很好吃，尚未用餐完的時候，還看到旁邊有人提著一個大的垃圾袋出來，讓人感覺不舒服😭
93,5.0,要我天天吃也不膩～ 好好吃喔😋
94,5.0,"屋馬已經是老招牌,無庸置疑的好吃,店員也都很棒"
95,5.0,這大概是3年半內第10次造訪屋馬了！每一次來都沒有讓人失望。真心希望他們可以在台北開分店！
96,5.0,好吃，服務
97,5.0,不用沾醬就很好吃，服務很好，烤網換的很勤，人非常多，相對有一點吵雜
98,5.0,肉類品質不錯，服務生的態度非常好
99,4.0,（有寫兩段）久仰大名帶家人來吃，點了兩份的雙人全牛套餐，其中一份飯換成海鮮粥，肉品軟嫩油花分布均勻，套餐附有小菜沙拉等都很好吃！餐前還有暖胃的雞湯好讚！店內用餐環境服務都很好店員也很友善。 ⋯⋯更多（有寫兩段）久仰大名帶家人來吃，點了兩份的雙人全牛套餐，其中一份飯換成海鮮粥，肉品軟嫩油花分布均勻，套餐附有小菜沙拉等都很好吃！餐前還有暖胃的雞湯好讚！店內用餐環境服務都很好店員也很友善。唯獨我們用餐時段是下午3-5點，大概4點半的時候就開始感受到男店員在push給壓力，雖然他說善意提醒，但只在我們桌邊遊走或是很快的收完東西，實在感受不太好，入座的時候也未見來幫忙烤肉只有協助烤蝦，我們最後也沒吃到超時，下次可以不用這麼刻意趕人！
100,5.0,50號的女服務員好漂亮又貼心謝謝妳💕
101,5.0,和牛入口即化！服務滿分
102,2.0,不會再訪，因為我愛吃牛，而這邊烤肉的火力過小實在沒辦法烤出好吃的牛肉，愛吃辣也沒有好吃的辣醬選擇，喝雞湯吃吃豬雞海鮮還ok。
103,3.0,第一次光臨沒想到很幸運的坐到會漏水的位子吃到一半突然頭上狂漏水XD一陣混亂⋯⋯ ⋯⋯更多第一次光臨沒想到很幸運的坐到會漏水的位子吃到一半突然頭上狂漏水XD一陣混亂⋯⋯店員幫我們換了座位也幫我們上新的餐點(雖然有些漏上⋯然後詢問了之下打了九折中途店員還上錯餐😱吃完了後還忘了我們打包的餐點值班經理也是有點慌亂😅加上沒有停車位下次不會再光顧了:(
104,5.0,好吃美味 好吃美味 好吃美味好吃所以說三次
105,5.0,人比較多的話有長桌可以一起坐蠻方便的，但還是很難訂，附近停車不好找～
106,3.0,憑心而論整體感覺還不錯，唯一美中不足的是事，是端出來的肉片有些破裂的肉片，有烤幾片吃了，經反應，服務人員有端一盤新的肉片，來換當做補償，說實在話，以貴店價位與名聲，理當在出菜時就篩選掉，不該端出來給客人。
107,1.0,換開發票是公司問題，卻丟給國稅局要我自己去弄，事後打去國稅局問，國稅局回答是本公司要處理，國稅局無法作廢發票，本公司教育訓練欠佳，遇到事情就踢皮球👎👎👎
108,5.0,台中目前最好吃的燒肉價位偏高但值得只是在電話中稍微問了有沒有當月壽星 ⋯⋯更多台中目前最好吃的燒肉價位偏高但值得只是在電話中稍微問了有沒有當月壽星最後竟然端著這份禮物上來真的讓人驚喜！店家貼心程度滿分
109,4.0,🐂2180雙人套餐🔸屋馬主廚沙拉（日式胡麻）🔹韓式泡菜 ⋯⋯更多🐂2180雙人套餐🔸屋馬主廚沙拉（日式胡麻）🔹韓式泡菜🔸屋馬私房小菜（南瓜泥）🔹美國安格斯牛小排（厚）🔸美國安格斯牛小排（薄）🔹美國安格斯極盛貝身牛小排🔸澳洲和牛牛舌🔹美國韓風小牛排🔸屋馬大和海鮮粥🔹北海道干貝*2🔸精選蝦品*2🔹甜品*2🔸飲品*2-肉蠻厚蠻好吃的！不過吃起來其實沒有傳聞中這麼驚艷‼️聽說園邸店是第一家所以好像最好吃是不是分店中最好吃的不得而知但是座位蠻窄的桌上有著陳年黃黃的油垢不是很喜歡而且環境真的很吵雜不過服務真的是最棒的👍一頓飯吃下來烤網主動換了六次～其他跟雲火比就沒那麼令人心動❤️尤其是雞湯跟粥品的味道跟想像中有落差⋯我們一致認為吃完沒有強烈想二訪的那種衝動
110,5.0,服務很好 肉也好吃
111,5.0,聚餐都來這，店員俊男美女讚
112,5.0,生意依然這麼好，東西好吃，服務也不錯
113,5.0,第二次一樣選擇來屋馬園邸店，女服務員65服務貼心也熱情👏👏👏男服務員92活潑熱忱，兩位值得讚揚👍👍👍希望下次來一樣給他們服務！
114,5.0,肉質很好，好吃
115,5.0,台中人的驕傲
116,3.0,雖是好吃，可是座位擁擠，併坐一大群人，人聲雜遝，是在不是用餐的好地方
117,3.0,臺中有名的燒肉店，味道中等，燒肉嘛~ 食材穩定味道就會不錯，現在要吃請務必訂位，不然會等到天荒地老～
118,5.0,服務態度真的是很好我給五個星
119,5.0,此間屋馬真的是全台中，服務最好、最貼心的都只訂園邸店！但是如果餐點肉品不要送那麼快就更完美了🤣每次都會反應，肉送慢一點！
120,2.0,肉品不新鮮 覺得蠻失望
121,5.0,餐點很好吃，服務態度都超好 讚👍
122,5.0,燒肉品質讚，服務態度優良，假日用餐建議要提前預約（因為常客滿），平日避開正餐時間現場候位一下子就可以輪到，很適合情侶或者朋友聚餐，值得推薦，假日停車附近不好找，或者要停放在誠品綠園道附近收費停車場。
123,5.0,好飽
124,3.0,開始退步了，肉量少，品質也退步，沙拉端上桌時我真的有嚇到。沙拉份量也少到像吃剩的台灣美食通病，紅到一個極限也開始走樣
125,5.0,98號來福服務親切，讓我們有一個美好的夜晚，值得推薦
126,5.0,今日用餐服務非常之好，餐點新鮮好吃，特別是32號小宇服務很周到，令我印象深刻，下次還會來關顧
127,5.0,烤肉好吃，雞湯很好喝，店員服務態度佳！
128,4.0,音樂的音量太大，無法輕鬆聊天用餐。廁所環境髒亂。餐點普通。
129,5.0,服務很好，服務員很貼心。
130,5.0,之前有評論過了，這次特地前來更改評論，還記得在8/25那天，我跟朋友一起定位前往屋馬用餐，因為人很多被分派的位子在最裡面的包廂，我們遇到了一位非常棒的服務員，一開始我們像平常一樣的用餐，我發現周圍翻桌之後竟然整個包廂都坐滿了包含我們大約有六七組客人，現場除了偶爾進來送餐以外的服務員，整個包廂只有一個服務員，服務全部六七組客人，她非常棒，表現的非常好，很勤快，我一直看她忙東忙西，她清楚的知道自己該做什麼事情，不論是換烤网的時機，收盤子換小白盤等等，她沒有一刻是站著停下來的，服務 ⋯⋯更多之前有評論過了，這次特地前來更改評論，還記得在8/25那天，我跟朋友一起定位前往屋馬用餐，因為人很多被分派的位子在最裡面的包廂，我們遇到了一位非常棒的服務員，一開始我們像平常一樣的用餐，我發現周圍翻桌之後竟然整個包廂都坐滿了包含我們大約有六七組客人，現場除了偶爾進來送餐以外的服務員，整個包廂只有一個服務員，服務全部六七組客人，她非常棒，表現的非常好，很勤快，我一直看她忙東忙西，她清楚的知道自己該做什麼事情，不論是換烤网的時機，收盤子換小白盤等等，她沒有一刻是站著停下來的，服務我們也好別的客人也好，她很忙卻抱持微笑動作很流暢沒有顯露出疲累，一邊工作還要一邊跟客人聊天，他說他叫冬瓜，在我記憶裡就是忙到沒時間喝水尿尿，卻依然用滿滿熱忱服務大家的冬瓜。我的朋友在用餐的時候，突然跟我說，她覺得這次用餐特別不一樣，她吃的很舒服，覺得很喜歡這個服務人員，聽到她這番話我嚇一跳，因為通常她的標準是很高的，我們來不少次，我第一次聽到她誇服務人員，當然我也很同意她說的，這個服務員真的很棒。所以我要給冬瓜五顆星，鼓勵她！冬瓜好棒棒👍
131,5.0,讚
132,5.0,超好吃的燒肉服務又好壽星有小驚喜
133,5.0,雞湯超爆好喝 粥也超好吃 根本被燒肉耽誤啊😂😂人員服務態度佳 大推👍👍
134,4.0,服務很好沒話講 店有點舊 地板黏黏的 廁所人多要等很久 全肉組合很好吃 但六個人只有一個爐 限時兩小時肉差點烤不完😂
135,4.0,服務態度很好
136,5.0,真的值得來這裡一試好吃覺得不夠吃
137,5.0,這次點的是2980的雙人A5和牛套餐🔹️肉質沒話說，真的很讚!🔸️服務👉🏻服務上很貼心，#65號的布丁人很nice且服務到位 ⋯⋯更多這次點的是2980的雙人A5和牛套餐🔹️肉質沒話說，真的很讚!🔸️服務👉🏻服務上很貼心，#65號的布丁人很nice且服務到位🔹️生日送的生食級干貝很新鮮完全沒有腥味、肉質也算軟嫩🔸️大草蝦👉🏻也是新鮮Q彈，服務人員很熱心的幫忙烤&剝蝦🔹️環境👉🏻always是客滿狀態，如果上一桌客人比較晚，就自然會晚入座，此次我們差不多等了半個多小時才真正入座。也因為人多的關係，餐廳是較吵雜的，如果要吃氣氛的話其實有更適合餐廳🔅整體來說真的很讚，但價位相對較高，所以也不太會因為單純想吃燒肉而來，還有一些cp值更高的餐廳選擇
138,5.0,屋馬果然是屋馬，服務真的非常到位
139,5.0,吃過全台中的烏馬，覺得這間是最好的!
140,5.0,服務好，肉也好吃
141,5.0,(由 Google 提供翻譯) 新鮮的肉和周到的服務。(原始評論) …更多(由 Google 提供翻譯) 新鮮的肉和周到的服務。(原始評論)Fresh meat and nice attentive services.
142,5.0,三人餐可以吃到四個人味道不錯雞湯算是特別的服務
143,5.0,點了兩人份套餐，附餐湯沙拉飲料都非常的棒，感覺附餐比主餐還棒。
144,5.0,雞湯好喝，不過口感比較重沙拉也很好吃，拌得很均勻服務人員用心注意餐盤烤網
145,5.0,前菜到肉品甜點都很棒 尤其是很多料的海鮮粥令我一碗接一碗 雞湯超好喝 服務員很勤快的換烤肉網 服務周到 是間令我想再光顧的好餐廳
146,2.0,來過很多次因為不太餓 想吃點好的但不想點套餐吃那麼撐第一次嘗試單點 但覺得CP值很低 ⋯⋯更多來過很多次因為不太餓 想吃點好的但不想點套餐吃那麼撐第一次嘗試單點 但覺得CP值很低全部皆為單點有A5和牛 和櫻桃鴨和牛的部份名不如實一份四百多到六百多 只有薄薄的四至六片油花也分佈很不均勻 吃起來還有帶筋單點很不推
147,5.0,服務超好~~東西超級好吃非常推薦！！
148,5.0,這間店面在飯店內，裝潢很氣派！服務好！用餐環境舒適！肉質不錯！和牛給的是薄片，若是可以厚一點就更棒了！但和牛這價錢確實便宜！ ⋯⋯更多這間店面在飯店內，裝潢很氣派！服務好！用餐環境舒適！肉質不錯！和牛給的是薄片，若是可以厚一點就更棒了！但和牛這價錢確實便宜！干貝跟蝦都很好吃！粥必點！
149,4.0,好吃的海鮮粥&烤肉服務人員親切～環境稍為有點吵 😂在候位的時候有點亂，同時段預訂先報到的人不一定會先入坐🤨
150,5.0,東西好吃，服務人員很主動服務，肉的品質👍啦~~
151,3.0,優：服務人員服務非常好缺：點三人套餐及單點，同時間餐點一直上，擠的整桌都是還放不下，用餐限制2個小時，根本烤不完，燒肉品質根本不會好。
152,4.0,沒有專屬停車場希望菜單有點變化還是一樣，少許改變或許會更常去！
153,5.0,服務人員超親切。
154,5.0,服務親切～
155,5.0,值得排隊的燒肉，雞湯好喝，服務人員親切，剝蝦技術了得，肉品質很讚，下次有機會再來！
156,5.0,服務人員很貼心 也很有耐心❤️喜歡布丁🍮❤️ 給100分❤️
