宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,裤长,服装版型,组合形式,穿着方式,衣长,裙长,领型,袖型,衣门襟,裙型,成分含量,服装款式细节
母亲节衣服妈妈装夏装雪纺套装中老年女装40-50岁短袖修身大码T恤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2543159439/TB2GV68lXXXXXaJXXXXXXXXXXXX_!!2543159439.jpg,https://item.taobao.com/item.htm?id=527879890813&ns=1&abbucket=0#detail,35.00,13417人付款,江苏 苏州,,,薄,"雪纺,蕾丝,聚酯",2017年春季,休闲,碎花,40-49周岁,七分裤,修身,两件套,套头,常规,,圆领,常规,,,96%及以上,镶钻
中老年人女装套装夏装妈妈装套装60-70-80岁老奶奶短袖上衣七分裤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/841624000/TB2zc6nsVXXXXXaXXXXXXXXXXXX_!!841624000.jpg,https://item.taobao.com/item.htm?id=529703517278&ns=1&abbucket=0#detail,45.00,10512人付款,江苏 苏州,D001,,薄,其他,2017年夏季,民族风,花色,50-59周岁,九分裤,宽松,两件套,开衫,短款,,圆领,常规,单排扣,,81%(含)-90%(含),镶钻
母亲节中老年女装短袖t恤40-50岁中年妈妈装夏装雪纺两件套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1OdhqRXXXXXbbXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549158610621&ns=1&abbucket=0,49.00,18025人付款,江苏 苏州,T7613 ,绰美佳人 ,薄 ,聚酯 ,2017年夏季 ,知性 ,其他 ,40-49周岁 ,七分裤 ,直筒 ,两件套 ,套头 ,短款 ,,其他 ,其他 ,,,96%及以上 ,
母亲节衣服夏季套装中老年女装夏装中年40-50岁妈妈装短袖两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1oDadQVXXXXXPXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=44569199253&ns=1&abbucket=0,25.00,13702人付款,江苏 苏州,PLF1504-110 ,pllofee/蒲洛妃 ,,其他 ,2015年夏季 ,时尚 ,花色 ,40-49周岁 ,长裤 ,宽松 ,两件套 ,套头 ,常规 ,,荷叶领 ,荷叶袖 ,,,96%及以上 ,荷叶边 
中老年女装夏装套装圆领上衣裤子夏季中年妈妈装短袖T恤两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1_A1qQFXXXXXjXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547942785871&ns=1&abbucket=0,69.00,22873人付款,上海,5470 ,简港 ,适中 ,其他 ,2017年夏季 ,时尚 ,复古图案 ,,长裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
中老年人女装套装妈妈装夏装大码奶奶装40-50岁60短袖T恤70两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1EPiIPVXXXXczapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546233773048&ns=1&abbucket=0,69.00,14506人付款,江苏 苏州,T/111 ,玛依恋 ,薄 ,聚酯 ,2017年夏季 ,运动 ,花色 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,,,,91%(含)-95%(含) ,
母亲节中老年女装短袖t恤40-50岁中年妈妈装夏装套装上衣两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1hb.qQFXXXXbCXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547096660755&ns=1&abbucket=0,69.00,15970人付款,江苏 苏州,XM17219 ,夕牧 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,,直筒 ,单件 ,套头 ,常规 ,,圆领 ,,,,96%及以上 ,纽扣 
中老年人女装套装妈妈装夏装大码奶奶装40-50岁60短袖T恤70两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/1786694105/TB2TzFemwxlpuFjSszgXXcJdpXa_!!1786694105.jpg,https://item.taobao.com/item.htm?id=37372723777&ns=1&abbucket=0#detail,26.80,8573人付款,上海,03,,适中,"涤纶,棉",2017年夏季,时尚,其他,50-59周岁,九分裤,宽松,两件套,开衫,常规,,圆领,,三粒扣,,96%及以上,纽扣
母亲节衣服夏季中年女装春装套装40-50岁妈妈装外套中老年人上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1TZNgPVXXXXbcaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545596081098&ns=1&abbucket=0,99.00,20400人付款,浙江 嘉兴,ADAP5693 ,DUOYEREE/朵莹 ,适中 ,聚酯 ,2017年春季 ,时尚 ,花色 ,40-49周岁 ,,宽松 ,两件套 ,开衫 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,镶钻 
母亲节衣服夏季妈妈夏装上衣中年短袖t恤40-50岁中老年人女装套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1c6y5QVXXXXX5XVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547124352573&ns=1&abbucket=0,69.00,13963人付款,浙江 杭州,xmtq1958-1852 ,卧雪 ,薄 ,聚酯 ,2017年夏季 ,休闲 ,花鸟图案 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
中老年女装夏装短袖套装中年人T恤40-50岁妈妈装两件套母亲节衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1k07KQFXXXXb9XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549166259936&ns=1&abbucket=0,89.00,13911人付款,江苏 苏州,MNS17X238 ,摩尼树 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,口袋 
母亲节中老年人女装胖妈妈装夏装中年短袖50-60-70岁衣服奶奶套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1SQ_UPpXXXXc_aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545007828335&ns=1&abbucket=0,79.00,12959人付款,江苏 苏州,1111-35 ,梵忆轩 ,薄 ,其他 ,2017年夏季 ,休闲 ,纯色 ,50-59周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,一粒扣 ,,96%及以上 ,口袋 
妈妈夏装时尚套装中老年人雪纺衫中年女装阔腿裤两件套40岁50衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1UpmwQFXXXXcwXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548719889438&ns=1&abbucket=0,139.00,18015人付款,湖北 武汉,WSQ17222 ,薇诗琪 ,适中 ,聚酯 ,2017年夏季 ,通勤 ,条纹 ,40-49周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,口袋 
母亲节衣服妈妈装夏装套装40-50岁中年两件套中老年女装短袖雪纺,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1qKeSQVXXXXa2aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549697209316&ns=1&abbucket=0,59.00,13441人付款,上海,KC(001) ,妃莲慕 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,其他 ,,,宽松 ,两件套 ,套头 ,,,,,,,30%及以下 ,
母亲节衣服夏季妈妈夏装中老年女装中年雪纺衫阔腿裤两件套装40岁,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB14i1NQVXXXXazXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549484743711&ns=1&abbucket=0,158.00,15721人付款,浙江 杭州,P722606G0 ,胖织缘福 ,薄 ,聚酯 ,2017年夏季 ,休闲 ,条纹 ,40-49周岁 ,长裤 ,直筒 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
老年短袖夏装奶奶装中袖套装中老年女装唐装两件套老人装上衣裤子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2649718869/TB2nbO.nKJ8puFjy1XbXXagqVXa_!!2649718869.jpg,https://item.taobao.com/item.htm?id=546277995179&ns=1&abbucket=0#detail,39.90,5518人付款,江苏 苏州,,,适中,聚酯,2017年夏季,民族风,花鸟图案,50-59周岁,七分裤,宽松,两件套,开衫,常规,,立领,其他,单排扣,,,绣花
中老年妈妈装夏装雪纺衫短袖套装T恤中年女装裤子两件套上衣大码,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1xET3QFXXXXc0XXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=547708462823&ns=1&abbucket=0#detail,29.90,4687人付款,江苏 苏州,,,适中,聚酯,2017年夏季,时尚,其他,50-59周岁,,直筒,单件,套头,常规,,圆领,常规,,,,
妈妈装短袖60-70-80岁女装春套装奶奶装上衣老年人夏装女老人衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1658139192/TB2psnVqt0opuFjSZFxXXaDNVXa_!!1658139192.jpg,https://item.taobao.com/item.htm?id=546194898483&ns=1&abbucket=0#detail,48.00,6987人付款,江苏 苏州,,,薄,"聚酯,其他","2017年春季,2017年夏季",朴实,大花,60周岁以上,九分裤,宽松,两件套,开衫,常规,,圆领,常规,单排扣,,,纽扣
妈妈夏装套装40-50岁中年人两件套中老年女装雪纺短袖t恤上衣裤子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1kKV9KpXXXXXmaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=533210250039&ns=1&abbucket=0,59.00,13072人付款,江苏 苏州,YZR1922TZ16 ,衣之绒 ,薄 ,聚酯 ,2016年夏季 ,时尚 ,纯色 ,50-59周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,中长款 ,,圆领 ,常规 ,,,91%(含)-95%(含) ,镶钻 
中老年女装夏装2017新款棉麻套装妈妈装短袖上衣阔腿裤大码两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2463804566/TB271OolOpnpuFjSZFIXXXh2VXa_!!2463804566.jpg,https://item.taobao.com/item.htm?id=546129654692&ns=1&abbucket=0#detail,42.80,9986人付款,江苏 苏州,,,薄,棉麻,2017年夏季,休闲,花鸟图案,40-49周岁,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,,口袋
母亲节中老年女装春装套装妈妈装上衣+裤子中年人T恤夏装两件套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2132824876/TB2DNQko5pnpuFjSZFIXXXh2VXa_!!2132824876.jpg,https://item.taobao.com/item.htm?id=544669880631&ns=1&abbucket=0#detail,39.90,10842人付款,江苏 苏州,88,,薄,"聚酯,其他","2017年春季,2017年夏季",民族风,花鸟图案,40-49周岁,长裤,修身,两件套,套头,常规,,圆领,常规,,,,
中老年女夏装妈妈装奶奶宽松亚麻短袖T恤上衣裤子两件套棉麻套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2550020000/TB2AinnkB0kpuFjSsppXXcGTXXa_!!2550020000.jpg,https://item.taobao.com/item.htm?id=546566552759&ns=1&abbucket=0#detail,59.00,10543人付款,浙江 嘉兴,GSY585,妈妈之美,薄,"棉麻,其他",2017年春季,时尚,花色,50-59周岁,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,,
2017夏装新款妈妈装中年人雪纺衫短袖大码套装中老年女装夏装t恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2298614513/TB2geTBqYBmpuFjSZFuXXaG_XXa_!!2298614513.jpg,https://item.taobao.com/item.htm?id=528553041377&ns=1&abbucket=0#detail,25.00,6868人付款,江苏 苏州,1625-175,other/其他,薄,"雪纺,聚酯",2017年夏季,时尚,其他,40-49周岁,七分裤,宽松,单件,套头,常规,,圆领,常规,,,,绣花
中老年女装夏装套装 妈妈装夏季短袖T恤大码上衣老年人宽松两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1942543772/TB2QC0alFXXXXXNXpXXXXXXXXXX_!!1942543772.jpg,https://item.taobao.com/item.htm?id=528023153450&ns=1&abbucket=0#detail,39.00,8393人付款,江苏 苏州,zc5439,,薄,"蕾丝,聚酯",2017年夏季,时尚,大花,50-59周岁,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,96%及以上,纱网
中老年女装妈妈装夏装中年两件套装40-50岁印花套装老年人夏装t恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2313387041/TB2LYRUeR0lpuFjSszdXXcdxFXa_!!2313387041.jpg,https://item.taobao.com/item.htm?id=545321208800&ns=1&abbucket=0#detail,34.90,11778人付款,江苏 苏州,,,薄,"雪纺,亚麻,其他",2017年夏季,民族风,花鸟图案,40-49周岁,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,51%(含)-70%(含),
中老年人女妈妈春夏装套装60-70-80岁奶奶装七分袖上衣裤子两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2861997194/TB2ORQniYBnpuFjSZFGXXX51pXa_!!2861997194.jpg,https://item.taobao.com/item.htm?id=546648804571&ns=1&abbucket=0#detail,49.00,7956人付款,江苏 苏州,8815B2113,,薄,聚酯,2017年夏季,福态,花色,60周岁以上,九分裤,宽松,两件套,开衫,常规,,圆领,常规,单排扣,,91%(含)-95%(含),纽扣
中年妈妈装夏装套装中老年人女装春装上衣裤子两件套奶奶夏季短袖,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB14KeURXXXXXbAXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544910394853&ns=1&abbucket=0,128.00,12418人付款,浙江 金华,FCH-VB807 ,FACHAIHUA/发财花 ,,聚酯 ,2017年夏季 ,民族风 ,复古图案 ,50-59周岁 ,,修身 ,两件套 ,开衫 ,常规 ,,V领 ,常规 ,单排扣 ,,91%(含)-95%(含) ,口袋 
中老年女装夏装短袖t恤衫中年妇女母亲节衣服妈妈装雪纺套装上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/454660904/TB2_5kRoYBmpuFjSZFuXXaG_XXa_!!454660904.jpg,https://item.taobao.com/item.htm?id=545247525635&ns=1&abbucket=0#detail,29.90,9088人付款,上海,,,薄,雪纺,"2017年春季,2017年夏季",时尚,纯色,40-49周岁,,宽松,单件,套头,常规,,圆领,常规,,,96%及以上,纱网
中老年女装短袖夏装妈妈装套装中年人上衣+裤子中年人T恤两件套夏,https://g-search1.alicdn.com/img/bao/uploaded/i4/i6/TB1R6FIQpXXXXauXpXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=547036182393&ns=1&abbucket=0#detail,39.90,7875人付款,江苏 苏州,,,薄,"聚酯,其他",2017年夏季,民族风,其他,40-49周岁,七分裤,宽松,两件套,套头,常规,,圆领,,,,,
中老年女装夏装套装上衣裤子40-50岁妈妈装雪纺袖T恤衫老人两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1JxLYRXXXXXX0XVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544731783787&ns=1&abbucket=0,59.00,13023人付款,上海,5280 ,简港 ,薄 ,其他 ,2017年夏季 ,时尚 ,其他 ,,,修身 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
中老年女装短袖夏装雪纺袖妈妈装套装中年人上衣+裤子T恤两件套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/3013906078/TB2OFUrbrRkpuFjSspmXXc.9XXa_!!3013906078.jpg,https://item.taobao.com/item.htm?id=543859954014&ns=1&abbucket=0#detail,39.90,10421人付款,江苏 苏州,QX23,,薄,"聚酯,其他",2017年春季,休闲,花鸟图案,40-49周岁,长裤,修身,两件套,套头,常规,,圆领,常规,,,,
妈妈装两件套短袖夏装中老年女装套装中年T恤40-50-60岁雪纺衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1gmOnQFXXXXXjXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547367404403&ns=1&abbucket=0,68.00,11454人付款,浙江 嘉兴,MXQ-1505 ,陌小柒 ,薄 ,聚酯 ,2017年夏季 ,休闲 ,纯色 ,50-59周岁 ,,宽松 ,两件套 ,套头 ,短款 ,,圆领 ,喇叭袖 ,,,96%及以上 ,镶钻 
中老年人女装夏装妈妈装套装短袖上衣中年七分裤子大码运动两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1WBSOJFXXXXanXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=529163409790&ns=1&abbucket=0,17.80,8434人付款,浙江 金华,3172 ,Showcai ,薄 ,聚酯 ,2016年夏季 ,休闲 ,花色 ,40-49周岁 ,七分裤 ,,两件套 ,套头 ,短款 ,,圆领 ,常规 ,,,91%(含)-95%(含) ,
妈妈装夏装套装40-50岁中老年女装短袖t恤运动上衣+裤子真两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/682076618/TB2m_iNlYJmpuFjSZFwXXaE4VXa_!!682076618.jpg,https://item.taobao.com/item.htm?id=547443356144&ns=1&abbucket=0#detail,45.00,8538人付款,江苏 苏州,XYG309,轩雨阁,适中,"聚酯,涤纶",2017年夏季,运动,纯色,40-49周岁,九分裤,宽松,两件套,套头,常规,,V领,常规,,,96%及以上,口袋
中老年女装夏装假两件短袖雪纺衫40-50岁妈妈装上衣 中年女士套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1y8RWMXXXXXb8XVXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=528830825241&ns=1&abbucket=0#detail,45.00,8214人付款,江苏 苏州,,,适中,"雪纺,聚酯,其他","2016年夏季,2016年春季",时尚,大花,40-49周岁,七分裤,宽松,两件套,套头,常规,,圆领,常规,,,31%(含)-50%(含),镶钻
夏季妈妈装短袖雪纺衫大码40-50岁上衣中年t恤衫中老年人女装套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2318217556/TB2RALypJ0opuFjSZFxXXaDNVXa_!!2318217556.jpg,https://item.taobao.com/item.htm?id=546350581021&ns=1&abbucket=0#detail,29.00,4755人付款,上海,1853,,薄,"雪纺,聚酯",2017年夏季,时尚,花色,40-49周岁,,直筒,单件,套头,短款,,圆领,常规,,,,纽扣
妈妈夏装套装40岁中老年女装春装中年连衣裙两件套母亲节衣服夏季,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1lRM1QpXXXXcwXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545899639617&ns=1&abbucket=0,128.00,13349人付款,江苏 苏州,KQ-6058 ,悦薇孔雀 ,适中 ,聚酯 ,2017年春季 ,时尚 ,花鸟图案 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,中长款 ,圆领 ,,,,91%(含)-95%(含) ,纱网 
中年女妈妈夏装套装短袖t恤雪纺衫中老年套装两件套女母亲节衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1LWRYRXXXXXaiXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549612443412&ns=1&abbucket=0,138.00,12678人付款,江苏 苏州,MJ-1136 ,名瑾 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,飞飞袖 ,,,91%(含)-95%(含) ,腰带 
新款中老年女装长袖T恤妈妈装40-50雪纺打底衫夏装针织衫两件套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2638148098/TB234C8fmVmpuFjSZFFXXcZApXa_!!2638148098.jpg,https://item.taobao.com/item.htm?id=534464472279&ns=1&abbucket=0#detail,19.90,4429人付款,江苏 苏州,QX22,常熟靓衣,适中,"雪纺,聚酯","2017年春季,2017年夏季",时尚,花鸟图案,40-49周岁,长裤,修身,两件套,套头,常规,,圆领,,,,,
中老年人女装夏装短袖t恤妈妈两件套装中年夏季上衣宽松40-50岁,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2023990340/TB2IoMEmJBopuFjSZPcXXc9EpXa_!!2023990340.jpg,https://item.taobao.com/item.htm?id=548183897409&ns=1&abbucket=0#detail,48.00,11679人付款,江苏 苏州,YBD-F21,,薄,棉,2017年夏季,休闲,花色,40-49周岁,七分裤,宽松,两件套,套头,中长款,,圆领,常规,,,,荷叶边
母亲节衣服妈妈夏装短袖套装中老年人女装两件套奶奶宽松大码春装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1sBNiQFXXXXXCXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548384837072&ns=1&abbucket=0,99.00,9647人付款,浙江 嘉兴,TFNHZ901 ,拓芙尼 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花鸟图案 ,40-49周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,口袋 
中老年女装夏装套装妈妈装夏季雪纺短袖T恤大码上衣老年人两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1942543772/TB28JxSeCtkpuFjy0FhXXXQzFXa_!!1942543772.jpg,https://item.taobao.com/item.htm?id=545259010078&ns=1&abbucket=0#detail,39.00,5881人付款,江苏 苏州,20170217,,薄,"雪纺,聚酯",2017年夏季,知性,花鸟图案,50-59周岁,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,96%及以上,绣花
60-70岁奶奶装夏装套装 中老年人女春中袖上衣裤子两件套妈妈短袖,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2861997194/TB2eTIxhHplpuFjSspiXXcdfFXa_!!2861997194.jpg,https://item.taobao.com/item.htm?id=546691584608&ns=1&abbucket=0#detail,69.00,6885人付款,江苏 苏州,,,薄,聚酯,2017年夏季,时尚,复古图案,50-59周岁,九分裤,宽松,两件套,开衫,常规,,圆领,常规,单排扣,,,绣花
