宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,服装版型,组合形式,穿着方式,衣长,领型,袖型,衣门襟,成分含量,服装款式细节
中老年女夏装短袖T恤打底衫中年妇女宽松衬衣 妈妈装大码衬衫上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1586104774/TB2uV9QnbFkpuFjy1XcXXclapXa_!!1586104774.jpg,https://item.taobao.com/item.htm?id=548034049367&ns=1&abbucket=0#detail,59.00,1114人付款,江苏 苏州,ER-589,,薄,"聚酯,棉",2017年夏季,民族风,其他,40-49周岁,宽松,单件,套头,中长款,V领,常规,三粒扣,96%及以上,纽扣
母亲节中老年女装春夏装长袖50-60岁妈妈装衬衣老年人女装衬衫女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/653639453/TB2rLMye3JkpuFjSszcXXXfsFXa_!!653639453.jpg,https://item.taobao.com/item.htm?id=545569047460&ns=1&abbucket=0#detail,69.00,982人付款,北京,1782,,薄,"聚酯,棉","2017年春季,2017年夏季",知性,碎花,40-49周岁,宽松,单件,开衫,常规,POLO领,常规,单排扣,51%(含)-70%(含),
中老年女装春夏装衬衫老年人奶奶加肥加大码衬衣七分袖妈妈上衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1uv.QQXXXXXcwXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=531588179022&ns=1&abbucket=0,69.00,1267人付款,上海,9409 ,夕之美 ,薄 ,其他 ,2017年夏季 ,福态 ,碎花 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,半开领 ,,单排扣 ,81%(含)-90%(含) ,口袋 
夏装中老年人母亲节衬衫妈妈60上衣衣服老人衬衣70岁奶奶80女夏季,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/48166423/TB2k08llC8mpuFjSZFMXXaxpVXa_!!48166423.jpg,https://item.taobao.com/item.htm?id=24986484019&ns=1&abbucket=0#detail,55.00,941人付款,江苏 苏州,,自主品牌,薄,"雪纺,其他",2017年夏季,福态,花色,60周岁以上,宽松,单件,开衫,常规,方领,常规,单排扣,,纽扣
中老年妈妈装碎花圆领T恤上衣 女装雪纺衫衬衫短袖40-50岁夏季,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1kIW7RXXXXXbPXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548911437199&ns=1&abbucket=0,59.00,888人付款,江苏 苏州,GXM-6956 ,古轩蔓 ,薄 ,其他 ,2017年夏季 ,时尚 ,碎花 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,圆领 ,常规 ,单排两粒扣 ,96%及以上 ,纽扣 
中老年女装春装长袖衬衫妈妈装40-50岁T恤上衣中年妇女衬衣夏装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/1677095552/TB2Ik_Kr04opuFjSZFLXXX8mXXa_!!1677095552.jpg,https://item.taobao.com/item.htm?id=545290330755&ns=1&abbucket=0#detail,29.90,1007人付款,北京,,,薄,"聚酯,其他","2017年春季,2017年夏季",通勤,花色,40-49周岁,宽松,单件,开衫,常规,POLO领,常规,单排扣,96%及以上,纽扣
母亲节妈妈装夏装雪纺衫宽松T恤上衣40-50岁中老年女装大码打底衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1VLHtQVXXXXahaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549858777670&ns=1&abbucket=0,69.00,742人付款,湖北 武汉,Q17BW375 ,Q．PARMOE/千百萌 ,适中 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,圆领 ,常规 ,,96%及以上 ,
妈妈夏装新款短袖t恤套装中老年女装大码雪纺衫中长款宽松衬衫潮,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB19WA5QVXXXXaUapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549628398153&ns=1&abbucket=0,99.00,820人付款,浙江 嘉兴,P-D-LPP0317 ,典雅浅秋 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,POLO领 ,常规 ,,96%及以上 ,
妈妈装春装七分袖衬衫2017新款50-60岁中老年夏装大码宽松上衣女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB11Ji0QFXXXXbtXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548517253150&ns=1&abbucket=0,149.00,881人付款,河南 郑州,XC741 ,Y．L’AN．XI/尤兰茜 ,,聚酯 ,2017年夏季 ,时尚 ,纯色 ,50-59周岁 ,宽松 ,单件 ,开衫 ,常规 ,方领 ,其他 ,单排扣 ,96%及以上 ,褶皱 
母亲节中老年人女装春装中年妇女衬衫女长袖妈妈装衣服夏装衬衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1836369573/TB24GOujr0kpuFjy0FjXXcBbVXa_!!1836369573.jpg,https://item.taobao.com/item.htm?id=546143149306&ns=1&abbucket=0#detail,37.00,1153人付款,北京,xxgpw-26677885,,适中,聚酯,2017年春季,知性,花色,40-49周岁,修身,单件,开衫,常规,POLO领,常规,单排扣,96%及以上,纽扣
中老年女装夏装短袖T恤40-50岁妈妈装宽松翻领雪纺衬衫短款薄上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2890324893/TB2q_FiogNlpuFjy0FfXXX3CpXa_!!2890324893.jpg,https://item.taobao.com/item.htm?id=545270822578&ns=1&abbucket=0#detail,29.90,1010人付款,江苏 苏州,A-2036,,适中,"雪纺,聚酯,其他",2017年春季,时尚,其他,40-49周岁,修身,单件,开衫,常规,方领,常规,单排扣,96%及以上,纽扣
中年女装夏装妈妈装中老年女装春装女长袖衬衫女60-70岁老年人女,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1FH7EPVXXXXaoXFXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546495049200&ns=1&abbucket=0#detail,45.00,1305人付款,北京,XW-TZL,other/其他,薄,"聚酯,其他","2017年春季,2017年夏季",朴实,花色,60周岁以上,修身,单件,开衫,常规,立领,常规,单排扣,96%及以上,纽扣
中年夏装妈妈装中袖t恤雪纺衫中老年女装衬衫中长款短袖打底衫女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1818374669/TB2vqb6oVXXXXXvXXXXXXXXXXXX_!!1818374669.jpg,https://item.taobao.com/item.htm?id=531787877761&ns=1&abbucket=0#detail,68.00,1426人付款,北京,,,薄,"雪纺,涤纶",2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,中长款,立领,常规,三粒扣,71%(含)-80%(含),纽扣
中老年女装夏装短袖t恤衬衣40-50岁中年妈妈夏季上衣开衫翻领衬衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/516254400/TB2T7hOh9tkpuFjy0FhXXXQzFXa_!!516254400.jpg,https://item.taobao.com/item.htm?id=546820581586&ns=1&abbucket=0#detail,39.00,841人付款,江苏 苏州,8708,,薄,莫代尔,2017年夏季,时尚,纯色,40-49周岁,修身,单件,开衫,常规,POLO领,其他,单排扣,96%及以上,纽扣
2017新款中老年女装夏装七分袖衬衫妈妈夏装开衫上衣大码女装衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2475819510/TB2MG8pirlmpuFjSZFlXXbdQXXa_!!2475819510.jpg,https://item.taobao.com/item.htm?id=546432139042&ns=1&abbucket=0#detail,26.50,1617人付款,北京,801,卡菲玛依,薄,聚酯,"2017年春季,2017年夏季",新潮,花色,40-49周岁,宽松,单件,开衫,常规,POLO领,常规,单排扣,71%(含)-80%(含),纽扣
乐卡索中老年女装夏装中袖衬衫妈妈装新款印花雪纺40岁中年女t恤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1Sih9QFXXXXcEaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548683318617&ns=1&abbucket=0,139.00,1211人付款,上海,L1704F1703 ,乐卡索 ,,其他 ,2017年春季 ,时尚 ,大花 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,立领 ,其他 ,,96%及以上 ,
母亲节中老年女装夏装女长袖女衬衫40-50岁 妈妈装春装衬衣老年人,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1589133821/TB2M5yVi_cCL1FjSZFPXXXZgpXa_!!1589133821.jpg,https://item.taobao.com/item.htm?id=546690654951&ns=1&abbucket=0#detail,37.00,913人付款,北京,XW-FLK,,薄,"聚酯,LYCRA莱卡","2017年春季,2017年夏季",朴实,,60周岁以上,修身,单件,开衫,常规,POLO领,常规,单排扣,91%(含)-95%(含),纽扣
老年人夏装女装中袖套装 老奶奶装短袖衬衫裤子60 70 80岁妈妈装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/1634917883/TB2FaDSnR0lpuFjSszdXXcdxFXa_!!1634917883.jpg,https://item.taobao.com/item.htm?id=549615242175&ns=1&abbucket=0#detail,39.80,440人付款,江苏 苏州,1005,,适中,,2017年夏季,,其他,60周岁以上,宽松,两件套,开衫,常规,,,,,
中老年人夏装套装老太太短袖老人衣服女奶奶装60-70-80岁妈妈衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1842MQXXXXXbzXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547093938349&ns=1&abbucket=0,79.00,445人付款,浙江 嘉兴,8815B2123 ,美恺绒 ,薄 ,聚酯 ,2017年夏季 ,福态 ,复古图案 ,60周岁以上 ,宽松 ,两件套 ,开衫 ,常规 ,半开领 ,常规 ,单排扣 ,91%(含)-95%(含) ,纽扣 
母亲节中老年女装夏装短袖T恤套装60-70-80岁奶奶装夏天婆婆妈妈,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1beSvQXXXXXX_XVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546522396777&ns=1&abbucket=0,89.00,603人付款,江苏 苏州,x-0100 ,孝慈轩 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,方领 ,常规 ,单排扣 ,96%及以上 ,
老年女装短袖上衣T恤奶奶夏装中袖衬衫老人衣服老年人夏装女60-70,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1wYzbQVXXXXcoaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549704097258&ns=1&abbucket=0,148.00,624人付款,江苏 苏州,XQ172C796 ,夏清 ,适中 ,纯棉 ,2017年夏季 ,福态 ,纯色 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,圆领 ,,,96%及以上 ,
妈妈装春装七分袖衬衫中老年人妇女装夏装开衫上衣老人奶奶装衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2456241514/TB2Lppgd3RkpuFjy1zeXXc.6FXa_!!2456241514.jpg,https://item.taobao.com/item.htm?id=544985917803&ns=1&abbucket=0#detail,118.00,1260人付款,浙江 嘉兴,zjdl3023,织冷暖,适中,其他,"2017年春季,2017年夏季",时尚,花色,50-59周岁,直筒,单件,开衫,常规,POLO领,常规,单排扣,51%(含)-70%(含),纽扣
母亲节名兔妈妈装夏装中老年新款衬衫中年女真丝短袖T恤蚕丝上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1ujn4QVXXXXXUXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549951835164&ns=1&abbucket=0,299.00,634人付款,浙江 嘉兴,17021 ,Famoushare/名兔 ,薄 ,蚕丝 ,2017年夏季 ,时尚 ,肌理图案 ,40-49周岁 ,直筒 ,单件 ,套头 ,常规 ,V领 ,蝙蝠袖 ,,91%(含)-95%(含) ,
中年人胖妈妈装夏装短袖t恤上衣薄40-50岁宽松大码中老年女装衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2835399291/TB2SfHlml8lpuFjSspaXXXJKpXa_!!2835399291.jpg,https://item.taobao.com/item.htm?id=548944400130&ns=1&abbucket=0#detail,36.80,1084人付款,江苏 苏州,,,薄,"聚酯,其他",2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,常规,V领,常规,,81%(含)-90%(含),纽扣
左舞中老年女装夏装长袖衬衣打底妈妈装春夏装40-50岁大码棉衬衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1oiB3NXXXXXbLXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=521042499998&ns=1&abbucket=0,118.00,1141人付款,上海,ZC15-40060 ,ZUOWU ,适中 ,聚酯 ,2015年秋季 ,时尚 ,碎花 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,衬衫袖 ,单排扣 ,51%(含)-70%(含) ,绣花 
中老年女装夏装短袖衬衫桑蚕丝T恤 妈妈装真丝上衣中年大码衬衣女,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1803420707/TB2BOrtf4xmpuFjSZFNXXXrRXXa_!!1803420707.jpg,https://item.taobao.com/item.htm?id=528823488335&ns=1&abbucket=0#detail,86.00,889人付款,浙江 嘉兴,,,,"绸缎,蚕丝,其他","2017年春季,2017年夏季",时尚,碎花,40-49周岁,宽松,单件,开衫,常规,POLO领,常规,单排扣,91%(含)-95%(含),
中年女夏装t恤中长款妈妈装雪纺衬衫大码40-50岁中老年人印花上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1.sYqQVXXXXbDXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549636797058&ns=1&abbucket=0,138.00,633人付款,浙江 嘉兴,JH17B55 ,简狐 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,其他 ,常规 ,,96%及以上 ,纽扣 
提花真丝中老年女装夏装上衣纯色宽松桑蚕丝妈妈装七分袖衬衫大码,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1i1z6QVXXXXbhXXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=548063839209&ns=1&abbucket=0#detail,265.00,839人付款,浙江 杭州,1751,,薄,"绸缎,蚕丝",2017年夏季,福态,纯色,50-59周岁,宽松,单件,开衫,常规,POLO领,常规,单排扣,91%(含)-95%(含),纽扣
妈妈装真丝绸缎上衣女式T恤七分袖衬衫桑蚕丝中老年长袖衬衣春装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1054142747/TB2Zb0WgB0lpuFjSszdXXcdxFXa_!!1054142747.gif,https://item.taobao.com/item.htm?id=546090520645&ns=1&abbucket=0#detail,118.00,830人付款,浙江 嘉兴,,,薄,其他,2017年春季,时尚,花鸟图案,,宽松,单件,开衫,常规,POLO领,常规,单排扣,96%及以上,镶钻
母亲节妈妈装春装新款大码衬衫中老年人夏装女T恤奶奶中国风衣服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1oDPHRXXXXXXzaFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547676854870&ns=1&abbucket=0,158.00,887人付款,浙江 嘉兴,slf/2017033013 ,淑丽坊 ,薄 ,其他 ,2017年春季 ,时尚 ,纯色 ,50-59周岁 ,宽松 ,单件 ,开衫 ,常规 ,V领 ,常规 ,,96%及以上 ,纽扣 
中老年妈妈装夏装衬衫翻领短袖中年女装有领上衣夏天大码时尚T恤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1964577496/TB2MzOTa1_yQeBjy0FlXXczrXXa_!!1964577496.jpg,https://item.taobao.com/item.htm?id=534402290485&ns=1&abbucket=0#detail,35.00,956人付款,江苏 苏州,320#,,适中,"雪纺,聚酯,其他",2016年夏季,时尚,花色,40-49周岁,修身,单件,开衫,常规,方领,常规,,81%(含)-90%(含),
2017新款中年女装春装长袖上衣中老年夏装雪纺衫衬衫妈妈装衬衣潮,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1OrRzMpXXXXa1XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=529411231151&ns=1&abbucket=0,98.00,1123人付款,浙江 嘉兴,E-6848 ,浅恋 ,薄 ,其他 ,2017年春季 ,时尚 ,其他 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,其他 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中老年女装夏装短袖衬衫棉麻妈妈装亚麻T恤老人奶奶母亲节上衣服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1ddQjQpXXXXa1XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=45052034028&ns=1&abbucket=0,99.00,770人付款,上海,9349 ,夕之美 ,薄 ,亚麻 ,2017年夏季 ,时尚 ,风景 ,50-59周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,30%及以下 ,绣花 
妈妈装2017夏装雪纺衫上衣T恤宽松真丝衬衫短袖40-50岁中老年女装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1pFI4QpXXXXauXVXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=548412943489&ns=1&abbucket=0#detail,68.00,708人付款,浙江 嘉兴,,,薄,蚕丝,2017年夏季,时尚,,40-49周岁,宽松,单件,套头,,,,,,
胖妈妈夏装套装40-50岁夏中老年女装春装大码雪纺衬衫上衣两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1ngzORXXXXXX0XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549392403200&ns=1&abbucket=0,118.00,772人付款,湖北 武汉,KLNG17275 ,凯利娜格 ,,聚酯 ,2017年夏季 ,时尚 ,大花 ,40-49周岁 ,宽松 ,两件套 ,套头 ,常规 ,圆领 ,荷叶袖 ,,96%及以上 ,纽扣 
妈妈衬衫女长袖2017春装新款中老年夏装中年母亲节衣服夏40-50岁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1vajkQXXXXXbVapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547180159223&ns=1&abbucket=0,138.00,1290人付款,湖北 武汉,XJMM07112# ,香江美妈 ,适中 ,聚酯 ,2017年夏季 ,民族风 ,其他 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,立领 ,常规 ,单排扣 ,91%(含)-95%(含) ,纽扣 
中老年女装夏装短袖T恤衫40妈妈装修身大码衬衣中年妇女夏季衣服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2467383977/TB2wtGDiOC9MuFjSZFoXXbUzFXa_!!2467383977.jpg,https://item.taobao.com/item.htm?id=546555051345&ns=1&abbucket=0#detail,22.00,1319人付款,北京,808,other/其他,薄,其他,2017年夏季,通勤,碎花,40-49周岁,宽松,单件,套头,短款,圆领,常规,,51%(含)-70%(含),镶钻
中老年女装夏装中袖T恤40-50岁大码胖妈妈装中长款短袖打底衫衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1739152999/TB2Yolwj88lpuFjy0FnXXcZyXXa_!!1739152999.jpg,https://item.taobao.com/item.htm?id=547773903637&ns=1&abbucket=0#detail,19.90,806人付款,北京,HV,,薄,"聚酯,LYCRA莱卡",2017年夏季,知性,花色,40-49周岁,,单件,套头,中长款,V领,常规,,,纽扣
春夏新款中年妈妈装韩版长袖女衬衫胖MMt恤大码修身纯色棉衬衣女,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1QfGqJVXXXXc4XXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=531169159975&ns=1&abbucket=0#detail,78.00,1400人付款,北京,#--高端衬衣07款,,薄,"聚酯,棉","2017年春季,2017年夏季",休闲,纯色,40-49周岁,修身,单件,开衫,常规,POLO领,常规,单排扣,51%(含)-70%(含),纽扣
妈妈装夏装七分袖开衫翻领衬衫中年妇女时尚花色衬衣中老年人上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1lANXQpXXXXa5XpXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=547456907387&ns=1&abbucket=0#detail,96.00,775人付款,浙江 嘉兴,,,薄,"聚酯,其他","2017年夏季,2017年春季",高贵,花色,40-49周岁,修身,单件,开衫,常规,POLO领,常规,,91%(含)-95%(含),纽扣
妈妈装真丝上衣女T恤七分袖中袖衬衫桑蚕丝中老年长袖衬衣女t恤夏,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2882096918/TB2IWDQXznyQeBjSspbXXazUXXa_!!2882096918.jpg,https://item.taobao.com/item.htm?id=537046620900&ns=1&abbucket=0#detail,118.00,947人付款,浙江 嘉兴,,衣牵客,适中,蚕丝,"2016年冬季,2016年夏季,2016年秋季",时尚,碎花,50-59周岁,宽松,单件,开衫,常规,POLO领,衬衫袖,单排扣,96%及以上,纽扣
新款妈妈装夏装T恤短袖中年女装大码上衣中老年女装衬衫针织衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1aOu3QpXXXXXoapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547944057720&ns=1&abbucket=0,99.00,628人付款,湖北 武汉,17R087 ,雅诗丽兰 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,直筒 ,单件 ,套头 ,常规 ,V领 ,,,81%(含)-90%(含) ,
母亲节中老年女装夏装修身上衣大码雪纺衫中年短袖T恤衬衫妈妈装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1a3JFLpXXXXaaXpXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=16008456329&ns=1&abbucket=0#detail,59.00,978人付款,安徽 芜湖,纤休收腰07,other/其他,薄,"雪纺,其他",2017年夏季,时尚,纯色,40-49周岁,宽松,单件,套头,常规,V领,常规,,96%及以上,绣花
乐卡索妈妈装夏装套装中袖衬衫裤子中老年40岁时尚两件套中年女装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1aMVrRXXXXXadaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548466760678&ns=1&abbucket=0,99.00,1055人付款,上海,L1704O725 ,乐卡索 ,,其他 ,2017年夏季 ,时尚 ,其他 ,40-49周岁 ,宽松 ,两件套 ,套头 ,短款 ,其他 ,常规 ,,96%及以上 ,
妈妈装夏装套装40-50岁中老年女装大码雪纺中年T恤上衣中长款衬衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1CRvgQFXXXXc6XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548807494622&ns=1&abbucket=0,138.00,825人付款,浙江 嘉兴,YJJ17B1054 ,YANJIJI/羊吉吉 ,薄 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,两件套 ,套头 ,常规 ,立领 ,衬衫袖 ,单排扣 ,96%及以上 ,荷叶边 
新款2017印花衬衫女夏宽松立领七分袖休闲上衣大码妈妈装衬衣开衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/895625262/TB2J3SxpmVmpuFjSZFFXXcZApXa_!!895625262.jpg,https://item.taobao.com/item.htm?id=546378325837&ns=1&abbucket=0#detail,45.00,194人付款,北京,88665,爱利福,薄,"聚酯,涤纶",2017年夏季,民族风,复古图案,50-59周岁,宽松,单件,开衫,短款,其他,其他,单排扣,96%及以上,纽扣
春夏新款中年妈妈装长袖女衬衫胖mmt恤大码纯色韩版宽松棉衬衣薄,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB19xiyQXXXXXbmaXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546990353196&ns=1&abbucket=0#detail,35.90,934人付款,北京,8019,考尼斯,薄,莫代尔,2017年夏季,民族风,纯色,40-49周岁,宽松,单件,开衫,常规,立领,常规,单排扣,,
中老年女装夏装套装2017新款两件套40-50岁中年妈妈装短袖衬衫t恤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1yVU1OFXXXXc9XXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=543309127268&ns=1&abbucket=0#detail,49.00,706人付款,江苏 苏州,qs1215222,,薄,"聚酯,其他","2016年夏季,2017年春季,2017年夏季",时尚,花鸟图案,40-49周岁,宽松,两件套,开衫,常规,POLO领,常规,单排扣,,纽扣
妈妈装夏装40-50岁短袖t恤中老年女装中长款衬衫大码上衣老人衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1zrgNQpXXXXX8XpXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=548265655691&ns=1&abbucket=0#detail,45.00,638人付款,江苏 苏州,SU-XZ05,,薄,"蕾丝,聚酯",2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,中长款,,,,,纽扣
中老年女装夏装衬衫纯棉妈妈装七分袖t恤母亲节衣服50-60岁奶奶装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1Z0KKQFXXXXXcXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548731605507&ns=1&abbucket=0,126.00,590人付款,上海,9523 ,夕之美 ,薄 ,纯棉 ,2017年夏季 ,休闲 ,纯色 ,50-59周岁 ,直筒 ,单件 ,开衫 ,常规 ,半开领 ,常规 ,单排扣 ,96%及以上 ,绣花 
中老年妈妈装夏装衬衫翻领短袖中年女装有领上衣夏天大码时尚T恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1733290129/TB2fa7Xc4RDOuFjSZFzXXcIipXa_!!1733290129.jpg,https://item.taobao.com/item.htm?id=545526642988&ns=1&abbucket=0#detail,38.00,867人付款,北京,,,薄,"聚酯,其他",2017年夏季,通勤,花色,40-49周岁,修身,单件,开衫,常规,其他,常规,单排扣,91%(含)-95%(含),纽扣
母亲节妈妈的夏装T恤时尚短袖雪纺衬衫40-50岁中老年女装中袖上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1SqiPQVXXXXbFapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549380417954&ns=1&abbucket=0,78.00,481人付款,湖北 武汉,XY17XXP39 ,秀裕 ,,聚酯 ,2017年夏季 ,时尚 ,抽象图案 ,40-49周岁 ,宽松 ,单件 ,套头 ,,,,,91%(含)-95%(含) ,
妈妈装夏装40-50岁2017新款翻领衬衫中年女装上衣中老年夏季套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1JgWmQFXXXXXsapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548756202769&ns=1&abbucket=0,148.00,477人付款,浙江 嘉兴,RLJDBF055 ,若澜锦蒂 ,薄 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,,96%及以上 ,镶钻 
中老年女夏装雪纺衬衫妈妈装短袖上衣60-70岁老年人奶奶夏季衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1HqrLQVXXXXbuXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549296085989&ns=1&abbucket=0,108.00,569人付款,浙江 杭州,HMS17B4037 ,红曼裳 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,60周岁以上 ,修身 ,单件 ,开衫 ,常规 ,方领 ,常规 ,单排扣 ,91%(含)-95%(含) ,纽扣 
