宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,服装版型,组合形式,穿着方式,衣长,领型,袖型,衣门襟,成分含量,服装款式细节
中老年女装夏装套装圆领上衣裤子夏季中年妈妈装短袖T恤两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1_A1qQFXXXXXjXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547942785871&ns=1&abbucket=0,69,22873人付款,上海,5470,简港,适中,其他,2017年夏季,时尚,复古图案,,宽松,两件套,套头,常规,圆领,常规,,96%及以上,
中老年人女装套装妈妈装夏装大码奶奶装40-50岁60短袖T恤70两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1EPiIPVXXXXczapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546233773048&ns=1&abbucket=0,69,14506人付款,江苏苏州,T/111,玛依恋,薄,聚酯,2017年夏季,运动,花色,40-49周岁,宽松,两件套,套头,常规,圆领,,,91%(含)-95%(含),
中老年女装春装真两件套长袖针织开衫外套妈妈装夏装短袖T恤上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1985188653/TB2esZihm0mpuFjSZPiXXbssVXa_!!1985188653.jpg,https://item.taobao.com/item.htm?id=44704023587&ns=1&abbucket=0#detail,69,15118人付款,浙江嘉兴,XH8819,GENEROUSFUREN/舍得夫人,适中,"羊绒,聚酯","2016年夏季,2016年春季",时尚,纯色,50-59周岁,宽松,两件套,套头,常规,圆领,常规,,71%(含)-80%(含),镶钻
中老年人女装妈妈装夏装大码短袖T恤中年妇女夏季40-50岁新款上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/703985022/TB2U0rumhxmpuFjSZFNXXXrRXXa_!!703985022.jpg,https://item.taobao.com/item.htm?id=547866256936&ns=1&abbucket=0#detail,19.9,11347人付款,江苏苏州,YL17255,,薄,"棉,其他",2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,常规,圆领,常规,,91%(含)-95%(含),
母亲节中老年女装短袖t恤40-50岁中年妈妈装夏装套装上衣两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1hb.qQFXXXXbCXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547096660755&ns=1&abbucket=0,69,15970人付款,江苏苏州,XM17219,夕牧,薄,聚酯,2017年夏季,时尚,花色,40-49周岁,直筒,单件,套头,常规,圆领,,,96%及以上,纽扣
中老年女T恤宽松牛奶丝上衣圆领短款40-50岁妈妈夏装短袖t恤新款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/919714365/TB2PnsRsypnpuFjSZFkXXc4ZpXa_!!919714365.jpg,https://item.taobao.com/item.htm?id=547183967753&ns=1&abbucket=0#detail,10.9,5749人付款,北京,86918,,薄,其他,2017年夏季,通勤,花色,50-59周岁,宽松,单件,套头,短款,圆领,常规,,71%(含)-80%(含),
中老年人女装套装妈妈装夏装大码奶奶装40-50岁60短袖T恤70两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1786694105/TB2TzFemwxlpuFjSszgXXcJdpXa_!!1786694105.jpg,https://item.taobao.com/item.htm?id=37372723777&ns=1&abbucket=0#detail,26.8,8573人付款,上海,3,,适中,"涤纶,棉",2017年夏季,时尚,其他,50-59周岁,宽松,两件套,开衫,常规,圆领,,三粒扣,96%及以上,纽扣
母亲节衣服夏季中年女装春装套装40-50岁妈妈装外套中老年人上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1TZNgPVXXXXbcaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545596081098&ns=1&abbucket=0,99,20400人付款,浙江嘉兴,ADAP5693,DUOYEREE/朵莹,适中,聚酯,2017年春季,时尚,花色,40-49周岁,宽松,两件套,开衫,常规,圆领,常规,,96%及以上,镶钻
母亲节衣服夏季妈妈夏装上衣中年短袖t恤40-50岁中老年人女装套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1c6y5QVXXXXX5XVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547124352573&ns=1&abbucket=0,69,13963人付款,浙江杭州,xmtq1958-1852,卧雪,薄,聚酯,2017年夏季,休闲,花鸟图案,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,
中老年女装夏装短袖套装中年人T恤40-50岁妈妈装两件套母亲节衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1k07KQFXXXXb9XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549166259936&ns=1&abbucket=0,89,13911人付款,江苏苏州,MNS17X238,摩尼树,适中,聚酯,2017年夏季,时尚,纯色,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,口袋
中老年女装半袖妈妈装春装短款打底雪纺小衫中年人夏装长袖上衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1Z5EhPVXXXXcTaFXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=546522760078&ns=1&abbucket=0#detail,69.8,13443人付款,浙江嘉兴,,,适中,"羊毛,聚酯","2017年春季,2017年夏季",时尚,花色,40-49周岁,宽松,单件,套头,常规,V领,常规,,,镶钻
中老年妈妈装夏装雪纺衫短袖套装T恤中年女装裤子两件套上衣大码,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1xET3QFXXXXc0XXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=547708462823&ns=1&abbucket=0#detail,29.9,4687人付款,江苏苏州,,,适中,聚酯,2017年夏季,时尚,其他,50-59周岁,直筒,单件,套头,常规,圆领,常规,,,
妈妈夏装套装40-50岁中年人两件套中老年女装雪纺短袖t恤上衣裤子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1kKV9KpXXXXXmaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=533210250039&ns=1&abbucket=0,59,13072人付款,江苏苏州,YZR1922TZ16,衣之绒,薄,聚酯,2016年夏季,时尚,纯色,50-59周岁,宽松,两件套,套头,中长款,圆领,常规,,91%(含)-95%(含),镶钻
妈妈装夏装短袖T恤中年人大码上衣女时尚妇女30-40岁宽松打底衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2001328449/TB2JiRgi_cCL1FjSZFPXXXZgpXa_!!2001328449.jpg,https://item.taobao.com/item.htm?id=548809326565&ns=1&abbucket=0#detail,23.9,8292人付款,江苏苏州,170416,other/其他,薄,"蕾丝,聚酯,其他",2017年夏季,时尚,纯色,40-49周岁,宽松,单件,套头,中长款,圆领,,,81%(含)-90%(含),纱网
母亲节中老年女装春装套装妈妈装上衣+裤子中年人T恤夏装两件套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2132824876/TB2DNQko5pnpuFjSZFIXXXh2VXa_!!2132824876.jpg,https://item.taobao.com/item.htm?id=544669880631&ns=1&abbucket=0#detail,39.9,10842人付款,江苏苏州,88,,薄,"聚酯,其他","2017年春季,2017年夏季",民族风,花鸟图案,40-49周岁,修身,两件套,套头,常规,圆领,常规,,,
中老年女夏装妈妈装奶奶宽松亚麻短袖T恤上衣裤子两件套棉麻套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2550020000/TB2AinnkB0kpuFjSsppXXcGTXXa_!!2550020000.jpg,https://item.taobao.com/item.htm?id=546566552759&ns=1&abbucket=0#detail,59,10543人付款,浙江嘉兴,GSY585,妈妈之美,薄,"棉麻,其他",2017年春季,时尚,花色,50-59周岁,宽松,两件套,套头,常规,圆领,常规,,,
2017夏装新款妈妈装中年人雪纺衫短袖大码套装中老年女装夏装t恤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2298614513/TB2geTBqYBmpuFjSZFuXXaG_XXa_!!2298614513.jpg,https://item.taobao.com/item.htm?id=528553041377&ns=1&abbucket=0#detail,25,6868人付款,江苏苏州,1625-175,other/其他,薄,"雪纺,聚酯",2017年夏季,时尚,其他,40-49周岁,宽松,单件,套头,常规,圆领,常规,,,绣花
中老年女装夏装套装妈妈装夏季短袖T恤大码上衣老年人宽松两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1942543772/TB2QC0alFXXXXXNXpXXXXXXXXXX_!!1942543772.jpg,https://item.taobao.com/item.htm?id=528023153450&ns=1&abbucket=0#detail,39,8393人付款,江苏苏州,zc5439,,薄,"蕾丝,聚酯",2017年夏季,时尚,大花,50-59周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,纱网
中老年女装妈妈装夏装中年两件套装40-50岁印花套装老年人夏装t恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2313387041/TB2LYRUeR0lpuFjSszdXXcdxFXa_!!2313387041.jpg,https://item.taobao.com/item.htm?id=545321208800&ns=1&abbucket=0#detail,34.9,11778人付款,江苏苏州,,,薄,"雪纺,亚麻,其他",2017年夏季,民族风,花鸟图案,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,51%(含)-70%(含),
中老年女装夏装雪纺套装中年妈妈装短袖两件套上衣短袖T恤宽松40,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1618508010/TB2b1FnoYBnpuFjSZFGXXX51pXa_!!1618508010.jpg,https://item.taobao.com/item.htm?id=546541223561&ns=1&abbucket=0#detail,39.9,5747人付款,江苏苏州,,,适中,"雪纺,聚酯",2017年夏季,时尚,纯色,50-59周岁,直筒,假两件,套头,常规,圆领,常规,,,
中老年女装夏装短袖t恤衫中年妇女母亲节衣服妈妈装雪纺套装上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/454660904/TB2_5kRoYBmpuFjSZFuXXaG_XXa_!!454660904.jpg,https://item.taobao.com/item.htm?id=545247525635&ns=1&abbucket=0#detail,29.9,9088人付款,上海,,,薄,雪纺,"2017年春季,2017年夏季",时尚,纯色,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,纱网
中老年女装短袖夏装妈妈装套装中年人上衣+裤子中年人T恤两件套夏,https://g-search3.alicdn.com/img/bao/uploaded/i4/i6/TB1R6FIQpXXXXauXpXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=547036182393&ns=1&abbucket=0#detail,39.9,7875人付款,江苏苏州,,,薄,"聚酯,其他",2017年夏季,民族风,其他,40-49周岁,宽松,两件套,套头,常规,圆领,,,,
中老年女装夏装套装上衣裤子40-50岁妈妈装雪纺袖T恤衫老人两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1JxLYRXXXXXX0XVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544731783787&ns=1&abbucket=0,59,13023人付款,上海,5280,简港,薄,其他,2017年夏季,时尚,其他,,修身,两件套,套头,常规,圆领,常规,,96%及以上,
中老年女装短袖夏装雪纺袖妈妈装套装中年人上衣+裤子T恤两件套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/3013906078/TB2OFUrbrRkpuFjSspmXXc.9XXa_!!3013906078.jpg,https://item.taobao.com/item.htm?id=543859954014&ns=1&abbucket=0#detail,39.9,10421人付款,江苏苏州,QX23,,薄,"聚酯,其他",2017年春季,休闲,花鸟图案,40-49周岁,修身,两件套,套头,常规,圆领,常规,,,
妈妈装两件套短袖夏装中老年女装套装中年T恤40-50-60岁雪纺衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1gmOnQFXXXXXjXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547367404403&ns=1&abbucket=0,68,11454人付款,浙江嘉兴,MXQ-1505,陌小柒,薄,聚酯,2017年夏季,休闲,纯色,50-59周岁,宽松,两件套,套头,短款,圆领,喇叭袖,,96%及以上,镶钻
中老年宽松短袖大码碎花T恤衫中年牛奶丝上衣女妈妈夏装短袖t恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1029426695/TB2y2ksmNtmpuFjSZFqXXbHFpXa_!!1029426695.jpg,https://item.taobao.com/item.htm?id=547211866646&ns=1&abbucket=0#detail,9.9,4219人付款,北京,,other/其他,适中,其他,2017年夏季,通勤,花色,50-59周岁,宽松,单件,套头,常规,圆领,常规,,81%(含)-90%(含),
妈妈装夏装套装40-50岁中老年女装短袖t恤运动上衣+裤子真两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/682076618/TB2m_iNlYJmpuFjSZFwXXaE4VXa_!!682076618.jpg,https://item.taobao.com/item.htm?id=547443356144&ns=1&abbucket=0#detail,45,8538人付款,江苏苏州,XYG309,轩雨阁,适中,"聚酯,涤纶",2017年夏季,运动,纯色,40-49周岁,宽松,两件套,套头,常规,V领,常规,,96%及以上,口袋
夏季妈妈装短袖雪纺衫大码40-50岁上衣中年t恤衫中老年人女装套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2318217556/TB2RALypJ0opuFjSZFxXXaDNVXa_!!2318217556.jpg,https://item.taobao.com/item.htm?id=546350581021&ns=1&abbucket=0#detail,29,4755人付款,上海,1853,,薄,"雪纺,聚酯",2017年夏季,时尚,花色,40-49周岁,直筒,单件,套头,短款,圆领,常规,,,纽扣
中老年女装春装长袖衬衫妈妈装40-50岁T恤上衣中年妇女打底衫夏装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/929217260/TB2jOxwfr0kpuFjy0FjXXcBbVXa_!!929217260.jpg,https://item.taobao.com/item.htm?id=545196508811&ns=1&abbucket=0#detail,29.9,5959人付款,北京,mry05,美如衣,适中,"聚酯,其他","2017年春季,2017年夏季",时尚,大花,40-49周岁,修身,单件,开衫,常规,,常规,单排扣,91%(含)-95%(含),纽扣
2017中老年女装春装真两件套针织开衫外套妈妈装夏装短袖T恤上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1mcIzPpXXXXbjXXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=545073123760&ns=1&abbucket=0#detail,64,7076人付款,浙江嘉兴,,,适中,其他,"2017年夏季,2017年春季",时尚,纯色,40-49周岁,宽松,两件套,开衫,常规,圆领,其他,,71%(含)-80%(含),镶钻
中年女妈妈夏装套装短袖t恤雪纺衫中老年套装两件套女母亲节衣服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1LWRYRXXXXXaiXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549612443412&ns=1&abbucket=0,138,12678人付款,江苏苏州,MJ-1136,名瑾,薄,聚酯,2017年夏季,时尚,纯色,40-49周岁,宽松,两件套,套头,常规,圆领,飞飞袖,,91%(含)-95%(含),腰带
新款中老年女装长袖T恤妈妈装40-50雪纺打底衫夏装针织衫两件套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2638148098/TB234C8fmVmpuFjSZFFXXcZApXa_!!2638148098.jpg,https://item.taobao.com/item.htm?id=534464472279&ns=1&abbucket=0#detail,19.9,4429人付款,江苏苏州,QX22,常熟靓衣,适中,"雪纺,聚酯","2017年春季,2017年夏季",时尚,花鸟图案,40-49周岁,修身,两件套,套头,常规,圆领,,,,
中老年人女装夏装短袖t恤妈妈两件套装中年夏季上衣宽松40-50岁,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2023990340/TB2IoMEmJBopuFjSZPcXXc9EpXa_!!2023990340.jpg,https://item.taobao.com/item.htm?id=548183897409&ns=1&abbucket=0#detail,48,11679人付款,江苏苏州,YBD-F21,,薄,棉,2017年夏季,休闲,花色,40-49周岁,宽松,两件套,套头,中长款,圆领,常规,,,荷叶边
中老年女装春夏季七分袖衬衫40-50中年妈妈装开衫上衣大码T恤衬衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i6/TB1ql74PVXXXXcQXVXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546665517444&ns=1&abbucket=0#detail,26.5,5591人付款,北京,801,卡菲玛依,适中,"聚酯,其他",2017年夏季,通勤,花色,40-49周岁,修身,单件,开衫,常规,POLO领,常规,单排扣,91%(含)-95%(含),纽扣
母亲节衣服中老年女装宽松上衣中年妈妈夏装短袖t恤40-50岁套装60,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB17_tDQFXXXXcpXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=529569806221&ns=1&abbucket=0,79,9139人付款,浙江嘉兴,TFNWY6019,拓芙尼,薄,聚酯,2016年夏季,时尚,其他,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,褶皱
中老年女装夏装套装妈妈装夏季雪纺短袖T恤大码上衣老年人两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1942543772/TB28JxSeCtkpuFjy0FhXXXQzFXa_!!1942543772.jpg,https://item.taobao.com/item.htm?id=545259010078&ns=1&abbucket=0#detail,39,5881人付款,江苏苏州,20170217,,薄,"雪纺,聚酯",2017年夏季,知性,花鸟图案,50-59周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,绣花
母亲节中老年女装夏装短袖40-50岁雪纺衫大码妈妈装T恤宽上衣套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/378792834/TB260I3itFopuFjSZFHXXbSlXXa_!!378792834.jpg,https://item.taobao.com/item.htm?id=545383628482&ns=1&abbucket=0#detail,32.99,6656人付款,上海,TX002,,薄,聚酯,2017年夏季,时尚,花色,40-49周岁,修身,单件,套头,常规,圆领,常规,,91%(含)-95%(含),荷叶边
母亲节妈妈夏装T恤40-50岁中年女装两件套装2017新款中老年人衣服,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1wYoUQFXXXXbPXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547276741503&ns=1&abbucket=0,116,11479人付款,浙江嘉兴,smt/2017793,苏米唐,薄,其他,2017年夏季,时尚,花色,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,
中老年女装春装长袖T恤打底衫妈妈装夏装40-50岁蕾丝上衣连衣裙女,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2298614513/TB2htVrpkqvpuFjSZFhXXaOgXXa_!!2298614513.jpg,https://item.taobao.com/item.htm?id=543291638952&ns=1&abbucket=0#detail,35,5539人付款,江苏苏州,1636-177,other/其他,适中,"聚酯,其他",2017年春季,时尚,其他,40-49周岁,修身,单件,套头,常规,圆领,常规,,,镶钻
母亲节衣服夏季中老年女装夏装套装上衣40-50岁妈妈装T恤衫两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB17gDLQVXXXXaFXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549877477144&ns=1&abbucket=0,59,6806人付款,江苏苏州,lx-4067128,Lina＆Sherry/玲馨,薄,其他,2017年夏季,时尚,花色,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,镶钻
中老年女装夏装套装妈妈装两件套雪纺衫中年春装T恤母亲节上衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB13ctERXXXXXckXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547871092839&ns=1&abbucket=0,158,10971人付款,浙江嘉兴,XYJXC1717-1,香颜,适中,聚酯,2017年夏季,时尚,条纹,40-49周岁,修身,两件套,套头,常规,POLO领,常规,单排扣,96%及以上,肩章
母亲节衣服夏季中年女装夏装2017新款上衣雪纺衫妈妈40-50岁套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1_n8ZRXXXXXXwapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546562298628&ns=1&abbucket=0,69,10356人付款,江苏苏州,NLH-3121134,尼罗鹤,薄,聚酯,2017年夏季,时尚,花鸟图案,40-49周岁,宽松,单件,套头,中长款,圆领,常规,,96%及以上,镶钻
母亲节中老年女装40-50岁妈妈装夏装中年t恤短袖上衣衣服春装套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1pA6eJFXXXXboXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=528882853170&ns=1&abbucket=0,68,9676人付款,浙江嘉兴,C6B61-621,MITCHSHEEPS/米其羊,薄,聚酯,2016年夏季,时尚,纯色,40-49周岁,宽松,单件,套头,中长款,圆领,其他,,96%及以上,
母亲节中年女装春装套装40-50岁妈妈装夏装短袖t恤中老年人上衣潮,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1qxMCQpXXXXbBXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548113705128&ns=1&abbucket=0,118,11584人付款,浙江嘉兴,WDWSF8022,DUOYEREE/朵莹,适中,聚酯,2017年夏季,知性,花色,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,
天天特价中老年妈妈装40-60岁女装夏季短袖T恤宽松大码夏装中袖,https://g-search3.alicdn.com/img/bao/uploaded/i4/i6/TB1mFuFQVXXXXauaXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=545565997063&ns=1&abbucket=0#detail,18.6,4478人付款,江苏苏州,HN-C1,漪莎,薄,"聚酯,棉纶","2017年春季,2017年夏季",休闲,复古图案,50-59周岁,宽松,单件,套头,常规,圆领,,单排两粒扣,,纽扣
中年女装夏装短袖t恤妈妈装套装中长宽松大码中老年人夏款40-50岁,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1608088165/TB2.qoclHJkpuFjy1zcXXa5FFXa_!!1608088165.jpg,https://item.taobao.com/item.htm?id=548736062319&ns=1&abbucket=0#detail,29.9,5927人付款,江苏苏州,,,适中,其他,2017年夏季,时尚,纯色,40-49周岁,宽松,单件,套头,中长款,圆领,,,,
母亲节妈妈装夏装t恤40-50岁大码中老年女装上衣雪纺衫2017新款潮,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1.8umRXXXXXa2XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548047198296&ns=1&abbucket=0,49,8509人付款,江苏苏州,QN-3006001,浅念,适中,其他,2017年夏季,时尚,纯色,40-49周岁,宽松,单件,套头,常规,圆领,荷叶袖,,96%及以上,
中年女衣服夏季中老年女装短袖妈妈装T恤加肥加大码宽松短款上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1720733357/TB2gtivkhxmpuFjSZFNXXXrRXXa_!!1720733357.jpg,https://item.taobao.com/item.htm?id=547137182253&ns=1&abbucket=0#detail,9.9,3710人付款,北京,,other/其他,薄,聚酯,2017年夏季,通勤,碎花,40-49周岁,宽松,单件,套头,常规,圆领,常规,,81%(含)-90%(含),
