BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,STATE,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
201706,17,238,KANSAS,FT SCOTT,37.85,-94.69,37.85,-94.69
201706,14,1530,GULF OF MEXICO,LONGBOAT KEY,27.39,-82.65,27.4082,-82.7059
201706,19,1155,FLORIDA,PORT CHARLOTTE,26.99,-82.11,26.99,-82.11
201706,19,1336,GULF OF MEXICO,ST PETERSBURG BEACH,27.7685,-82.6257,27.7685,-82.6257
201706,19,1343,GULF OF MEXICO,LOWER TAMPA BAY,27.74,-82.7,27.74,-82.7
201706,27,700,GULF OF MEXICO,CLEARWATER BEACH,28.1538,-82.8148,28.1538,-82.8148
201706,22,10,ALABAMA,HACODA,31.1,-86.15,31.1,-86.15
201706,30,1242,ALABAMA,SAMSON,31.11,-86.04,31.11,-86.04
201706,17,510,KANSAS,PITTSBURG,37.4,-94.72,37.4,-94.72
201706,17,612,KANSAS,PITTSBURG,37.42,-94.71,37.42,-94.71
