row.names,home.dest,room,ticket,boat,sex
52,"Ascot, Berkshire / Rochester, NY",,,,male
53,"New York, NY",,,5,female
54,"Little Onn Hall, Staffs",,,(172),male
55,"Little Onn Hall, Staffs",,,6,female
56,"Amenia, ND",,,,male
57,"Amenia, ND",,,,female
58,"New York, NY / Ithaca, NY",,,5,male
59,"New York, NY / Ithaca, NY",,,5,female
60,"London, England",,,8,female
61,"Paris, France",,,7,male
62,"St Leonards-on-Sea, England Ohio",,,6,female
63,"Liverpool, England / Belfast",,,,male
64,"Los Angeles, CA",C-87,,,male
65,"Los Angeles, CA",C-87,,4,female
66,"Stoughton, MA",,,,male
67,"Victoria, BC",,,,male
68,"Lakewood, NJ",,,14,female
69,"Lakewood, NJ",,,,male
70,"Lakewood, NJ",,,14,female
71,"New York, NY",C-101,,2,female
72,"Roachdale, IN",,,,male
73,"Milwaukee, WI",,,(269),male
74,"Milwaukee, WI",,,5,female
75,"Milwaukee, WI",,,5,female
76,"New York, NY",C-85,,,male
77,"New York, NY",C-85,,4,female
78,"Lima, Peru",,,A,male
79,"Philadelphia, PA",,,7,male
80,"Montreal, PQ",,,,male
81,"Montreal, PQ",,,3,female
82,"Belgium  Montreal, PQ",,,6,female
83,"Calgary, AB",,,3,male
84,"Calgary, AB",,,3,female
85,"San Francisco, CA",,,13,male
86,"San Francisco, CA",,,5/7,female
87,"San Francisco, CA",,,5/7,male
88,"Montreal, PQ",,,6,female
89,"Deephaven, MN / Cedar Rapids, IA",,,(62),male
90,"Deephaven, MN / Cedar Rapids, IA",,,2,female
91,London / Paris,,11755 L39 12s,1,male
92,London / Paris,,17485 L56 18s 7d,1,female
93,"Philadelphia, PA",,,(133),male
94,"Mt Airy, Philadelphia, PA",,,7,female
95,"Brookline, MA",,,4,female
96,"New York, NY",,,,female
97,"New York, NY",,,7,female
98,"Brooklyn, NY",,,5/7,male
99,"New York, NY",,,,male
100,"Winnipeg, MB",,,10,female
101,"Winnipeg, MB",,,,male
102,"Winnipeg, MB",,,10,female
103,"Winnipeg, MB",,,10,female
104,"Winnipeg, MB",,,,male
105,"Winnipeg, MB",,,10,female
106,"Westcliff-on-Sea, Essex",,,,male
107,"New York, NY",,,5,male
108,"New York, NY",,,5,female
109,"New York, NY",,,5,male
110,"Zurich, Switzerland",,,5,female
111,"Zurich, Switzerland",,,5,male
112,"Zurich, Switzerland",,,5,female
113,"Scituate, MA",,,,male
114,"Scituate, MA",,,9,female
115,"St Anne's-on-Sea, Lancashire",,,(275),male
116,"New York, NY",,,7,female
117,"New York, NY",,,7,female
118,"Paris, France / New York, NY",,,5,male
119,"Paris, France / New York, NY",,,5,female
120,"New York, NY",,,,male
121,"Washington, DC",C-51,113780 L28 10s,B,male
122,"Winnipeg, MB",,,(147),male
123,"Greenwich, CT",C-125,17582 L153 9s 3d,3,female
124,"Greenwich, CT",C-91,17582 L153 9s 3d,3,female
125,"New York, NY",,,7,female
126,"New York, NY",,,7,male
127,"New York, NY",B-82/4,17593 L56 18s 7d,,male
128,"Brooklyn, NY",,,5,male
129,"Brooklyn, NY",,,5,female
130,"New York, NY",,,3,male
131,"New York, NY",,,3,female
132,"New York, NY",C-83,36973 L83 9s 6d,,male
133,"New York, NY",C-83,36973 L83 9s 6d,D,female
134,"Kingston, Surrey",,,3,male
135,"Montreal, PQ",,,(307),male
136,"Montreal, PQ",,,3,female
137,"New York, NY",,,7,female
138,London / Middlesex,,,,male
139,"Brighton, MA",,,,male
140,London / Birmingham,,,,male
141,"Chicago, IL",B-18,111361 L57 19s 7d,4,female
142,"Chicago, IL",B-18,111361 L57 19s 7d,4,female
143,"Hudson, NY",D-?,13502 L77,10,female
144,"New York, NY",,,(38),male
145,"New York, NY",,,,female
146,"Indianapolis, IN",,,15,male
147,"New York, NY /  Stamford CT",C-93,,D,male
148,"New York, NY /  Stamford CT",C-93,,D,female
149,"New York, NY",,,14,male
150,"Paris, France New York, NY",C-49,,,female
151,Liverpool,B-52/4/6,112058 Complimentary,C,male
152,"Bennington, VT",,,(80),male
153,London,,,,male
154,"Buffalo, NY",,,(258),male
155,"Southington / Noank, CT",,,,male
156,"Southington / Noank, CT",,,8,female
157,"Boston, MA",,,5,male
158,"Boston, MA",,,5,female
159,"Portland, OR",,,,male
160,"New York, NY",,,8,female
161,"Chicago, IL",,,,male
162,"Stockholm, Sweden",,,,male
163,"Stockholm, Sweden",,,6,female
164,"Paris, France",,,9,female
165,"Paris, France",,,9,female
166,,,,,male
167,"Springfield, MA",,,(126),male
168,"Hudson, NY",D-?,13502 L77,10,female
169,"London / New York, NY",,,,male
170,"St Louis, MO",B-5,24160 L221,2,female
171,"Brockton, MA",,,,male
172,"Paris, France",,,7,male
173,"New York, NY",,,,male
174,"New York, NY",,,,female
175,"Vancouver, BC",,,(292),male
176,"Dorchester, MA",,,(175),male
177,"Philadelphia, PA",,,7,male
178,"New York, NY",,,,male
179,"New York, NY",,,6,female
180,"East Bridgewater, MA",,,(249),male
181,"Green Bay, WI",,,14,female
182,"Fond du Lac, WI",,,(230),male
183,"Fond du Lac, WI",,,14,female
184,"New York, NY",,,11,male
185,"Montreal, PQ",,,,male
186,"Washington, DC",,,,male
187,"Brooklyn, NY",,,,male
188,"Lexington, MA",,,(122),male
189,"Lexington, MA",,,6,female
190,"Lexington, MA",,,6,female
191,"New York, NY",,,5,female
192,"Isle of Wight, England",,,(263),male
193,"Paris, France",,,7,male
194,"Providence, RI",,,(234),male
195,"Providence, RI",,,5,female
196,"?Havana, Cuba",,,(189),male
197,Belfast,,,,male
198,"Surbiton Hill, Surrey",,,(166),male
199,"Montreal, PQ",,,,male
200,"Isleworth, England",,,,male
201,"Isleworth, England",,,8,female
202,"Madrid, Spain",,,,male
203,"Madrid, Spain",,,8,female
204,"Toronto, ON",C-104,,6,male
205,"Worcester, MA",,,(207),male
206,"Mt Airy, Philadelphia, PA",,,7,female
207,"Rotterdam, Netherlands",,,,male
208,"Paris /  New York, NY",,17604 L39 12s,A,male
209,"St Louis, MO",B-3,24160 L221,2,female
210,"Trenton, NJ",,,,male
211,"New York, NY",,,15,male
212,"Seattle, WA",,,,male
213,"Paris, France",A-11,17613 L27 14s 5d,11,female
214,"Winnipeg, MB",,,,male
215,"London  Vancouver, BC",,,8,female
216,"New York, NY",,,,male
217,"New York, NY",,,6,female
218,London,,,(109),male
219,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,,male
220,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,female
221,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,female
222,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,male
223,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,female
224,"Manchester, England",,,3,male
225,"New York, NY",,,1,male
226,"New York, NY",,,11,female
227,"New York, NY",,,7,male
228,"New York, NY / Greenwich CT",C-125,17582 L153 9s 3d,3,female
229,"St Louis, MO",,,5,male
230,"Duluth, MN",,,,male
231,"Duluth, MN",,,,female
232,"Basel, Switzerland",,,3,male
233,"New Britain, CT",,,7,male
234,"New York, NY",,,,male
235,"St James, Long Island, NY",,,,male
236,"Huntington, WV",,,,male
237,"Huntington, WV",,,6,female
238,"Streatham, Surrey",,,,male
239,"Minneapolis, MN",,,7,male
240,"Minneapolis, MN",,,7,female
241,"Tuxedo Park, NY",,,3,male
242,"Tuxedo Park, NY",,,3,female
243,"Tuxedo Park, NY",,,3,male
244,"Paris, France",,,,male
245,"Paris, France",,,6,female
246,"Basel, Switzerland",,,3,male
247,"Wimbledon Park, London / Hayling Island, Hants",C-89,,,male
248,"Newark, NJ",,,1,male
249,"Newark, NJ",,,5,female
250,"Haverford, PA",,,4,female
251,"Gallipolis, Ohio / ? Paris / New York",,,,male
252,"Cincinatti, OH",,,6,female
253,"New York, NY",,17483 L221 15s 7d,(96),male
254,"New York, NY",,17483 L221 15s 7d,,female
255,"Haddenfield, NJ",,,(46),male
256,"Brooklyn, NY",,,8,female
257,"New York, NY",,,,male
258,"New York, NY",,,8,female
259,"New York, NY",,,8,female
260,"London /  East Orange, NJ",C-126,,5,male
261,"London /  East Orange, NJ",C-126,,5,female
262,"Haverford, PA",,,,male
263,"Haverford, PA",,,4,female
264,"Haverford, PA",,,B,male
265,"New York, NY",,,,male
266,"New York, NY",,,D,female
267,"Albany, NY",,,7,male
268,"Mexico City, Mexico",,,,male
269,"Brooklyn, NY",,,(245),male
270,"East Orange, NJ",,,,male
271,"Portland, OR",,,,male
272,"Portland, OR",,,5,female
273,"England Salt Lake City, Utah",,,,male
274,"New York, NY / Briarcliff Manor NY",,,8,female
275,"Brunswick, ME",,,,male
276,"Brunswick, ME",,,(169),male
277,"Youngstown, OH",,,,male
278,"Youngstown, OH",,,8,female
279,"Youngstown, OH",C-7,,8,female
280,"Elkins Park, PA",,,,male
281,"Elkins Park, PA",,,4,female
282,"Elkins Park, PA",,,,male
283,"Duluth, MN",,,,female
284,"Geneva, Switzerland / Radnor, PA",,,,male
285,"London, England",,,,male
286,"Geneva, Switzerland / Radnor, PA",,,A,male
287,"London, England",,,D,male
288,"Halifax, NS",,,,male
289,"New York, NY / Washington, DC",,,8,female
290,,,,,female
291,,,,,female
292,,,17754,,female
293,,C-97,17483,,female
294,,C-99,,,female
295,,,,,female
296,,,17608,,female
297,,C22,,11,female
298,,C-22,,8,female
299,"New York, NY",C-45,17754 L224 10s 6d,4,female
300,,C-55 (?C-95),17483,,male
301,,,,4,female
302,,,17485,,female
303,,B-102,112058,,male
304,,,,,female
305,,B-86,17593,,male
306,,,,,male
307,,,112059,(110),male
308,,,,,male
309,,,,,female
310,,,,(45),male
311,,,,2,female
312,,,,2,female
313,,B-?,,,male
314,,,,8,female
315,,,,,female
316,,,,,female
317,,,,(232),male
318,,C-62,17754,,male
319,,,,,female
320,,,,,female
321,,,,,female
322,,,,,female
323,"Russia New York, NY",,,,male
324,"Russia New York, NY",,,12,female
325,"Buenos Aires, Argentina / New Jersey, NJ",,,,male
326,"Cornwall, England Houghton, MI",,,,male
327,"Warwick, England",,,,male
328,"Warwick, England",,,,female
329,"West Hoboken, NJ",,,,male
330,"Penzance, Cornwall / Akron, OH",,,,male
331,Guernsey,,,,male
332,"Bristol, Avon / Jacksonville, FL",,,,female
333,"Plymouth, Dorset / Houghton, MI",,,,male
334,"Jacksonville, FL",,,(174),male
335,"Norwich / New York, NY",,,,male
336,"Norwich / New York, NY",,,,female
337,England,,,,male
338,"Guntur, India / Benton Harbour, MI",,230136 L39,11,female
339,"Guntur, India / Benton Harbour, MI",,230136 L39,11,female
340,"Guntur, India / Benton Harbour, MI",,230136 L39,11,male
341,"Guntur, India / Benton Harbour, MI",,230136 L39,13,female
342,London,D-56,248698 L13,13,male
343,"Rochester, NY",,,12,female
344,"St Ives, Cornwall / Calumet, MI",,,,male
345,"Elmira, NY / Orange, NJ",,,,male
346,London,,,,male
347,"Lake Arthur, Chavez County, NM",,,,male
348,"Cape Town, South Africa / Seattle, WA",,,14,female
349,"Cape Town, South Africa / Seattle, WA",,,,male
350,"Cape Town, South Africa / Seattle, WA",,,14,female
351,"Skara, Sweden / Rockford, IL",,,12,female
352,"Skara, Sweden / Rockford, IL",,,,male
353,"Sittingbourne, England / San Diego, CA",E-?,27849,9,female
354,"Southsea, Hants",,,(97),male
355,London,,,,male
356,"New York, NY",,,,female
357,"Bangkok, Thailand / Roseville, IL",,,13,male
358,"Bangkok, Thailand / Roseville, IL",,,13,female
359,"Bangkok, Thailand / Roseville, IL",,,13,male
360,"Mamaroneck, NY",,,,female
361,Belfast,,,,male
362,"St Ives, Cornwall / Calumet, MI",,,(18),male
363,London,,,,male
364,London,,,,female
365,"Bronx, NY",,,(130),male
366,"Cornwall / Spokane, WA",,,(17),male
367,"Cornwall / Spokane, WA",,,,female
368,London,,,,female
369,London,,,,female
370,"England / San Francisco, CA",,,,male
371,"England / San Francisco, CA",,,14,female
372,"Hartford, Huntingdonshire",,,,male
373,"Helsinki, Finland Ashtabula, Ohio",,,,male
374,"London / Fort Byron, NY",,,9,male
375,"Bishopstoke, Hants / Fayette Valley, ID",,,,male
376,"Bishopstoke, Hants / Fayette Valley, ID",,,14,female
377,"Bishopstoke, Hants / Fayette Valley, ID",,,14,female
378,Pennsylvania,F-33,,14,female
379,"Provo, UT",,,,female
380,"Upper Burma, India Pittsburgh, PA",,,,female
381,"Penzance, Cornwall / Akron, OH",,,,male
382,Belfast,,,,male
383,"Lyndhurst, England",,,,male
384,"St Ives, Cornwall / Hancock, MI",,,,female
385,"St Ives, Cornwall / Hancock, MI",,,,male
386,"London / Staten Island, NY",,,13,female
387,,,,,male
388,"Portugal / Sau Paulo, Brazil",,,,male
389,"Lucca, Italy / California",,,(295),male
390,"Lucca, Italy / California",,,,female
391,"Guernsey / Elizabeth, NJ",,,,male
392,"New Forest, England",,,,male
393,Southampton,,,,female
394,Southampton,,,,female
395,"Holley, NY",,,,male
396,"Greenport, NY",,28220 L32 10s,,male
397,"Greenport, NY",,28220 L32 10s,,female
398,"Greenport, NY",,28220 L32 10s,,male
399,"Barcelona, Spain / Havana, Cuba",,,12,female
400,"Barcelona, Spain / Havana, Cuba",,,12,female
401,"England / Detroit, MI",,,,male
402,"Goteborg, Sweden / Rockford, IL",,,,male
403,"Oslo, Norway Bayonne, NJ",,,,male
404,"England / Philadelphia, PA",,,(286),male
405,,,,,female
406,"Cornwall / Houghton, MI",,,,male
407,"Rochester, NY",,229236 L13,(236),male
408,Belfast,,,,male
409,"Janjgir, India / Pennsylvania",,,,female
410,"Liverpool / Montreal, PQ",,,(322),male
411,"Cornwall / Clear Creek, CO",,,,male
412,"Cornwall / Clear Creek, CO",,,,male
413,"Brooklyn, NY",,,,female
414,"Liverpool / Montreal, PQ",,,,male
415,"Guernsey / Elizabeth, NJ",,,,male
416,Cornwall,,,,male
417,"Cornwall / Camden, NJ",,,,male
418,"Cornwall / Camden, NJ",,,,male
419,"West Kensington, London",,,(297),male
420,"Clevedon, England",,,,male
421,"Vancouver, BC",,,,male
422,,,,(305),male
423,"Bronx, NY",,,(19),male
424,"Auburn, NY",,,(75),male
425,"Detroit, MI",,,,female
426,"Detroit, MI",,,,male
427,"Seattle, WA / Toledo, OH",,248749 L13,(35),male
428,"Denmark Hill, Surrey / Chicago",,,,male
429,"Denmark Hill, Surrey / Chicago",,,11,female
430,London,,,,male
431,"Walthamstow, England",,,,male
432,"Ilford, Essex / Winnipeg, MB",,13529 L26 5s,,male
433,"Ilford, Essex / Winnipeg, MB",,13529 L26 5s,14,female
434,"Ilford, Essex / Winnipeg, MB",,13529 L26 5s,14,female
435,"Somerset / Bernardsville, NJ",,,9,female
436,"Somerset / Bernardsville, NJ",,,9,female
437,"Somerset / Bernardsville, NJ",,,,male
438,"Somerset / Bernardsville, NJ",,,9,female
439,"India / Rapid City, SD",,,13,female
440,"West Hampstead, London / Neepawa, MB",,,(256),male
441,"West Hampstead, London / Neepawa, MB",,,,male
442,"West Hampstead, London / Neepawa, MB",,,,male
443,"Kontiolahti, Finland / Detroit, MI",,,,female
444,"Cornwall / Akron, OH",,,4,female
445,"Cornwall / Akron, OH",,,,male
446,"Cornwall / Akron, OH",,,4,female
447,"Devonport, England",,,,male
448,Southampton,,,(149),male
449,"England / Sacramento, CA",,,,male
450,"England / Sacramento, CA",,,,female
451,"New Forest, England",,,,male
452,"Tokyo, Japan",,,13,male
453,"Swindon, England",,,,male
454,"Swindon, England",,,,female
455,"Philadelphia, PA",,,,male
456,Guernsey,,,,female
457,London,,,,male
458,London,,,,female
459,"North Evington, England",,,,male
460,"Guernsey / Elizabeth, NJ",,,,male
461,"Guernsey / Elizabeth, NJ",,,,male
462,"St Ives, Cornwall / Houghton, MI",,,,male
463,"New York, NY",,,,female
464,"Moscow / Bronx, NY",,,(283),male
465,"Moscow / Bronx, NY",,,,female
466,"India / Pittsburgh, PA",,,,female
467,,,,,male
468,"Harrisburg, PA",E-101,,10,female
469,"London / New York, NY",,,,female
470,"Glasgow / Bangor, ME",,,,male
471,Belfast,,,,male
472,"Sweden / Arlington, NJ",,,(165),male
473,"Minneapolis, MN",,,,male
474,"Minneapolis, MN",,,,female
475,,,,,male
476,"Chicago, IL",F-33,,14/D,female
477,Paris / Haiti,,,,male
478,Paris / Haiti,,,,female
479,Paris / Haiti,,,,female
480,Paris / Haiti,,,,female
481,"Berne, Switzerland / Central City, IA",,,,female
482,"London / Chicago, IL",,,11,female
483,"Montreal, PQ",,,,male
484,,,,(108),male
485,,,,,male
486,"Weston-Super-Mare, Somerset",,,(121),male
487,"Weston-Super-Mare, Somerset",,,14,female
488,"Southampton / New York, NY",E77,,(52),female
489,Paris,,,,male
490,"Paris / Montreal, PQ",,,,male
491,"Paris / Montreal, PQ",,,,female
492,"Paris / Montreal, PQ",,,,male
493,"New York, NY",,,,male
494,"Worcester, MA",,,,male
495,"Worcester, England",,,,female
496,"St Austall, Cornwall",,,,male
497,"Weston-Super-Mare / Moose Jaw, SK",,,,male
498,"Sydney, Australia",,,(209),male
499,"Sarnia, ON",,,,male
500,"Rochester, NY",,,,male
501,"England / Bennington, VT",,,14/12,female
502,"England / Bennington, VT",,,14/12,female
503,"Chelsea, London",,,B,male
504,"Harrow-on-the-Hill, Middlesex",,,,male
505,"Copenhagen, Denmark",,,(271),male
506,"Guernsey / Montclair, NJ and/or Toledo, Ohio",,,,male
507,"Frankfort, KY",,,,male
508,"Petworth, Sussex",,,,male
509,"Halesworth, England",,,,male
510,"Cambridge, MA",,,,male
511,"New York, NY",,,(43),male
512,"New York, NY",,,,female
513,"Nice, France",,230080 L26,D,male
514,"Nice, France",,230080 L26,(15),male
515,"Nice, France",,230080 L26,D,male
516,"Boston, MA",,,,male
517,"Cornwall / Hancock, MI",,,(101),male
518,Glasgow,,,(287),male
519,"Cologne, Germany",D-38,,7,male
520,"Folkstone, Kent / New York, NY",F-33,,11,female
521,"Middleburg Heights, OH",,,,male
522,"Pondersend, England / New Durham, NJ",,,,male
523,"Spain / Havana, Cuba",,,,male
524,"Hamilton, ON",,,,male
525,"Spain / Havana, Cuba",,,,male
526,"St Andrews, Guernsey",,,,male
527,Belfast,,,,male
528,"Woodford County, KY",,,12,female
529,"Gunnislake, England / Butte, MT",,,,male
530,,,,,male
531,"Ilfracombe, Devon",,,12,female
532,"Ilfracombe, Devon",,,,male
533,Russia,,,,female
534,"Denmark / New York, NY",,250647,,male
535,"Milford, NH",,,,male
536,Paris,,,,male
537,"Plymouth, Devon / Detroit, MI",,,11,female
538,"Plymouth, Devon / Detroit, MI",,,11,female
539,"Plymouth, Devon / Detroit, MI",,,11,female
540,"Brighton, Sussex",,,,male
541,"Elizabeth, NJ",,,,male
542,"Elizabeth, NJ",,,,female
543,Spain,,,,female
544,"Paris / Montreal, PQ",,,,male
545,"Cornwall / Akron, OH",,,4,male
546,"Cornwall / Akron, OH",,,4,female
547,"Cornwall / Akron, OH",,,4,male
548,"London, England / Marietta, Ohio and Milwaukee, WI",,,,female
549,,,,,male
550,"Guernsey / Wilmington, DE",,,12,female
551,Liverpool,,,,male
552,"Hornsey, England",,,,male
553,"Deer Lodge, MT",,,12,female
554,"Finland / Minneapolis, MN",,,,female
555,"Cornwall / Hancock, MI",,,11,female
556,"Finland / Washington, DC",,,,female
557,"Sault St Marie, ON",,,,male
558,"Halifax, NS",,,13,female
559,Cornwall,,,,male
560,"Newark, NJ",,,,male
561,,,,,female
562,"Cornwall / Houghton, MI",,,,male
563,"New York, NY",,,,male
564,"Catford, Kent / Detroit, MI",,,(81),male
565,"Somerset / Bernardsville, NJ",,,,male
566,"Indianapolis, IN",,,9,female
567,,,,,male
568,"Columbus, OH",,,9,female
569,"Bath, England / Massachusetts",E-101,34218 L10 10s,16,female
570,"Plymouth, England",,,,male
571,"Plymouth, England",,,,female
572,"Barre, Co Washington, VT",,,,male
573,"Antwerp, Belgium / Stanton, OH",,,(140),male
574,"Mamaroneck, NY",,,,female
575,"Bristol, England / New Britain, CT",,,,male
576,"Bristol, England / New Britain, CT",,,12,female
577,,,,,male
578,Belfast,,,,male
579,"Aberdeen / Portland, OR",,,9,female
580,"Aberdeen / Portland, OR",,,9,female
581,"England / Hartford, CT",E-101,,,female
582,"Bromsgrove, England / Montreal, PQ",,,(293),male
583,"Bromsgrove, England / Montreal, PQ",,,,female
584,"Cornwall / Akron, OH",,,,female
585,"Cornwall / Akron, OH",,,,female
586,"Cornwall / Akron, OH",,,,male
587,"Bournmouth, England",,,,female
588,"Bournmouth, England",,,,female
589,"Bournmouth, England",,,,male
590,"Bournmouth, England",,,,female
591,"Guernsey, England / Edgewood, RI",,,,male
592,,,,,male
593,,,,,male
594,"London, England",,,9,male
595,"Manchester, England",,,,female
596,"Harrow, England",,,14,male
597,"Yoevil, England / Cottage Grove, OR",,,9,female
598,Paris,,,,female
599,"Bryn Mawr, PA, USA",,248744 L13,,male
600,"London / Montreal, PQ",F-33,,11,female
601,,2131,L15 1s,,male
602,,F-?,,(294),male
603,,,,,male
604,"East Providence, RI",,,,male
605,"East Providence, RI",,,(190),male
606,"East Providence, RI",,,A,female
607,"Norway Los Angeles, CA",,,16,female
608,"Perkins County, SD",,,A,male
609,"Greensburg, PA",,,,female
610,"Taalintehdas, Finland Hoboken, NJ",,,15,male
611,"Asarum, Sweden Brooklyn, NY",,7076,(72),male
612,"Bournemouth, England",,,(103),male
613,"Sweden Akeley, MN",,,,female
614,,,,,male
615,"Finland Sudbury, ON",,,,male
616,"London, England Norfolk, VA",,392091,13,female
617,"London, England Norfolk, VA",,392091,11,male
618,"England Albion, NY",,,,male
619,"Salo, Finland Astoria, OR",,,,male
620,Argentina,,,(79),male
621,"Lower Clapton, Middlesex or Erdington, Birmingham",,,,male
622,"Windsor, England New York, NY",,,(259),male
623,"Bergen, Norway",,,(260),male
624,"Oslo, Norway Cameron, WI",,,(89),male
625,"Sweden Winnipeg, MN",,,,male
626,"Sweden Winnipeg, MN",,,,female
627,"Sweden Winnipeg, MN",,,,female
628,"Sweden Winnipeg, MN",,,,female
629,"Ruotsinphyhtaa, Finland New York, NY",,,,female
630,"Vadsbro, Sweden Ministee, MI",,,,female
631,"Sweden Winnipeg, MN",,,,female
632,"Hartford, CT",,,,male
633,"Sweden Winnipeg, MN",,,,female
634,"Sweden Winnipeg, MN",,,,male
635,"Sweden Chicago, IL",,,,male
636,"Bulgaria Chicago, IL",,,,male
637,"Altdorf, Switzerland",,,,male
638,"Altdorf, Switzerland",,,,female
639,"Sweden Joliet, IL",,,,male
640,,,,,male
641,"Sweden  Worcester, MA",,,(142),male
642,"Sweden  Worcester, MA",,,4,female
643,"Sweden  Worcester, MA",,,,male
644,"Sweden Worcester, MA",,,,male
645,"Sweden Worcester, MA",,,4,male
646,"Sweden Worcester, MA",,,,male
647,"Oskarshamn, Sweden Minneapolis, MN",,,,male
648,"Sweden Worcester, MA",,,4,female
649,"Ottawa, ON",,,,male
650,"Ottawa, ON",,,C,female
651,,,,,male
652,,,,,female
653,"Ottawa, ON",,,,male
654,"Krakoryd, Sweden Bloomington, IL",,,,male
655,,,,,male
656,"Ruotsinphytaa, Finland New York, NY",,,,male
657,"Ruotsinphytaa, Finland New York, NY",,,,female
658,"Syria New York, NY",,,,female
659,"Syria New York, NY",,,,female
660,"Syria New York, NY",,,,female
661,"Syria New York, NY",,,,female
662,"London Skanteales, NY",,,,female
663,,,,,male
664,,,,,male
665,"Syria Youngstown, OH",,,,female
666,"Syria Ottawa, ON",,,,female
667,"Syria Ottawa, ON",,,,female
668,"New York, NY",,,,female
669,"England New York, NY",,,,male
670,England,,,,male
671,"Krakudden, Sweden Moune, IL",,,,male
672,"Tranvik, Finland New York",,,,male
673,Syria,,,,male
674,"Hong Kong New York, NY",,,,male
675,"Brennes, Norway New York",,,,male
676,"Stockholm, Sweden New York",,,,male
677,"Bulgaria Chicago, IL",,,,male
678,"Syria Kent, ON",,,,male
679,Syria,,,,male
680,"Syria Kent, ON",,,,female
681,"Syria Kent, ON",,,,female
682,"Ireland Chicago, IL",,,,male
683,"Ireland Chicago, IL",,,,female
684,"Ireland Chicago, IL",,,,female
685,"Treherbert, Cardiff, Wales",,,,male
686,"Kingwilliamstown, Co Cork, Ireland Glens Falls, NY",,,13,female
687,"Medeltorp, Sweden Chicago, IL",,,,female
688,,,,,male
689,"Bridgerule, Devon",,,,male
690,"Bridgerule, Devon",,,,male
691,"Sweden Worcester, MA",,,,male
692,"Broomfield, Chelmsford, England",,,,male
693,"Kingwilliamstown, Co Cork, Ireland New York, NY",,,,male
694,"Co Cork, Ireland Roxbury, MA",,,(299),female
695,"Co Cork, Ireland Charlestown, MA",,,,male
696,"Co Sligo, Ireland New York, NY",,,,female
697,Croatia,,,,male
698,Croatia,,,,male
699,Croatia,,,,male
700,Croatia,,,,male
701,,,,,male
702,,,,,female
703,"Ireland Philadelphia, PA",,,,male
704,,,,,male
705,"Ottawa, ON",,,,male
706,"Ottawa, ON",,,,female
707,"Goteborg, Sweden Huntley, IL",,,,male
708,"New York, NY",,,,male
709,,,,,male
710,"Dagsas, Sweden Fower, MN",,,,male
711,"Co Longford, Ireland New York, NY",,,,female
712,"Co Sligo, Ireland Hartford, CT",,,,female
713,"St Denys, Southampton, Hants",,,,male
714,"Syria Fredericksburg, VA",,,,male
715,London,,,,male
716,"Ireland New York, NY",,,,male
717,,,,,male
