證券商代號,證券商名稱,開業日,地址,電話
1040,臺銀證券,97/01/02,台北市重慶南路1段58號4樓、5樓部分,02-23882188
1111,台灣企銀-台中,650701,台中市臺灣大道1段400號二、三樓,04-2270160
1112,台灣企銀-台南,831101,台南市中正路一八五號四樓,06-2238967
1113,台灣企銀-九如,661001,高雄市三民區九如二路255號3樓,07-3137171
1114,台灣企銀-嘉義,650701,嘉義市光華路132號,05-2278043
1115,台灣企銀-太平,850703,台中市太平區中興里二鄰中興東路二十七號,04-22757802
1116,台灣企銀-屏東,650701,屏東市漢口街七號,08-7327171
1117,台灣企銀-竹北,850803,新竹縣竹北市斗崙里縣政九路一二八號三樓,03-5527171
1118,台灣企銀-豐原,850731,台中市豐原區源豐路1號4樓,04-25253485
1119,台灣企銀-岡山,850716,高雄市岡山區岡山路412號4樓,07-6227171
111A,台灣企銀-民雄,860807,嘉義縣民雄鄉建國路三段八十三號三樓,05-2207171
111B,台灣企銀-建成,871026,台北市南京西路七十六號二樓,02-25506998
111C,台灣企銀-三民,870818,高雄市六合二路1號2樓,07-2877171
111E,臺灣企銀-桃園,910822,桃園市中華路99號3樓,03-3311007
111F,台灣企銀-北高雄,910808,高雄市復興一路九十號三樓,07-2360116
111G,臺灣企銀-埔墘,970704,新北市板橋區中山路2段62號2樓之2,02-89515671
1110,台灣企銀,65/07/01,台北市塔城街30號4樓,02-25597171
1161,日盛-忠孝,800828,台北市中正區重慶南路1段10號11樓部分,02-23117676
1162,日盛-台南,810518,台南市東區東門路1段358號2樓之1部分,06-2208088
1163,日盛-台中,800828,台中市台灣大道二段573號4樓部分,04-23278989
1164,日盛-內湖,800828,台北市內湖區民權東路6段114號3樓,02-87927888
1165,日盛-板橋,800828,新北市板橋區府中路29號4樓,02-29693333
1166,日盛-雙和,800828,新北市中和區中和路356號3樓及358之1號3樓,02-29206868
1167,日盛-嘉義,800828,嘉義市興業西路342號之一2樓,05-2860777
1168,日盛-高雄,810108,高雄市七賢二路267號2樓,07-2816888
1169,日盛-士林,821129,台北市士林區文林路338號2樓,02-28831515
116A,日盛-木柵,821229,台北市木柵路3段96號4樓之1,02-22342616
116B,日盛-中壢,840325,桃園市中壢區復興路46號4樓,03-4273888
116C,日盛-八德,840518,桃園市八德區介壽路1段919號地下1樓,03-3622888
116E,日盛-三重,850606,新北市三重區重新路2段21號4樓,02-29845858
116F,日盛-員林,810901,彰化縣員林鎮中山路1段753號4、5樓,04-8326118
116G,日盛-景美,810518,台北市羅斯福路6段403號3樓,02-29353966
116H,日盛-新竹,810901,新竹市東門街60號3及4及6樓,03-5227868
116I,日盛-南京,851224,台北市南京東路2段38號3樓、7樓部分,02-25215678
116J,日盛-板橋中山,851113,新北市板橋區三民路1段210號4樓,02-29559000
116K,日盛-花蓮,851224,花蓮市中山路207號2、3樓,038-346888
116L,日盛-大墩,860505,台中市大墩路709號1、2樓、地下1樓,04-23288898
116M,日盛-屏東,861115,屏東市中正路125號3樓之1及3樓之2,08-7663888
116N,日盛-永康,861108,台南縣永康市小東路451號1樓及中華路1之1號2樓,06-3113888
116P,日盛-信義,870423,台北市基隆路2段109號2樓,02-27390369
116Q,日盛-二林,810901,彰化縣二林鎮中山路116號4、5樓,04-8951808
116S,日盛-新莊,870216,新北市新莊區中正路383號2樓及3樓,02-22019789
116U,日盛-桃園,871001,桃園市中正路1223號2樓,03-3553188
116V,日盛-斗六,870826,雲林縣斗六市中山路72號2樓,05-5351010
116W,日盛-鳳山,880615,高雄市鳳山區光遠路163號2樓,07-7462488
116X,日盛-宜蘭,880615,宜蘭縣宜蘭市中山路3段217號2樓,039-313588
116Z,日盛-中和,911011,台北縣中和市中和路35號4樓、29號4樓、31號4樓、33號4樓,02-22493366
116b,日盛-園區,911007,新竹市建中路37號1樓,03-5717666
116c,日盛-豐原,911212,台中市豐原區三民路95號4、5樓,(04)25229688
116d,日盛-三峽,930618,新北市三峽區文化路59號4樓之1,02-26745568
116e,日盛-竹北,930630,新竹縣竹北市縣政二路273、275號1樓,03-5585988
116f,日盛-復興,911011,台北市復興北路57號2樓之2,02-87718888
116g,日盛-龍潭,930810,桃園市龍潭區大昌路一段86號1樓,03-4802000
116i,日盛-樹林,870216,新北市樹林區中山路1段100、102號4樓,02-26869968
116j,日盛-頭份,911007,苗栗縣頭份鎮中華路926號2、4樓,037-663888
116k,日盛-北高雄,931105,高雄市鼓山區華榮路391號1、2樓,07-5501768
116m,日盛-和美,911031,彰化縣和美鎮彰美路5段300號3樓及4樓部分,04-7565988
116r,日盛-文化,911011,新北市板橋區文化路2段182巷1弄2號3樓,02-22569999
116s,日盛-土城,911011,新北市土城區中央路2段209號2樓,02-82613366
116x,日盛-國際證券,1030718,台北市南京東路2段85、87號5樓部分,25615888
1160,日盛,50/12/08,台北市南京東路2段111號3樓及5、6、7、8、12、13樓部分,02-25048888
1232,彰銀-七賢,820717,高雄市忠孝一路456號3樓,07-2355658
1233,彰銀-台中,870423,台中市南區復興路二段七十八號三樓,04-22660011
1230,彰銀,63/04/13,台北市衡陽路68號3樓,02-23619654
1261,宏遠-民生,810408,台北市松山區民生東路5段171之1號及171之2號,02-27657933
1262,宏遠-桃園,841216,桃園市中正路1125號3樓,03-3463456
126D,宏遠-台南,860813,台南市中西區忠義路2段69號3樓及5樓之2,06-2236677
126H,宏遠-中和,870801,新北市中和區民樂路23號1樓及地下1樓,02-32346738
126L,宏遠-台中,871020,台中市文心路1段521號7樓之6,04-2255-6687
126Q,宏遠-高雄,990201,高雄市中正二路175號4樓,07-2299788
126U,宏遠-館前,890502,臺北市中正區博愛路76號5樓,02-23121122
126X,宏遠-新化,950724,臺南市新化區中山路243號之1二樓及三樓,03-5102233
1260,宏遠,51/02/09,台北市信義路4段236號4樓部分、5樓部分及7樓部分,02-27008899
1360,港商麥格理,85/03/25,台北市復興南路1段2號5樓及5樓之1,02-27347500
1380,台灣匯立,102/07/16,臺北市敦化南路二段95號27樓,02-2326-8188
1440,美林,97/09/01,台北市敦化南路2段207號9樓部分、17樓部分,02-23763766
1470,台灣摩根士丹利,95/10/02,台北市敦化南路2段207號22樓,02-27302888
1480,美商高盛,89/07/17,台北市敦化南路2段207號11樓,02-27304000
1520,瑞士信貸,87/10/26,台北市民生東路3段109號5樓,02-27156388
1560,港商野村,94/04/01,台北市松智路1號17樓部分,02-21769999
1570,港商法國興業,92/09/23,台北市忠孝東路5段68號38樓部分,02-21750800
1590,花旗環球,96/08/06,台北市信義區松智路１號14樓(部分)、15樓(部分),8726-9000
1650,新加坡商瑞銀,95/04/03,台北市松仁路7號5樓部分,02-87227200
2181,亞東-板橋,830523,台北縣板橋市南雅南路二段一七０號一樓,02-89665558
2184,亞東-新竹,870317,新竹市光復路1段472號2樓,03-5641818
2185,亞東-台南,871125,台南市林森路1段395號4樓,06-2358999
2186,亞東-高雄,890609,高雄市前鎮區中山二路260號3樓,07-5369888
2187,亞東-台中,890330,台中市自由路2段131號2~3樓,04-22218600
218A,亞東-國際證券,1040602,新北市板橋區新站路16號14樓(部分),77531899
2180,亞東,68/06/21,台北市中正區重慶南路一段86號2樓,02-77531899
2200,元大期貨,99/07/02,台北市中山區南京東路3段225號11樓及11樓之1、之2、之3、之4,02-27176000
2210,群益期貨,104/09/01,台北市大安區敦化南路2段97號32樓及地下1樓,02-2700-2888
5058,大展-台南,1080716,台南市西門路三段159號3樓(部份),06-2208866
5050,大展,77/08/11,台北市承德路1段17號17樓、17樓之1、之2、之3,02-25551234
5112,富隆-長安,811228,台北市長安東路1段18號3樓部分,02-25631168
5110,富隆,77/08/29,台北市南京東路3段287號3樓部份,02-27182788
5261,大慶-蘆洲,820927,新北市蘆洲區中山一路161號地下一樓,02-22897766
5262,大慶-楊梅,841108,桃園市楊梅區新成路208號1樓,03-4759977
5263,大慶-泰山,860212,"新北市泰山區明志路1段205號5樓之1,之2",02-22966688
5264,大慶-高雄,860417,高雄市中華四路159號4樓之1,07-3312288
5265,大慶-苗栗,831003,苗栗縣苗栗市建民街60號4樓,037-262888
5266,大慶-中壢,831003,桃園市平鎮區環南路18號地下1層之1之3之4,03-4912588
5267,大慶-基隆,860523,基隆市義一路18號5樓,02-24281122
5268,大慶-台南,861007,臺南市成功路518號3樓之1、之2,06-2232233
5269,大慶-台中,861120,台中市崇德路2段130號地下1樓,04-22375888
526A,大慶-中和,880115,新北市中和區景新街338號3樓,02-89411188
526K,大慶-富順,1001226,新北市三重區自強路一段73號3樓,02-29818889
526L,大慶-長榮,1001226,新北市蘆洲區長榮路136號2樓,02-82828289
5260,大慶,77/09/06,台北市民生東路2段174、176號3樓部份、4樓、174號12樓,02-25084888
5321,高橋-龍潭,850425,"桃園市龍潭區中正里龍華路130,132號1,2,3F(營業廳於130及132號1F",03-4807889
5322,高橋-中壢,861121,桃園市中壢區中山路二二八巷十八號一至五樓，二十號一至四樓,03-4270889
5323,高橋-內壢,870307,"桃園市中壢區忠孝路159,161號1,2樓163號2樓(營業廳于159,161號1F",03-4351010
5320,高橋,77/09/23,桃園市中壢區中和路92.94.96.98號,03-4224243
5381,第一金-員林,861208,彰化縣員林鎮大同路1段338號7樓,04-8339000
5382,第一金-台中,861220,台中市西區向上路1段110號1樓,04-23103648
5383,第一金-高雄,870303,高雄市苓雅區中正一路120號2樓,07-7262378
5384,第一金-台南,871209,台南市大同路1段98號2樓(部份),06-2148111
5385,第一金-桃園,880316,桃園市桃園區民族路55號3樓,03-3382881
5386,第一金-彰化,910808,彰化縣彰化市和平路48號3樓部份,04-7203198
5387,第一金-澎湖,911227,澎湖縣馬公市光復路88號3樓,06-9278666
5389,第一金-中山,920722,台北市中山區中山北路2段61號4樓部份,02-25671189
538A,第一金-新興,921201,高雄市中正四路17號3樓,07-2516101
538B,第一金-新竹,921201,新竹市英明街3號3樓,03-5235211
538C,第一金-光復,921201,台北市光復北路16號2樓,02-25795811
538D,第一金-忠孝,921201,台北市忠孝東路2段88號3樓,02-23214955
538E,第一金-自由,921201,台中市自由路1段144號7樓,04-22287111
538F,第一金-大稻埕,921201,台北市迪化街1段63號3樓部份,02-25582211
538I,第一金-頭份,921201,苗栗縣頭份鎮中正路67號2樓,037-596611
538M,第一金-嘉義,930810,嘉義市中山路307號3樓,05-2283636
538N,第一金-豐原,921201,台中市豐原區中山路423號3樓,04-25239911
538P,第一金-路竹,921201,高雄市路竹區中山路1187號2樓,07-6970111
538W,第一金-華江,981118,新北市板橋區文化路1段329號2樓之1及2樓部分,02-2258-3311
538Y,第一金-中壢,921201,桃園市中壢區中央西路2段30號2樓,03-4922011
538a,第一金-國際證券,1031111,臺北市中山區長安東路一段22號2樓部分及4樓,02-2563-6262
538j,第一金-安和,930517,台北市安和路一段27號6樓部份,02-2741-3434
5380,第一金,77/10/06,台北市中山區長安東路一段22號2樓部分及4樓,02-25636262
5460,寶盛,77/11/02,台中市北屯區北興街43號1樓、2樓,04-22309377
5602,永興-水湳,840826,台中市北屯區中清路二段578號一樓、二樓,04-22973456
5603,永興-台中,820702,台中市三民路3段265號之1 一、二樓及265號3樓之8,04-22371188
5604,永興-大墩,860214,台中市南屯區大墩路754、756號1、2樓,04-23105858
5600,永興,77/12/01,台北市南海路20號2樓部分、3樓部分,02-23218200
5660,日進,77/12/13,苗栗縣苗栗市中正路426號4F,037-332266
5851,統一-高雄,800930,高雄市中正三路55號5樓,07-2268999
5852,統一-敦南,800930,台北市敦化南路2段65號21樓,02-27552288
5853,統一-中壢,800930,"桃園市中壢區中美路51號1,2,3樓及地下室",03-4224888
5854,統一-城中,800930,台北市博愛路80號2樓、4樓之1、4樓,02-23115757
5855,統一-台南,800930,台南市中西區中山路88號3樓,06-2112288
5856,統一-台中,800930,台中市五權西路1段257號3樓,04-23723333
5857,統一-新竹,800930,新竹市北大路307號2樓,03-5225666
5858,統一-嘉義,800930,嘉義市林森西路153號3、4樓部份,05-2252111
5859,統一-屏東,800930,屏東縣屏東市濟南街10-1號,08-7353888
585A,統一-基隆,820826,基隆市仁愛區仁三路11號2樓,02-24225288
585B,統一-永和,831224,新北市永和區福和路389號3樓,02-22319966
585D,統一-新台中,840722,台中市西屯區文心路2段201號8樓之1、2、3、5、6、7、8,04-22587222
585E,統一-新營,841118,台南市新營區中山路113號4樓,06-6356388
585F,統一-彰化,820816,彰化縣彰化市華山路37號6樓,04-7225161
585H,統一-桃園,850625,桃園市桃園區成功路1段32號10樓,03-3386677
585I,統一-員林,900626,彰化縣員林鎮靜修路12號2樓,04-8336288
585J,統一-三重,850921,新北市三重區重新路4段12號4樓,02-29779933
585M,統一-士林,860118,台北市士林區承德路4段83號3樓、3樓之1、3樓之2,02-28866677
585P,統一-板橋,860301,新北市板橋區府中路29之2號8樓,02-29692299
585Q,統一-三多,860322,高雄市苓雅區四維四路7號6樓,07-3368568
585R,統一-汐止,860321,新北市汐止區中興路160號5樓、5樓之1、5樓之2,02-26935558
585S,統一-宜蘭,901002,宜蘭縣宜蘭市民族路338號3樓部分,03-9353660
585U,統一-南京,860211,台北市南京東路3段248號2樓,02-27317777
585W,統一-金門,890911,金門縣金城鎮民權路160號1樓、2樓、3樓、4樓,082-320811
585Y,統一-土城,890819,新北市土城區裕民路149號2樓、2樓之1,02-82602000
585Z,統一-松江,921105,台北市松江路127之1號5樓、6樓,0225165988
585b,統一-內湖,930409,臺北市內湖路1段575號3樓,(02)87525959
585c,統一-仁愛,930722,台北市安和路1段29號2樓,02-27726588
585g,統一-平鎮,1041026,桃園市中壢區中正路582號1樓、2樓,03-4910736
585m,統一-竹南,1031013,苗栗縣竹南鎮中正路217號2樓,037-480666
585s,統一-國際證券,1030707,台北市東興路8號3樓部份,27478266
5850,統一,78/04/03,台北市東興路8號1樓、2樓部分、3樓部分、5樓部分,02-27478266
5861,盈溢-籬子內,830326,高雄市前鎮區瑞北路44號1樓,07-7134001
5862,盈溢-楠梓,860801,高雄市楠梓區楠都東街181號地下室,07-3537737
5860,盈溢,78/04/03,高雄市新興區七賢二路38號,07-2888516
5870,光隆,78/04/07,"花蓮縣花蓮市公園路26號4,5,6樓",038-352181
5921,元富-高雄,800318,高雄市九如二路548號2、3樓,07-3122822
5922,元富-新店,830420,新北市新店區中興路3段134號地下一樓,02-29177888
5923,元富-三重,840914,新北市三重區重新路2段21號3樓,02-29885568
5925,元富-台中,850315,台中市五權西路一段二三七號二樓,04-23759979
5926,元富-四維,851105,高雄市四維四路30號3樓,07-3356677
5927,元富-林園,860125,高雄市林園區沿海路3段2號2樓及5樓(部分),07-6433779
5928,元富-新莊,860412,新北市新莊區新泰路368號1、2樓,02-29962299
5929,元富-台南,811207,台南市忠義路2段47號3.4.5(營業廳設於3F),06-2219089
592A,元富-緯城,820111,高雄市博愛一路391號8樓及11樓(營業廳設於8F),07-3131123
592B,元富-永和,860418,新北市永和區民有街1號2樓,02-29491888
592C,元富-潮州,841104,"屏東縣潮州鎮新生路8號1,2樓(營業廳設於1樓) 86.08.04.遷移",08-7884930
592D,元富-大昌,841104,高雄市三民區九如一路502號地下一層,07-3851168
592E,元富-城中,860127,台北市承德路一段十七號地下一樓,02-25563636
592G,元富-新竹,861030,新竹市信義街68號7樓之1、7樓之2,03-5258282
592H,元富-信義,861216,台北市信義路2段101號2樓,02-23587778
592I,元富-嘉義,861103,嘉義市垂楊路316號3樓之1、2；4樓之1、2,05-2257789
592L,元富-中壢,880108,桃園縣中壢市元化路226號3樓,03-4263888
592M,元富-彰化,880108,彰化市彰美路1段186號6F,04-7283456
592N,元富-虎尾,890117,雲林縣虎尾鎮中正路15號三.四樓,05-6360389
592P,元富-同大,870713,高雄市岡山區岡山路339號3、4樓,07-6225788
592Q,元富-敦南,890627,台北市忠孝東路4段212號3樓、3樓之1,02-87723988
592S,元富-基隆,880621,基隆市愛四路60號4樓,02-24288899
592U,元富-宜蘭,880524,宜蘭縣宜蘭市舊城北路23號,03-9369688
592V,元富-民權,880524,台北市民權西路十一號七樓,02-25926188
592W,元富-吉利,890724,台北市承德路7段348號1樓、地下1樓,02-28229090
592X,元富-草屯,890306,南投縣草屯鎮和興街92號92之1號1、2樓、94號3樓之1、之2、之3、之4,049-2355888
592Y,元富-埔里,890306,南投縣埔里鎮南昌街231號2樓,049-2900999
592Z,元富-安南,890724,台南市安中路二段三００號八樓,06-2453088
592a,元富-松德,890724,台北市松德路16號地下1樓,02-27202828
592b,元富-板橋,920811,新北市板橋區中山路一段141號5樓部分,02-89536888
592c,元富-烏日,940103,台中縣烏日鄉三民街179號4樓,04-23362288
592d,元富-延平,890724,台北市長安東路1段23號2樓之1、之2、之5,02-25633399
592e,元富-古亭,890724,台北市羅斯福路3段28號2樓、6樓、6樓之1,02-83695288
592f,元富-國際證券,1030520,臺北市敦化南路二段99號19樓,02-23255818
592g,元富-中原,921212,台中市潭子區中山路2段281號3樓,04-25326677
592i,元富-中港,921203,台中市清水區中山路196號5樓,04-26222299
592l,元富-大裕,940103,台中市台中路504號,04-22862688
592m,元富-成功,890724,台南市成功路四五七號三樓、四樓,06-2232323
592n,元富-西松,890724,台北市南京東路5段108號3樓,02-27562288
592o,元富-新興,981005,高雄市新興區七賢一路251號2樓,07-238-5678
592q,元富-屏東,981005,屏東市中正路一二三號二樓,08-7339522
592r,元富-城東,981005,台北市中山區南京東路2段123號2樓之1、2樓之2及地下1樓,02-2509-9928
592u,元富-世貿,981005,台北市信義區信義路五段8號2樓,02-8780-1800
592v,元富-桃園,930701,桃園縣桃園市成功路2段1號2樓,03-3366000
592w,元富-佳里,890724,台南市佳里區和平街83號4樓、5樓,06-7232323
592y,元富-花蓮,910916,花蓮市民國路167號,038-360988
592z,元富-文心,981005,台中市西屯區文心路2段645號2樓,04-2252-1010
5920,元富,78/05/29,台北市復興南路1段209號1、2、3樓,02-23255818
5961,日茂-埔里,801116,南投縣埔里鎮西安路一段299號B1.1F.2F.,049-2902266
5962,日茂-南投,841230,南投縣南投市三和二路11號4、5樓,049-2234188
5960,日茂,78/07/03,南投縣草屯鎮草溪路1020號2、3樓,049-2353266
6012,犇亞-網路,960419,台北市松山區復興北路99號4樓之3,02-27188788
601d,犇亞-鑫豐,1080102,台北市松山區復興北路99號4樓之5,2553-8000
6010,犇亞證券,78/07/25,台北市復興北路99號3樓、6樓及6樓之1,02-27180101
6114,台中銀-員林,1020502,彰化縣員林鎮中正路462號3樓,04-8329000
6115,台中銀-台北,1020502,台北市中正區忠孝東路一段85號6樓(部分),02-27736955
6116,台中銀-高雄,1020502,高雄市左營區曾子路386號4樓部份,07-3486898
611A,台中銀-豐原,1030721,台中市豐原區中正路220號3-5樓,04-25274150
6110,台中銀,102/05/02,台中市民族路45號1、2樓,04-22268588
6161,中國信託-三重,841201,新北市三重區重陽路一段66號2樓,02-89822558
6162,中國信託-忠孝,860702,台北市中正區忠孝西路一段6號4樓,02-23141122
6163,中國信託-永康,880115,台南市永康區中華路425號2樓部分,06-2338233
6164,中國信託-文心,910701,台中市北屯區文心路四段八七五號三樓部分,04-22468800
6165,中國信託-新竹,920616,新竹市民族路139號2樓,03-5153100
6167,中國信託-松江,1011005,台北市中山區松江路220號3樓之1,02-2581-5688
6168,中國信託-嘉義,1020419,嘉義市西區中山路386號6樓,05-2286699
616A,中國信託-中壢,1040508,桃園市中壢區中山路118號3樓,03-4229666
616K,中國信託-高雄,860531,高雄市前金區中正四路168號6樓之1,07-2151166
616X,中國信託-國際證券,1040317,台北市南港區經貿二路168號3樓,02-87891075
6160,中國信託,78/08/19,臺北市南港區經貿二路168號3樓,02-66392000
6210,新百王,78/08/21,高雄市前金區中華三路11號5樓及地下一樓,07-2118888
6381,光和-溪湖,800410,彰化縣溪湖鎮文東街9號1樓,04-8855466
6382,光和-田中,831108,彰化縣田中鎮南北街80號3樓,04-8746588
6383,光和-和美,860808,彰化縣和美鎮彰美路五段二五六號三樓,04-7567789
6385,光和-花壇,870930,彰化縣花壇鄉花壇村花壇街273號5樓,04-7878288
6386,光和-虎尾,880910,雲林縣虎尾鎮新興路116號1、2樓,05-6366606
638A,光和-嘉義,1071001,嘉義縣朴子市山通路37號3.4樓,05-3700988
638D,光和-高雄,1090203,高雄市苓雅區三多二路93號3樓,07-7253922
6380,光和,78/09/22,彰化縣北斗鎮光復路166號3、4樓,04-8886500
6451,永全-南崁,840628,桃園市蘆竹區光明路一段100號3、4樓,03-3529529
6452,永全-八德,870819,桃園市八德區介壽路一段655號3至4樓,03-3771155
6450,永全,78/09/30,桃園市桃園區縣府路82號1至7樓,03-3352155
6461,大昌-樹林,851226,新北市樹林區復興路11號、13號及15號1、2樓,02-26756088
6462,大昌-安康,861208,新北市新店區安和路一段25之5號及25之6號,02-86669988
6463,大昌-新竹,880420,新竹市大同路130號3樓及新竹市中山路3號2至4樓,03-5222868
6464,大昌-新店,830801,新北市新店區北新路2段108號3樓,02-29179111
6465,大昌-桃園,900727,桃園市桃園區經國路128號2樓,03-3263689
6460,大昌,78/09/30,新北市板橋區東門街30之2號2樓之1至85及9樓之1、2,02-29689685
6489,福邦-新竹,1070621,新竹縣竹北市光明五街210號4樓,(03)657-2758
6480,福邦,78/10/07,台北市中正區忠孝西路一段6號5樓部分,02-23836888
6620,全泰,78/10/17,桃園市桃園區三民路3段317號3樓部分、4樓,03-3353359
6912,德信-中正,831207,臺中市臺灣大道一段728號6樓,04-22026200
6913,德信-新營,860718,台南市新營區新進路2段109號3樓,06-6337258
6914,德信-三重,890512,新北市三重區重陽路1段66號7樓,02-29718188
6915,德信-和平,890609,臺北市大安區信義路四段303號6樓,02-27066168
6910,德信,78/11/14,台北市新生南路一段五十號三樓(部分),02-23939988
6950,福勝,78/11/17,新北市淡水區中正路六十三號三、四、五樓,02-26251818
7001,兆豐-嘉義,831122,嘉義市文化路259號3樓及4樓部分,05-2230230
7003,兆豐-台中,870525,台中市五權西路一段257號7樓部份,04-23780568
7005,兆豐-台中港,880112,台中縣沙鹿鎮沙田路107號2樓,04-26651100
7006,兆豐-台南,871229,台南市忠義路2段14號4、5樓,06-2230398
7007,兆豐-竹北,880731,新竹縣竹北市三民路18、20、22、24號1樓及18、24號2樓,03-5543223
7008,兆豐-三重,890107,新北市三重區正義北路195號3樓,02-29817799
7009,兆豐-景美,890317,台北市文山區景中街1號3樓,02-29307799
700B,兆豐-板橋,890330,台北縣板橋市文化路1段268號2樓之1,02-22538699
700C,兆豐-來福,880125,雲林縣斗六市民生路156號8樓,05-5338989
700D,兆豐-西螺,880125,雲林縣西螺鎮中山路127號3樓,05-5867999
700E,兆豐-斗南,880125,雲林縣斗南鎮中正路131號3樓,05-5968899
700F,兆豐-虎尾,880125,雲林縣虎尾鎮公安路133號4樓,05-6313388
700G,兆豐-麻豆,890623,台南縣麻豆鎮興中路127號3樓,06-5728388
700H,兆豐-東門,890707,台北市金山南路2段33號2樓,02-23435488
700I,兆豐-北高雄,890922,高雄市中正四路235號2樓之1,07-2612345
700J,兆豐-公益,891017,台中市中區民權路216號6樓之1,04-23259966
700K,兆豐-新營,870317,台南市新營區中營里中山路116號,06-6357111
700L,兆豐-天母,891009,台北市中山北路6段126號3樓部分,02-28376006
700M,兆豐-桃園,891118,桃園縣桃園市成功路2段2號2樓,033475188
700N,兆豐-埔墘,900223,新北市板橋區三民路1段216號2樓,02-89538888
700P,兆豐-南京,920130,台北市南京東路3段65號3樓,02-25169888
700R,兆豐-小港,920130,高雄市小港區漢民路381號2樓,07-8063000
700S,兆豐-大同,920131,台北市民生西路286號3樓,02-25506078
700U,兆豐-桃鶯,920130,桃園市桃園區桃鶯路343號3、4樓,03-3776899
700V,兆豐-新竹,920131,新竹市中正路129號3樓,03-5256199
700W,兆豐-城中,920329,台北市重慶南路1段2號2樓〈部分〉,02-23315199
700X,兆豐-永和,930517,新北市永和區永和路2段121號3樓,02-2927-3799
700Z,兆豐-高雄,920130,高雄市新光路36號1樓,07-3315200
700a,兆豐-忠孝,920131,台北市忠孝東路4段563號3樓、565號4樓,02-27479966
700b,兆豐-中壢,931103,桃園市中壢區中山路142號8樓、146號8樓,03-2807759
700c,兆豐-民生,930512,台北市民生東路3段128號3樓之2,02-27169966
700d,兆豐-彰化,930630,彰化縣彰化市和平路57號6樓,04-7289966
700f,兆豐-鹿港,920131,彰化縣鹿港鎮彰鹿路8段59號,04-7772900
700g,兆豐-南門,930309,台北市羅斯福路2段9號2樓(部分),02-23959966
700h,兆豐-三民,920130,高雄市大順二路41號2樓,07-3958858
700i,兆豐-松德,920131,台北市信義區忠孝東路5段510號3樓、3樓之1、3樓之2、3樓之12及3樓之13,02-27275168
700j,兆豐-大安,920704,台北市信義路3段182號3樓、4樓,02-27003236
700k,兆豐-員林,920130,彰化縣員林鎮中山路1段753號3樓,04-8373898
700m,兆豐-國際證券,1030725,臺北市忠孝東路二段95號3樓,02-23278988
700p,兆豐-復興,920130,台北市復興北路99號8樓之1,02-25148588
700q,兆豐-內湖,951026,台北市內湖區成功路4段166號5樓,02-27946088
700r,兆豐-寶成,960810,台中市西屯區臺灣大道4段600號3樓,(04)24651001
700s,兆豐-岡山,910701,高雄縣岡山鎮中山北路28號3樓(部分),07-6235988
