宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,服装版型,组合形式,穿着方式,衣长,裙长,领型,袖型,衣门襟,裙型,成分含量,服装款式细节
母亲节衣服中年妈妈装中老年女装雪纺连衣裙显瘦40-50岁中长款夏,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1NOWHQXXXXXc9XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546893644360&ns=1&abbucket=0,158.00,8214人付款,湖北 武汉,JL17C0167 ,军隆 ,薄 ,涤纶 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,修身 ,单件 ,套头 ,中长款 ,中长款 ,圆领 ,常规 ,,铅笔裙 ,96%及以上 ,拉链 
中老年女装短袖连衣裙胖妈妈装夏装中长款裙子夏季中年妇女雪纺裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1XoJeQVXXXXXNXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=521237177515&ns=1&abbucket=0,38.70,3737人付款,江苏 无锡,WL105 ,BLOSSOM FIELD/芭菲蒂 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,修身 ,单件 ,套头 ,常规 ,中长款 ,圆领 ,常规 ,,百褶裙 ,96%及以上 ,腰带 
妈妈春装外套40-50岁2017新款两件套装夏季上衣中年女夏装连衣裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1ri9TQVXXXXchXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544969878274&ns=1&abbucket=0,88.00,4706人付款,浙江 杭州,8261 ,若澜锦蒂 ,适中 ,其他 ,2017年春季 ,时尚 ,碎花 ,40-49周岁 ,宽松 ,两件套 ,,中长款 ,中长款 ,圆领 ,常规 ,单排扣 ,包臀裙 ,96%及以上 ,纽扣 
中老年女装夏季中长款雪纺两件套连衣裙大码妈妈装套装裙40-50岁,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB19p2pQFXXXXcnaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546295314746&ns=1&abbucket=0,158.00,7418人付款,湖北 武汉,170302ZS08 ,ZSYF/在水伊芳 ,适中 ,聚酯 ,2017年春季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,两件套 ,套头 ,中长款 ,中裙 ,圆领 ,常规 ,,,91%(含)-95%(含) ,纱网 
中年妈妈装夏装大码短袖中长款40-50岁 中老年女装修身夏季连衣裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1120797382/TB2l_VTsyRnpuFjSZFCXXX2DXXa_!!1120797382.jpg,https://item.taobao.com/item.htm?id=546450745701&ns=1&abbucket=0#detail,19.90,3669人付款,江苏 苏州,1819-881,,适中,"聚酯,棉","2017年春季,2017年夏季",时尚,格子,50-59周岁,修身,单件,套头,中长款,中长款,圆领,常规,,包臀裙,51%(含)-70%(含),口袋
中年妈妈装夏装短袖雪纺连衣裙2017新款母亲节中老年女装真丝裙子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1iXt4RXXXXXbAXXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=548864473963&ns=1&abbucket=0#detail,69.00,4329人付款,浙江 嘉兴,,,薄,"雪纺,聚酯",2017年夏季,时尚,纯色,40-49周岁,修身,单件,套头,中长款,中长款,圆领,常规,,其他,96%及以上,
中年女妈妈夏装连衣裙40岁中老年女装2017春装新款母亲节衣服夏季,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1NX.9QVXXXXXyXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548181982738&ns=1&abbucket=0,128.00,4659人付款,江苏 苏州,KQ-320 ,悦薇孔雀 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,长裙 ,圆领 ,常规 ,单排扣 ,,91%(含)-95%(含) ,纱网 
母亲节妈妈装夏天真丝假两件连衣裙中老年女大码40-50岁雪纺裙子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/912768369/TB29F3ZlMxlpuFjy0FoXXa.lXXa_!!912768369.jpg,https://item.taobao.com/item.htm?id=545403450824&ns=1&abbucket=0#detail,29.00,2322人付款,江苏 苏州,,,薄,雪纺,"2017年春季,2017年夏季",时尚,大花,40-49周岁,宽松,单件,套头,中长款,中长款,圆领,,,,,
母亲节中老年女装夏装连衣裙中长款雪纺衫40-50岁中年妈妈装裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1GJaZQpXXXXcyXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547903415856&ns=1&abbucket=0,89.00,4858人付款,浙江 嘉兴,BDYBD-F27 ,DUOYEREE/朵莹 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,大花 ,40-49周岁 ,宽松 ,单件 ,套头 ,,中长款 ,半开领 ,常规 ,,百褶裙 ,96%及以上 ,
母亲节衣服妈妈装中年雪纺连衣裙30夏季中老年女装夏装裙子40岁50,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB10rJKMFXXXXX1XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=530554373430&ns=1&abbucket=0,128.00,6787人付款,浙江 嘉兴,E-881 ,浅恋 ,薄 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,假两件 ,套头 ,,中长款 ,圆领 ,常规 ,,包臀裙 ,96%及以上 ,褶皱 
中老年女装春夏装套装短袖T恤妈妈装长袖蕾丝连衣裙40-50岁两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2507541929/TB2Hqdyl04opuFjSZFLXXX8mXXa_!!2507541929.jpg,https://item.taobao.com/item.htm?id=546030088044&ns=1&abbucket=0#detail,69.00,6501人付款,江苏 苏州,,,,"蕾丝,聚酯","2017年春季,2017年夏季",时尚,动物图案,40-49周岁,宽松,单件,套头,中长款,,POLO领,常规,,,,
中老年女装夏装雪纺衫两件套装40-50岁妈妈装2017夏季新款连衣裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1hhwJQFXXXXbqXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549266487337&ns=1&abbucket=0,168.00,5967人付款,江苏 苏州,C-F-YSM1785 ,芬典 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,大花 ,40-49周岁 ,宽松 ,两件套 ,套头 ,中长款 ,中长款 ,圆领 ,常规 ,,,96%及以上 ,腰带 
中年妈妈装短袖连衣裙夏季新款大码人造棉中老年女装绵绸长裙夏装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/883877748/TB2TQGjkmtkpuFjy0FhXXXQzFXa_!!883877748.jpg,https://item.taobao.com/item.htm?id=547041259885&ns=1&abbucket=0#detail,39.00,4241人付款,北京,,,,棉麻,2017年夏季,时尚,花鸟图案,40-49周岁,宽松,单件,套头,,长裙,圆领,常规,,其他,51%(含)-70%(含),口袋
中老年连衣裙女装中长款中年女30-40-50岁短袖妈妈装夏装雪纺裙子,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2405392156/TB2Cz9TlB8lpuFjSspaXXXJKpXa_!!2405392156.jpg,https://item.taobao.com/item.htm?id=547259900134&ns=1&abbucket=0#detail,49.00,3996人付款,北京,WY1604,,薄,雪纺,2017年夏季,时尚,纯色,40-49周岁,修身,单件,套头,中长款,中长款,V领,常规,,包臀裙,96%及以上,纱网
中老年妈妈装夏装连衣裙时尚大码中年女装假两件中长款裙子40岁50,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/895621810/TB2mpiak4RDOuFjSZFzXXcIipXa_!!895621810.jpg,https://item.taobao.com/item.htm?id=547117222693&ns=1&abbucket=0#detail,45.80,3916人付款,江苏 苏州,1787021,暖珺,适中,雪纺,2017年夏季,民族风,花鸟图案,40-49周岁,宽松,假两件,套头,中长款,中裙,圆领,常规,,其他,71%(含)-80%(含),纽扣
中老年女装夏季雪纺裙30中年大码母亲节衣服妈妈夏装连衣裙40岁50,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1WIDQRXXXXXbSaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546661001907&ns=1&abbucket=0,148.00,5362人付款,湖北 武汉,01QZ920 ,顶慕 ,适中 ,其他 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,宽松 ,单件 ,套头 ,,中长款 ,圆领 ,常规 ,,,96%及以上 ,
妈妈装春装大码女装雪纺连衣裙开衫女2017夏装新款中老年两件套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/856746417/TB2kGmohbtlpuFjSspoXXbcDpXa_!!856746417.jpg,https://item.taobao.com/item.htm?id=546400932690&ns=1&abbucket=0#detail,89.00,5757人付款,广东 深圳,AU071,宫纱,薄,其他,"2017年春季,2017年夏季",民族风,其他,,宽松,两件套,开衫,中长款,中长款,POLO领,常规,单排扣,,81%(含)-90%(含),纽扣
婚礼妈妈装春装连衣裙中老年女装长袖蕾丝裙大码修身夏季中长裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2595025670/TB2_5mMn9xjpuFjSszeXXaeMVXa_!!2595025670.jpg,https://item.taobao.com/item.htm?id=545893099054&ns=1&abbucket=0#detail,85.00,3194人付款,浙江 杭州,,suwanting,适中,,"2017年春季,2017年夏季",高贵,其他,40-49周岁,修身,单件,套头,中长款,中长款,半开领,常规,单排扣,其他,,纽扣
2017夏季新款中老年女装连衣裙中年妈妈装大码修身短袖夏装花裙子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/929217260/TB25.59lFXXXXbXXXXXXXXXXXXX_!!929217260.jpg,https://item.taobao.com/item.htm?id=528814592708&ns=1&abbucket=0#detail,15.80,2596人付款,北京,口袋裙,other/其他,薄,"聚酯,其他",2017年夏季,通勤,花色,,修身,单件,套头,中长款,中裙,圆领,常规,,包臀裙,,口袋
中老年女装春装2017新款套装中年妈妈装夏装30-40-50岁连衣裙外套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1qcgVPVXXXXceXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546514965318&ns=1&abbucket=0,98.00,5729人付款,浙江 杭州,XZJFS99 ,九额娘 ,适中 ,聚酯 ,2017年春季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,两件套 ,开衫 ,常规 ,,圆领 ,,单排扣 ,,96%及以上 ,
中老年女装春装连衣裙中年两件套婚礼妈妈装夏装40岁蕾丝结婚礼服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2895029384/TB2mez_o80kpuFjSsppXXcGTXXa_!!2895029384.jpg,https://item.taobao.com/item.htm?id=547102369403&ns=1&abbucket=0#detail,106.00,4886人付款,北京,ZS-4043,other/其他,适中,聚酯,"2017年春季,2017年夏季",高贵,花鸟图案,40-49周岁,宽松,两件套,开衫,中长款,中长款,立领,花瓣袖,,包臀裙,,镶钻
妈妈装夏装连衣裙中长款40-50岁中年女装衣服2017新款雪纺裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1zKWHQVXXXXcTaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549454853192&ns=1&abbucket=0,138.00,3928人付款,江苏 苏州,LYZ7082 ,俞兆林 ,,聚酯 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,中长款 ,其他 ,常规 ,,,96%及以上 ,纽扣 
中年夏季女装连衣裙35-40-45-50岁中老年大码妈妈装碎花夏装长裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/929217260/TB296kOlpXXXXbiXXXXXXXXXXXX_!!929217260.jpg,https://item.taobao.com/item.htm?id=528100602992&ns=1&abbucket=0#detail,15.80,2266人付款,北京,1401 款,other/其他,薄,"聚酯,其他",2017年夏季,通勤,花色,,修身,单件,套头,中长款,中裙,,常规,,,,口袋
中老年女装夏装短袖绣花中长款裙子夏天妈妈装雪纺连衣裙40-50岁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2659305296/TB2U5Mkm0RopuFjSZFtXXcanpXa_!!2659305296.jpg,https://item.taobao.com/item.htm?id=548311143328&ns=1&abbucket=0#detail,36.00,3564人付款,江苏 苏州,A185绣花连衣裙,,薄,"雪纺,其他",2017年夏季,时尚,花鸟图案,40-49周岁,宽松,单件,套头,中长款,中长款,圆领,,,,,
母亲节中年女夏装妈妈装连衣裙40-50岁中老年女装大码短袖雪纺裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1UH0fJFXXXXaRXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=530846989502&ns=1&abbucket=0,158.00,3719人付款,浙江 杭州,P621438L2 ,胖织缘福 ,适中 ,LYCRA莱卡 ,2016年夏季 ,时尚 ,其他 ,40-49周岁 ,宽松 ,单件 ,套头 ,,中长款 ,V领 ,常规 ,,,51%(含)-70%(含) ,镶钻 
中老年女装连衣裙夏季短袖妈妈装夏装裙子中年大码雪纺裙40岁50夏,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/839009236/TB2L9dck3JkpuFjSszcXXXfsFXa_!!839009236.jpg,https://item.taobao.com/item.htm?id=548187992907&ns=1&abbucket=0#detail,59.00,3349人付款,北京,812款,,薄,雪纺,2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,中长款,长裙,圆领,常规,,蛋糕裙,,
母亲节中年女夏装两件套装连衣裙妈妈春装外套女40-50岁2017新款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB11aCOQpXXXXcyXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=537555302478&ns=1&abbucket=0,148.00,4478人付款,浙江 嘉兴,ZMT-16Q2008 ,卓美特 ,适中 ,其他 ,2017年春季 ,时尚 ,纯色 ,40-49周岁 ,宽松 ,两件套 ,开衫 ,中长款（衣长50-70CM） ,,立领 ,常规 ,一粒扣 ,,96%及以上 ,纽扣 
婚礼妈妈装夏装两件套裙子结婚宴礼服大码中年女夏装蕾丝连衣裙春,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1oSrnQXXXXXaVaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=537083631355&ns=1&abbucket=0,129.00,4640人付款,北京,13034 ,AYERSROCK/艾尔斯岩 ,适中 ,聚酯 ,2017年夏季 ,民族风 ,纯色 ,40-49周岁 ,修身 ,两件套 ,套头 ,中长款 ,中长款 ,圆领 ,常规 ,,,96%及以上 ,绣花 
中老年女装夏新款假两件T恤妈妈装雪纺连衣裙夏季大码宽松复古T恤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/118643690/TB2NtNZobJkpuFjy1zcXXa5FFXa_!!118643690.jpg,https://item.taobao.com/item.htm?id=547264977225&ns=1&abbucket=0#detail,89.00,1933人付款,江苏 苏州,BYM1703XS2215,棒约美,适中,聚酯,2017年夏季,时尚,大花,40-49周岁,宽松,假两件,套头,中长款,,立领,常规,,,,纽扣
母亲节衣服夏季中年女装夏装妈妈装中老年真丝连衣裙40-50岁裙子,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1756699555/TB2FPu_qVXXXXadXXXXXXXXXXXX_!!1756699555.jpg,https://item.taobao.com/item.htm?id=530412497549&ns=1&abbucket=0#detail,125.00,3088人付款,北京,zs-20#,other/其他,薄,"雪纺,蚕丝",2017年夏季,通勤,花色,40-49周岁,宽松,单件,套头,中长款,中长款,圆领,常规,拉链,其他,91%(含)-95%(含),腰带
中老年女装夏装雪纺裙子时髦两件套装40-50岁妈妈夏季妇女连衣裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1n6jXRXXXXXX6apXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549612055292&ns=1&abbucket=0,136.00,3392人付款,江苏 苏州,C-X-YSM1785-0 ,雪夕 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,碎花 ,40-49周岁 ,宽松 ,两件套 ,连体 ,中长款 ,中长款 ,圆领 ,常规 ,,,96%及以上 ,腰带 
迪葵纳中年女装夏装连衣裙中老年妈妈装大码显瘦短袖裙子FQ4269莜,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1rIxsJVXXXXcJXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=43890232748&ns=1&abbucket=0,149.00,3919人付款,山东 济南,FQ4269 ,De quanna/迪葵纳 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,大花 ,50-59周岁 ,修身 ,单件 ,套头 ,,,圆领 ,常规 ,,,91%(含)-95%(含) ,拉链 
母亲节妈妈装夏装连衣裙短袖中年女装雪纺裙子中老年妇女40-50岁,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1Bvs3QpXXXXbxXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547468053222&ns=1&abbucket=0,98.00,2592人付款,江苏 苏州,LG-2329 ,CLaIGFeRD/莱格斐尔 ,适中 ,其他 ,2017年夏季 ,时尚 ,花鸟图案 ,40-49周岁 ,宽松 ,单件 ,连体 ,中长款 ,中长款 ,圆领 ,常规 ,,百褶裙 ,96%及以上 ,绑带 
中老年女装蕾丝连衣裙长款夏装40-50岁中年人妈妈装夏季中长裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/664998774/TB2ilqlm9xjpuFjSszeXXaeMVXa_!!664998774.jpg,https://item.taobao.com/item.htm?id=545414062665&ns=1&abbucket=0#detail,46.00,2845人付款,北京,,,适中,聚酯,"2017年夏季,2017年春季",时尚,花色,40-49周岁,修身,假两件,套头,,中长款,圆领,,,,,
芭倩罗娜2017春夏新款中老年妈妈装女士印花连衣裙加长款外套套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i5/TB1sA2CQFXXXXXWXFXXYXGcGpXX_M2.SS2,https://detail.tmall.com/item.htm?id=548965253959&ns=1&abbucket=0,286.00,3433人付款,江苏 苏州,7102186 ,芭倩罗娜 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,大花 ,40-49周岁 ,宽松 ,两件套 ,套头 ,中长款 ,中长款 ,圆领 ,常规 ,,其他 ,96%及以上 ,
母亲节妈妈春装套装40岁50中老年女装夏装中年2017新款夏连衣裙潮,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/262282848/TB2BAYRo.hnpuFjSZFpXXcpuXXa_!!262282848.jpg,https://item.taobao.com/item.htm?id=547393843224&ns=1&abbucket=0#detail,85.00,3456人付款,江苏 苏州,HY-031,,适中,聚酯,"2017年春季,2017年夏季",时尚,花色,40-49周岁,宽松,两件套,套头,常规,,圆领,荷叶袖,,,,
