日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/08/11,"46,202,486","5,342,938,302",114.50,117.00,114.50,116.50,+0.50,"15,429"
106/08/14,"45,566,279","5,243,397,196",116.50,116.50,114.00,114.00,-2.50,"20,422"
106/08/15,"23,934,326","2,759,774,879",115.50,116.00,114.50,115.50,+1.50,"11,050"
106/08/16,"28,874,203","3,318,357,796",115.00,116.00,114.50,115.00,-0.50,"9,897"
106/08/17,"18,416,645","2,128,564,290",115.00,116.00,115.00,116.00,+1.00,"7,752"
106/08/18,"28,090,155","3,226,726,700",114.50,116.00,114.00,115.50,-0.50,"9,286"
106/08/21,"18,950,822","2,171,904,540",114.50,115.00,114.00,115.00,-0.50,"9,217"
106/08/22,"18,866,616","2,178,498,498",115.50,116.00,115.00,115.00, 0.00,"9,199"
106/08/23,"30,660,212","3,551,398,011",115.50,116.50,115.00,115.00, 0.00,"12,740"
106/08/24,"27,856,088","3,216,151,208",115.00,116.00,115.00,116.00,+1.00,"10,098"
106/08/25,"20,841,797","2,417,589,452",116.00,116.50,115.50,116.00, 0.00,"8,922"
106/08/28,"19,889,160","2,302,005,818",116.50,116.50,115.00,115.50,-0.50,"8,899"
106/08/29,"17,096,752","1,969,472,215",115.00,115.50,115.00,115.50, 0.00,"8,010"
106/08/30,"34,362,407","4,011,509,298",116.00,117.50,116.00,117.50,+2.00,"14,398"
106/08/31,"34,282,963","4,039,750,816",118.50,119.00,117.00,117.50, 0.00,"11,621"
106/09/01,"17,581,242","2,063,796,740",117.00,118.00,117.00,117.50, 0.00,"8,092"
106/09/04,"19,131,350","2,232,915,631",116.50,117.50,116.00,116.50,-1.00,"7,573"
106/09/05,"28,540,905","3,314,380,760",116.50,117.00,115.50,116.50, 0.00,"8,921"
106/09/06,"30,304,494","3,508,485,304",116.00,116.50,115.00,115.50,-1.00,"10,124"
106/09/07,"25,406,406","2,931,630,694",115.50,116.50,115.00,115.50, 0.00,"11,091"
106/09/08,"39,679,811","4,635,824,887",116.00,117.50,115.50,117.00,+1.50,"15,449"
106/09/11,"21,045,026","2,452,053,016",117.50,118.00,115.50,116.00,-1.00,"10,014"
106/09/12,"19,715,193","2,297,617,623",117.00,117.50,116.00,117.00,+1.00,"9,041"
106/09/13,"24,576,175","2,851,864,300",116.50,117.50,115.50,115.50,-1.50,"12,567"
106/09/14,"31,054,202","3,563,543,230",115.50,115.50,114.00,114.50,-1.00,"14,148"
106/09/15,"53,127,603","6,093,815,955",114.00,115.00,114.00,115.00,+0.50,"14,097"
106/09/18,"46,673,735","5,321,846,933",114.00,115.00,113.00,114.00,-1.00,"18,225"
106/09/19,"98,361,169","10,956,198,259",113.50,114.00,110.00,110.00,-4.00,"50,449"
106/09/20,"98,939,857","10,663,297,859",109.00,110.00,106.50,106.50,-3.50,"44,127"
106/09/21,"105,628,622","11,532,548,812",105.50,112.00,105.00,111.00,+4.50,"42,820"
106/09/22,"58,633,937","6,370,532,986",109.00,110.00,108.00,108.00,-3.00,"25,367"
106/09/25,"71,182,450","7,516,424,351",107.00,107.00,105.00,105.00,-3.00,"29,286"
106/09/26,"72,853,067","7,619,053,596",104.00,106.00,103.00,103.50,-1.50,"31,085"
106/09/27,"37,848,557","3,977,834,087",105.00,105.50,104.50,105.00,+1.50,"14,878"
106/09/28,"36,877,259","3,872,097,235",106.00,106.00,104.00,104.50,-0.50,"11,298"
106/09/29,"35,552,446","3,720,368,822",104.50,105.50,103.50,105.00,+0.50,"11,899"
106/09/30,"15,841,520","1,689,225,640",106.00,107.00,105.50,107.00,+2.00,"8,277"
106/10/02,"24,692,360","2,654,340,069",108.00,108.00,107.00,107.00, 0.00,"11,403"
106/10/03,"26,015,647","2,773,332,766",107.50,108.00,106.00,106.00,-1.00,"9,432"
106/10/05,"22,523,112","2,388,118,802",106.50,107.00,105.00,106.00, 0.00,"8,516"
106/10/06,"22,385,044","2,380,750,855",106.50,107.00,106.00,106.50,+0.50,"7,936"
106/10/11,"44,155,331","4,757,774,867",107.50,109.00,107.00,107.00,+0.50,"15,642"
106/10/12,"41,863,762","4,532,907,796",108.50,109.00,107.50,108.00,+1.00,"14,407"
106/10/13,"26,951,419","2,897,914,752",108.00,108.00,107.00,108.00, 0.00,"9,339"
106/10/16,"34,884,250","3,802,487,637",109.00,110.00,108.00,109.50,+1.50,"13,994"
106/10/17,"40,472,838","4,469,022,700",111.00,111.00,109.50,110.50,+1.00,"15,169"
106/10/18,"39,251,154","4,357,759,206",111.50,112.00,110.00,111.50,+1.00,"14,180"
106/10/19,"44,806,521","5,053,980,153",112.00,113.50,111.50,113.00,+1.50,"17,708"
106/10/20,"28,950,664","3,242,768,048",112.00,113.00,111.00,112.00,-1.00,"10,512"
106/10/23,"31,138,428","3,449,871,080",112.50,113.00,109.00,109.50,-2.50,"12,510"
106/10/24,"28,243,310","3,101,492,306",110.00,111.50,109.00,109.50, 0.00,"9,519"
106/10/25,"29,879,142","3,307,846,328",111.00,111.50,110.00,111.00,+1.50,"10,170"
106/10/26,"19,615,789","2,171,214,762",110.00,111.50,110.00,110.50,-0.50,"7,342"
106/10/27,"27,118,933","2,996,616,850",111.50,112.00,110.00,110.00,-0.50,"8,289"
106/10/30,"42,080,216","4,736,954,050",113.00,114.00,111.50,111.50,+1.50,"14,368"
106/10/31,"33,161,101","3,727,025,812",112.50,113.00,111.50,112.00,+0.50,"11,383"
106/11/01,"21,096,685","2,366,251,670",112.50,113.00,111.50,112.00, 0.00,"7,139"
106/11/02,"23,729,700","2,667,065,400",111.50,113.00,111.50,112.50,+0.50,"10,820"
106/11/03,"34,130,866","3,863,385,608",113.00,114.50,112.50,113.00,+0.50,"11,927"
106/11/06,"22,917,172","2,603,026,036",114.50,114.50,113.00,113.00, 0.00,"9,698"
106/11/07,"30,062,182","3,389,568,949",114.00,114.00,112.00,112.00,-1.00,"8,727"
106/11/08,"25,853,328","2,889,011,259",112.50,113.00,111.00,111.00,-1.00,"10,148"
106/11/09,"41,021,403","4,501,231,927",111.00,111.50,108.50,108.50,-2.50,"16,620"
106/11/10,"51,985,077","5,555,682,755",106.50,108.00,106.00,107.50,-1.00,"18,467"
106/11/13,"24,375,573","2,612,825,434",107.50,108.00,106.50,107.00,-0.50,"9,394"
106/11/14,"27,612,070","2,940,395,813",108.00,108.00,106.00,106.00,-1.00,"10,695"
106/11/15,"127,903,849","13,226,464,796",103.00,104.50,103.00,103.00,-3.00,"52,884"
106/11/16,"48,894,106","5,071,354,306",102.50,104.50,102.50,104.00,+1.00,"20,646"
106/11/17,"53,510,404","5,666,574,244",105.50,106.50,105.50,105.50,+1.50,"19,278"
106/11/20,"35,010,720","3,659,590,111",105.50,105.50,104.00,104.00,-1.50,"14,287"
106/11/21,"34,836,093","3,635,115,435",104.50,105.00,104.00,104.00, 0.00,"12,495"
106/11/22,"47,707,780","4,973,975,333",104.00,105.00,104.00,104.00, 0.00,"18,015"
106/11/23,"31,314,350","3,290,078,818",104.00,106.00,104.00,106.00,+2.00,"10,905"
106/11/24,"23,221,843","2,437,422,515",105.00,106.00,104.50,104.50,-1.50,"8,823"
106/11/27,"36,176,591","3,747,390,501",104.50,105.00,103.00,103.00,-1.50,"14,430"
106/11/28,"38,065,613","3,912,811,639",103.00,103.50,102.00,102.50,-0.50,"16,899"
106/11/29,"29,979,541","3,083,270,813",103.00,103.50,102.50,103.00,+0.50,"12,219"
106/11/30,"78,888,259","7,954,419,659",102.00,102.50,100.00,100.00,-3.00,"26,508"
106/12/01,"81,553,414","8,098,927,195",100.00,100.50,98.00,99.10,-0.90,"37,934"
106/12/04,"43,293,887","4,268,583,255",98.50,99.30,98.00,99.00,-0.10,"19,305"
106/12/05,"93,683,366","9,042,519,496",97.80,97.90,95.50,95.60,-3.40,"44,379"
106/12/06,"98,881,764","9,246,060,750",93.50,94.50,93.00,93.00,-2.60,"43,361"
106/12/07,"40,330,653","3,777,300,282",93.60,94.30,93.00,93.60,+0.60,"20,584"
106/12/08,"45,334,781","4,229,170,616",93.20,94.30,92.50,93.60, 0.00,"21,491"
106/12/11,"72,637,921","7,004,102,745",95.70,97.30,95.60,96.00,+2.40,"30,075"
106/12/12,"50,860,573","4,817,222,975",96.00,96.00,94.00,94.10,-1.90,"20,671"
106/12/13,"36,948,878","3,460,214,466",93.50,94.10,93.30,93.70,-0.40,"14,740"
106/12/14,"32,612,585","3,092,263,108",94.10,95.50,94.10,94.90,+1.20,"12,895"
106/12/15,"51,848,401","4,857,630,447",94.50,94.60,93.50,93.50,-1.40,"15,831"
106/12/18,"21,578,455","2,028,845,153",94.50,94.50,93.60,93.60,+0.10,"8,113"
106/12/19,"68,473,899","6,315,134,208",93.10,93.50,91.20,91.20,-2.40,"35,215"
106/12/20,"40,554,087","3,718,354,391",90.50,92.70,90.50,92.70,+1.50,"18,986"
106/12/21,"20,805,116","1,927,319,135",93.00,93.10,92.30,92.30,-0.40,"9,053"
106/12/22,"17,238,420","1,599,175,929",92.90,92.90,92.40,92.90,+0.60,"6,168"
106/12/25,"12,571,283","1,164,228,065",93.00,93.20,92.10,92.10,-0.80,"6,636"
106/12/26,"26,648,261","2,428,142,618",92.00,92.10,90.50,91.20,-0.90,"13,474"
106/12/27,"21,235,232","1,951,241,831",91.70,92.20,91.50,92.20,+1.00,"9,529"
106/12/28,"40,309,166","3,790,829,291",93.20,94.70,92.90,94.30,+2.10,"18,686"
106/12/29,"37,907,190","3,600,566,871",94.70,95.30,94.60,95.20,+0.90,"15,777"
