ID,Gender,Height_cm,Weight_kg,Shoe size_cm
167,Male,165,81,27.5
168,Male,177,89,29
169,Male,180,91,29
170,Female,157,63,23
171,Female,149,44,22
172,Female,170,75,25.5
173,Male,180,91,29
174,Female,160,65,24
175,Male,172,84,28
176,Female,154,61,22.5
177,Male,185,99,29.5
178,Male,175,92,29
179,Female,162,60,24
180,Male,187,95,30
181,Male,180,92,29
182,Female,167,67,24.5
183,Male,182,90,29.5
184,Female,167,68,24.5
185,Male,180,86,29
186,Male,172,83,28
187,Female,162,62,23.5
188,Male,172,83,28
189,Male,175,86,28.5
190,Female,157,55,23
191,Female,170,76,25
192,Male,167,87,28
193,Male,187,50,29.5
194,Male,185,97,30.5
195,Male,160,74,27
196,Female,172,76,25.5
197,Female,170,66,25
198,Male,154,63,25
199,Female,170,69,25
200,Female,160,57,24
201,Male,165,69,27.5
202,Male,175,90,28.5
203,Female,160,69,24
204,Female,154,59,23
205,Female,157,56,23
206,Male,180,87,29
207,Male,182,90,29
208,Female,160,67,24
209,Female,147,43,21
210,Male,172,80,28
211,Female,157,61,23
212,Female,157,59,23
213,Female,152,57,23.5
214,Female,157,58,23
215,Male,172,88,28
216,Female,172,74,25.5
217,Female,165,61,24.5
218,Male,165,79,27.5
219,Female,152,53,22.5
220,Female,162,65,24
221,Male,170,85,28
222,Male,175,91,29.5
223,Male,180,87,29
224,Male,167,76,27.5
225,Male,172,88,28
226,Male,172,86,28
227,Male,170,81,29
228,Female,167,59,24.5
229,Female,154,56,22.5
230,Female,152,50,22.5
231,Female,165,72,24.5
232,Male,170,78,28
233,Male,180,95,30
234,Female,162,67,24
235,Male,175,91,28.5
236,Male,165,69,27.5
237,Male,170,80,28
238,Male,175,100,29
239,Male,172,81,28
240,Male,172,81,28
241,Male,167,72,27.5
242,Female,165,64,23.5
243,Male,177,88,28
244,Female,157,55,23
245,Male,185,96,30
246,Female,147,43,21
247,Female,157,59,23
248,Female,160,57,24
249,Male,175,83,28.5
250,Female,167,58,24.5
251,Male,170,73,28
252,Female,160,59,25
253,Male,175,92,30
254,Female,167,62,24.5
255,Female,144,47,21
256,Male,170,76,28
257,Male,177,92,28.5
258,Male,165,70,27.5
259,Male,177,81,29
260,Female,154,50,22.5
261,Female,149,57,22
262,Female,170,71,25
263,Female,157,61,23
264,Female,154,49,22.5
265,Female,154,48,23
266,Male,162,73,27
267,Male,177,93,29.5
268,Female,144,44,21
269,Female,160,65,24
270,Male,167,79,27.5
271,Female,162,66,24
272,Male,175,84,28.5
273,Male,172,75,28
274,Female,162,60,24
275,Male,172,81,28
276,Male,177,81,28.5
277,Female,162,65,23.5
278,Male,172,79,28
279,Female,165,56,24.5
280,Male,170,82,28
281,Male,175,81,28.5
282,Male,172,86,28
283,Female,154,65,22.5
284,Male,165,72,27.5
285,Male,180,94,29
286,Female,152,62,22.5
287,Female,157,56,23
288,Male,165,79,27.5
289,Female,167,70,23.5
290,Female,154,53,22.5
291,Male,172,86,27.5
292,Male,193,104,30
293,Male,177,91,28.5
294,Female,162,60,24
295,Male,185,96,29.5
296,Male,170,84,27
297,Male,175,76,28.5
298,Male,175,82,28.5
299,Male,152,60,25
300,Female,172,69,25.5
