ID,Gender,Height_cm,Weight_kg,Shoe size_cm
164,Female,157,59,23
165,Female,162,71,24
166,Female,170,69,25
167,Male,162,74,27
168,Male,157,65,26
169,Male,165,81,27.5
170,Male,177,89,29
171,Male,180,91,29
172,Female,157,63,23
173,Female,149,44,22
174,Female,170,75,25.5
175,Male,180,91,29
176,Female,160,65,24
177,Male,172,84,28
178,Female,154,61,22.5
179,Male,185,99,29.5
180,Male,175,92,29
181,Female,162,60,24
182,Male,187,95,30
183,Male,180,92,29
184,Female,167,67,24.5
185,Male,182,90,29.5
186,Female,167,68,24.5
187,Male,180,86,29
188,Male,172,83,28
189,Female,162,62,23.5
190,Male,172,83,28
191,Male,175,86,28.5
192,Female,157,55,23
193,Female,170,76,25
194,Male,167,87,28
195,Male,187,96,29.5
196,Male,185,97,30.5
197,Male,160,74,27
198,Female,172,76,25.5
199,Female,170,66,25
200,Male,154,63,25
201,Female,170,69,25
202,Female,160,57,24
203,Male,177,,28.5
204,Male,165,69,27.5
205,Male,175,90,28.5
206,Female,160,69,24
207,Female,154,59,23
208,Female,157,56,23
209,Male,180,87,29
210,Male,182,90,29
211,Female,160,67,24
212,Female,147,43,21
213,Male,172,80,28
214,Female,157,61,23
215,Female,157,59,23
216,Female,152,57,23.5
217,Female,157,58,23
218,Male,172,88,28
219,Female,172,74,25.5
220,Female,165,61,24.5
221,Male,165,79,27.5
222,Female,152,53,22.5
223,Female,162,65,24
224,Male,170,85,28
225,Male,175,91,29.5
226,Male,180,87,29
227,Male,167,76,27.5
228,Male,172,88,28
284,Male,172,86,28
229,Male,170,81,29
230,Female,167,59,24.5
231,Female,154,56,22.5
232,Female,152,50,22.5
233,Female,165,72,24.5
234,Male,170,78,28
235,Male,180,95,30
236,Female,162,67,24
237,Male,175,91,28.5
238,Male,165,69,27.5
239,Male,170,80,28
240,Male,175,100,29
241,Male,172,81,28
242,Male,172,81,28
243,Male,167,72,27.5
244,Female,165,64,23.5
245,Male,177,88,28
246,Female,157,55,23
247,Male,185,96,30
248,Female,147,43,21
249,Female,157,59,23
250,Female,160,57,24
251,Male,175,83,28.5
252,Female,167,58,24.5
253,Male,170,73,28
254,Female,160,59,25
255,Male,175,92,30
256,Female,167,62,24.5
257,Female,144,47,21
258,Male,170,76,28
259,Male,177,92,28.5
260,Male,165,70,27.5
261,Male,177,81,29
262,Female,154,50,22.5
263,Female,149,57,22
264,Female,170,71,25
265,Female,157,61,23
266,Female,154,49,22.5
267,Female,154,48,23
268,Male,162,73,27
269,Male,177,93,29.5
270,Female,144,44,21
271,Female,160,65,24
272,Male,167,79,27.5
273,Female,162,66,24
274,Male,175,84,28.5
275,Male,172,75,28
276,Female,162,60,24
277,Male,172,81,28
278,Male,177,81,28.5
279,Female,162,65,23.5
280,Male,172,79,28
281,Female,165,56,24.5
282,Male,170,82,28
283,Male,175,81,28.5
284,Male,172,86,28
285,Female,154,65,22.5
286,Male,165,72,27.5
287,Male,180,94,29
288,Female,152,62,22.5
289,Female,157,56,23
290,Male,165,79,27.5
291,Female,167,70,23.5
292,Female,154,53,22.5
293,Male,172,86,27.5
294,Male,193,104,30
295,Male,177,91,28.5
296,Female,162,60,24
297,Male,185,96,29.5
298,Male,170,84,27
299,Male,175,76,28.5
300,Male,175,82,28.5
301,Male,152,60,25
302,Female,172,69,25.5
303,Male,175,91,28.5
304,Female,157,60,23
305,Male,175,88,28.5
306,Female,160,60,24
307,Male,162,72,27
308,Male,180,96,30
309,Male,175,78,28.5
310,Male,172,80,27.5
311,Male,180,91,29
312,Male,172,90,28.5
313,Male,175,89,28.5
314,Male,175,79,28.5
315,Male,172,90,28.5
316,Female,152,,22.5
317,Female,160,58,24
318,Male,157,66,26.5
319,Male,160,66,27
320,Female,154,51,22.5
321,Female,167,62,24.5
322,Male,165,82,27.5
323,Female,152,45,22.5
324,Female,175,80,25.5
302,Female,172,69,25.5
325,Female,170,73,25
326,Female,152,54,22.5
327,Female,157,60,23
328,Male,175,78,28.5
329,Male,177,88,28.5
330,Male,180,86,29
331,Female,165,61,24.5
332,Male,167,80,27.5
333,Male,182,91,29
334,Female,167,69,24.5
335,Female,157,58,23
336,Female,167,66,24.5
337,Male,167,80,27.5
338,Female,165,57,24.5
339,Female,162,61,24
340,Male,190,93,30
341,Female,167,62,23.5
342,Female,165,67,24.5
343,Male,172,75,28
344,Male,172,84,28
345,Male,170,81,28
346,Male,167,86,28
347,Male,172,81,28
348,Female,165,68,24.5
349,Female,157,,22.5
350,Male,172,81,28
351,Male,175,91,29
352,Female,157,57,23
353,Female,170,73,25
354,Male,170,70,28
355,Female,152,56,22.5
356,Female,162,59,24
357,Male,182,92,29
358,Female,162,66,24
359,Female,170,75,25
360,Male,160,71,27
361,Male,187,95,29.5
362,Female,157,66,23
363,Female,154,57,22.5
364,Male,172,89,28.5
365,Female,157,56,23
366,Female,175,77,25.5
367,Male,177,91,28.5
368,Female,157,55,23
369,Female,167,69,24.5
370,Female,170,76,24.5
371,Female,157,54,23
372,Male,177,92,28.5
373,Male,167,74,27.5
374,Female,154,54,22
375,Female,147,53,21
376,Male,175,86,29
377,Male,175,86,28
378,Male,170,90,28.5
379,Female,157,62,23
380,Male,170,82,28
381,Female,149,49,22
382,Male,182,93,29
383,Female,157,,22.5
384,Female,167,74,25.5
385,Male,160,71,27
386,Male,172,86,28
387,Male,187,105,30
388,Male,172,78,28
389,Female,167,66,24.5
390,Female,152,58,22.5
391,Female,160,59,24
392,Male,170,84,28
393,Male,180,87,28.5
394,Male,162,68,27
395,Male,182,95,30
396,Male,182,88,29
397,Male,160,76,27
398,Male,187,97,29.5
399,Male,182,91,29
400,Male,177,89,28.5
401,Male,177,96,29
402,Male,175,88,28.5
403,Male,175,92,29
404,Female,162,54,24
405,Male,172,83,28
406,Female,180,80,27.5
407,Female,172,77,25.5
408,Female,160,60,24
409,Male,180,91,29
410,Female,165,71,25.5
411,Female,160,60,24
412,Female,160,57,24
413,Male,175,78,28.5
414,Male,175,84,28.5
415,Female,172,67,25.5
416,Male,187,101,29.5
417,Female,149,59,22
418,Male,167,77,27.5
419,Male,167,69,28.5
420,Male,175,82,28
421,Female,162,63,24
422,Female,157,62,23
423,Female,160,63,24
424,Male,182,91,28.5
425,Female,160,56,24
426,Male,172,85,28
427,Male,160,68,27
428,Male,172,80,28
429,Female,167,70,24.5
430,Female,160,62,24
431,Female,154,,22.5
432,Male,172,82,28
425,Female,160,56,24
433,Male,165,76,27.5
434,Male,170,72,28
435,Female,165,67,24.5
436,Female,172,65,24.5
437,Female,157,64,23
438,Male,177,90,28.5
439,Female,157,56,23
440,Female,160,57,24
441,Female,162,70,24
442,Female,165,67,24.5
443,Male,172,82,28
444,Female,160,68,23
445,Female,152,54,22.5
446,Female,160,51,24
447,Male,162,78,26.5
448,Female,160,66,24
449,Female,147,41,21
450,Female,152,54,22.5
451,Male,177,85,28.5
452,Male,182,92,29
453,Female,167,72,24.5
454,Male,177,79,28.5
455,Female,160,57,24
456,Female,157,56,23
457,Female,170,66,25
458,Male,182,100,29.5
459,Male,172,79,28.5
460,Female,170,69,25
461,Male,172,77,28
462,Male,170,74,27.5
463,Male,182,94,29.5
464,Male,167,78,27.5
465,Female,167,71,24.5
466,Male,170,84,28
467,Male,185,92,29.5
468,Male,170,79,27
469,Male,167,81,27.5
470,Male,170,84,28
471,Male,167,81,27.5
472,Male,170,90,28.5
473,Male,172,90,28.5
474,Male,175,80,28.5
475,Female,165,63,24.5
476,Male,172,75,28
490,Female,162,66,24
477,Female,165,56,25.5
478,Female,154,57,22.5
479,Male,177,83,28.5
480,Male,182,95,29
481,Female,152,58,22.5
482,Male,180,84,29
483,Female,165,70,24.5
484,Male,170,79,27.5
485,Male,165,70,28
486,Male,165,80,27.5
487,Male,177,90,28.5
488,Male,182,97,29
489,Male,172,80,28
490,Female,162,66,24
491,Male,185,99,29.5
492,Male,167,84,28
493,Female,162,62,24
494,Female,170,78,25
495,Male,180,96,29
496,Male,167,74,27.5
497,Male,160,72,27
498,Male,177,96,29
499,Female,162,68,24
500,Female,157,51,23
501,Female,154,,23.5
502,Female,165,66,24.5
503,Male,182,92,29
504,Male,172,84,28
505,Female,154,57,22.5
506,Female,152,53,22.5
507,Female,157,59,23
508,Male,172,79,28
509,Female,160,60,24
510,Male,187,94,29.5
511,Female,162,67,24
512,Male,170,77,27.5
513,Female,157,57,23
514,Male,170,81,28
515,Female,149,48,22.5
516,Male,172,82,28
517,Male,172,76,28
518,Male,180,93,29
519,Female,162,61,24
520,Male,172,78,28
521,Male,177,88,28.5
522,Male,170,79,28
523,Female,152,48,22.5
524,Male,177,83,28.5
525,Male,182,95,29
526,Male,182,96,29
527,Male,177,91,28.5
528,Female,157,59,22.5
529,Male,175,80,28
530,Male,177,96,28.5
531,Male,165,70,27.5
532,Male,182,88,29
533,Female,162,57,24
534,Male,177,91,28.5
535,Female,162,65,24.5
536,Male,167,73,27.5
537,Male,175,82,28.5
538,Male,177,87,28.5
539,Female,160,62,24
540,Female,154,57,22.5
541,Male,165,73,26.5
542,Male,162,70,27
543,Female,154,55,22.5
544,Male,165,75,27.5
545,Female,154,58,22.5
546,Female,165,56,24.5
547,Male,172,84,28
548,Male,177,89,28.5
549,Male,172,86,28
550,Male,162,73,27
551,Male,167,85,28
552,Male,175,87,28.5
553,Female,165,65,25
554,Female,165,58,24.5
555,Female,160,59,24
556,Female,167,71,24.5
557,Male,170,79,28
558,Male,177,78,28.5
559,Male,170,82,28
560,Female,160,59,24
561,Female,154,62,22.5
562,Male,175,86,28.5
563,Female,162,67,24
564,Male,177,84,28.5
565,Male,185,96,29.5
566,Male,172,78,28
567,Female,154,63,22.5
568,Female,160,60,24
569,Female,154,59,22.5
570,Female,154,56,22.5
571,Male,162,75,27
572,Female,157,59,23
573,Male,167,73,27
574,Male,172,86,28
575,Female,154,58,23.5
576,Female,170,68,25.5
577,Female,147,49,21
578,Female,162,61,24
579,Female,165,66,25.5
580,Male,167,77,27.5
581,Male,180,88,29
582,Male,170,87,28.5
583,Male,172,84,28
584,Female,167,68,23.5
585,Male,172,91,28.5
586,Male,175,87,28.5
587,Female,154,63,22.5
588,Male,175,81,29
589,Male,167,81,27.5
590,Male,177,85,28.5
591,Male,149,61,25.5
592,Male,172,80,28
593,Female,160,54,24
594,Male,172,79,28
595,Female,154,53,22.5
596,Female,154,49,22.5
597,Female,154,48,22.5
598,Male,172,84,28
599,Female,170,71,25
600,Male,175,84,28.5
601,Female,165,69,24.5
602,Male,162,66,27
603,Male,172,88,28
604,Male,175,91,28.5
605,Female,180,83,27.5
606,Female,165,61,24.5
607,Male,170,82,28
608,Male,180,96,29
609,Female,152,51,22.5
610,Female,157,49,23
611,Male,165,68,27.5
612,Male,167,77,28
613,Male,175,84,29.5
614,Female,160,65,24
615,Female,165,67,24.5
616,Female,162,60,24
617,Female,147,41,20.5
618,Female,160,61,24
619,Female,167,67,25
620,Male,180,89,29
621,Female,160,66,23.5
622,Female,157,62,23
623,Male,177,98,29
624,Male,152,57,25
625,Male,177,88,28.5
626,Male,180,85,29
627,Female,160,54,23.5
628,Male,182,91,29
629,Female,162,62,24
630,Male,165,67,27.5
631,Male,160,62,26.5
632,Male,170,82,28
633,Female,157,64,23
634,Male,177,90,28.5
635,Male,172,86,28
636,Female,162,55,24
637,Male,172,87,28
638,Male,182,102,28.5
665,Female,162,64,24
639,Female,165,78,24.5
640,Female,160,60,24
641,Female,157,61,23
642,Male,180,95,28
643,Male,170,86,28
644,Female,142,34,20
645,Female,165,70,24.5
646,Male,172,86,28
647,Male,165,72,27.5
648,Male,172,80,28
649,Male,170,81,28
650,Male,175,79,28.5
651,Female,175,77,25.5
652,Female,147,47,21
653,Female,157,55,23
654,Female,170,67,25
655,Male,177,88,28
656,Female,162,61,24
657,Male,190,108,30
658,Male,172,78,28
659,Female,157,62,22.5
660,Male,182,98,29.5
661,Female,177,88,26.5
662,Female,149,60,22
663,Male,180,85,29
664,Male,170,74,28
665,Female,162,64,24
666,Female,157,65,23.5
667,Male,170,82,28
668,Male,170,70,28
669,Male,175,85,28.5
670,Female,147,50,21
671,Female,167,71,24.5
672,Male,170,89,28.5
673,Male,170,90,28.5
674,Male,177,81,28.5
675,Male,172,83,28
676,Male,170,82,27.5
677,Male,170,78,28.5
678,Male,167,86,28
679,Female,167,68,25.5
680,Male,170,78,28
681,Female,172,72,25.5
682,Female,160,66,24
683,Male,172,75,28
684,Male,172,84,28
685,Male,175,83,28.5
686,Male,172,83,28
687,Male,180,82,29.5
688,Male,177,92,29
689,Male,182,91,29
690,Male,162,75,27
691,Female,162,,24
692,Female,167,74,24.5
693,Female,152,45,22
694,Female,165,67,24.5
695,Female,154,57,22.5
696,Male,175,85,28.5
697,Male,177,92,28.5
698,Male,177,92,28.5
699,Male,162,72,27
700,Male,167,79,27.5
701,Female,162,72,24
702,Male,172,80,28
703,Female,165,58,25
704,Female,160,60,24
705,Female,154,55,22.5
706,Male,167,85,28
707,Male,170,91,28.5
708,Female,165,,24
709,Female,154,59,22.5
710,Male,170,80,28
711,Male,175,81,28.5
712,Female,167,58,24.5
713,Male,165,72,27.5
714,Female,160,62,24
715,Female,162,67,24
716,Male,167,75,27.5
717,Male,185,101,29.5
718,Female,165,64,24.5
719,Male,160,73,27
720,Female,160,64,24
721,Female,160,56,24
722,Female,162,62,24
723,Female,165,66,24.5
724,Male,180,97,29
725,Female,162,65,24
726,Male,167,,27.5
727,Female,160,65,24
728,Male,185,96,30.5
729,Female,147,41,21
730,Male,175,79,28.5
731,Female,160,55,24
732,Male,182,93,29
733,Male,167,72,27.5
734,Male,180,92,29
735,Female,165,69,24.5
736,Female,162,60,24
737,Female,147,49,21
738,Female,170,75,25
739,Male,175,86,29
740,Female,157,57,23
741,Female,160,56,24
742,Male,180,95,29
743,Female,149,46,22
744,Male,167,79,27.5
745,Male,172,79,28
746,Male,177,86,28.5
747,Female,172,75,25.5
748,Female,154,46,23.5
749,Female,157,53,23
750,Female,167,69,24.5
751,Female,149,58,22
752,Female,160,56,24
753,Male,157,63,26
754,Male,160,75,26
755,Male,172,,28
756,Female,160,60,24
757,Male,187,94,29.5
758,Male,180,78,29
759,Male,177,93,28.5
760,Female,170,71,25
761,Male,165,70,27.5
762,Female,152,59,22.5
763,Female,160,58,23.5
764,Female,165,70,24.5
765,Female,160,60,24
766,Male,162,63,27
767,Female,154,56,22.5
768,Male,167,77,27.5
769,Female,162,70,24
770,Female,157,60,23
771,Female,162,58,24
772,Male,180,93,29.5
773,Female,154,57,22.5
774,Female,157,60,23
775,Male,172,81,28
776,Male,170,83,28
777,Female,157,61,23
778,Female,154,55,22.5
779,Female,157,55,23
780,Male,187,95,29.5
781,Female,165,66,25.5
782,Female,162,67,24
783,Female,162,64,23
784,Female,160,62,24
785,Male,160,70,27
786,Female,160,53,24
787,Male,175,81,28.5
788,Male,175,81,28.5
789,Male,180,94,29
790,Female,160,64,24
791,Female,160,71,24
792,Male,170,85,28
793,Male,172,88,28
794,Female,170,72,25
795,Female,165,67,24.5
796,Female,154,45,23.5
797,Male,170,77,28.5
798,Male,180,87,29
799,Female,165,58,24.5
800,Female,154,66,22.5
801,Male,185,98,29.5
802,Male,170,75,28
803,Male,167,82,27.5
804,Male,170,69,28
805,Female,160,47,24
806,Male,177,90,28.5
807,Male,182,96,29
870,Female,149,56,22
808,Male,177,91,28.5
809,Female,167,58,24.5
810,Male,172,86,28
811,Male,182,101,29.5
812,Male,165,76,27.5
813,Male,185,93,29
796,Female,154,45,23.5
814,Female,154,45,21.5
815,Female,157,55,23
816,Male,172,90,28.5
817,Male,170,91,28.5
818,Male,180,86,29
819,Male,177,91,28.5
820,Female,154,62,22.5
821,Male,180,92,29
822,Female,165,62,24.5
823,Female,165,66,24
824,Female,172,71,25.5
825,Male,172,77,28
826,Female,162,71,24
827,Male,172,81,28
828,Male,182,96,29
829,Male,182,96,29
830,Female,152,45,22.5
831,Female,160,60,24
832,Female,160,58,24
833,Male,172,83,28
834,Female,160,64,24
835,Female,149,48,22
836,Male,165,75,27.5
837,Male,180,81,29
838,Male,175,79,28.5
839,Male,165,67,28
840,Female,172,74,25
841,Female,162,62,24
842,Female,160,66,24
843,Female,154,53,22.5
844,Female,167,72,24.5
845,Female,137,28,20
846,Female,162,67,24
847,Female,162,64,24
848,Male,182,86,29
849,Female,165,71,24.5
850,Male,167,81,27.5
851,Male,170,83,28
852,Female,,63,24
853,Male,175,81,28.5
854,Male,182,92,30
855,Female,157,66,23
856,Female,147,47,21
857,Male,193,106,31
858,Female,170,68,25
859,Female,167,65,24.5
860,Female,154,58,22.5
861,Female,165,70,24.5
862,Female,154,50,22.5
863,Female,167,68,24.5
864,Male,177,89,28.5
865,Male,152,58,25
866,Female,157,66,23
867,Female,160,59,24
868,Male,162,83,27.5
869,Female,162,58,24
870,Female,149,56,22
871,Female,167,68,24.5
872,Female,157,58,23
873,Male,170,89,28.5
874,Female,170,72,25
875,Female,162,64,24
876,Male,175,85,28.5
877,Male,180,92,29
878,Male,170,83,28
879,Female,160,70,24
880,Male,175,90,28.5
881,Female,167,68,24.5
882,Male,172,77,28
883,Male,170,82,28
884,Female,170,77,25
885,Female,160,67,24
886,Male,180,93,29
887,Male,167,81,27.5
888,Male,187,97,29.5
889,Female,157,57,23
890,Male,180,91,29
891,Female,162,61,23
892,Male,172,86,28
893,Female,,54,22
894,Female,165,72,24.5
895,Male,165,75,28
896,Female,157,67,23
897,Female,152,47,23
898,Male,165,64,27.5
899,Male,165,77,27.5
900,Female,147,43,21
901,Female,175,71,25.5
902,Male,177,88,28
903,Male,177,86,28.5
904,Male,170,77,29
905,Male,172,82,28.5
906,Female,167,68,24.5
907,Female,167,66,24.5
908,Male,170,77,28
909,Male,170,82,28
910,Female,167,62,24.5
896,Female,157,67,23
911,Male,167,76,27.5
912,Female,167,65,24
913,Male,175,81,28.5
914,Male,165,73,27.5
915,Female,160,62,24
916,Male,170,86,28
917,Female,157,57,22.5
918,Female,157,51,23
919,Female,154,45,22.5
920,Male,170,85,28
921,Male,160,72,27
922,Male,172,83,28
923,Male,172,79,28
924,Male,177,81,29.5
925,Female,152,56,22.5
926,Male,175,85,29
927,Male,165,79,27.5
928,Male,177,88,28.5
929,Male,177,83,28.5
930,Female,172,73,25.5
931,Female,160,59,24
932,Male,170,77,28
933,Female,165,66,24.5
934,Male,182,88,29
935,Female,147,59,21
936,Male,170,81,28
937,Male,165,76,27.5
938,Male,170,78,28
939,Female,154,60,22.5
940,Female,152,55,22.5
941,Male,172,86,28
942,Male,185,99,30
943,Male,170,84,28
944,Female,165,70,24.5
945,Male,180,96,29
946,Female,,54,22.5
947,Female,162,67,24
948,Female,175,76,25.5
949,Female,160,57,24
950,Male,180,92,28.5
951,Male,177,88,28.5
952,Male,187,98,29.5
953,Female,157,63,23
954,Female,162,69,24.5
955,Male,190,103,30
956,Female,157,50,23
957,Female,162,62,24
958,Male,170,81,28
959,Female,160,57,24
960,Female,170,67,25
961,Male,160,71,28
962,Female,177,73,26.5
963,Male,175,86,28.5
964,Male,177,84,28.5
965,Female,160,64,24
966,Female,165,56,24.5
967,Male,177,92,28.5
968,Female,160,60,24
969,Female,165,72,24.5
970,Male,180,103,29.5
971,Male,175,88,28
972,Male,172,84,28
973,Female,170,66,25
974,Female,160,62,24
975,Male,180,95,29
976,Male,177,89,28.5
977,Female,172,67,25.5
978,Male,175,89,28.5
979,Female,167,67,24.5
980,Male,165,75,27.5
981,Male,182,94,29
982,Female,160,62,24
956,Female,157,50,23
983,Male,165,73,27.5
984,Male,170,80,28
985,Female,157,56,23
986,Male,180,99,29.5
987,Male,162,69,27.5
988,Male,180,90,29
989,Male,180,89,29
990,Male,170,78,28
991,Male,177,91,28.5
992,Female,167,67,24.5
993,Female,147,43,21
994,Female,157,58,23
995,Male,177,91,28.5
996,Female,160,55,24
997,Male,175,86,28.5
998,Female,165,67,24.5
999,Female,152,47,22.5
1000,Male,180,96,29
1001,Male,172,84,28
1002,Female,157,64,23
1003,Male,182,89,29
1004,Male,180,88,29
1005,Female,152,46,22.5
1006,Female,162,51,24
1007,Male,172,78,28
1008,Female,152,52,22.5
1009,Female,154,56,22.5
1010,Male,162,74,27
1011,Male,170,78,29
1012,Male,180,90,29
1013,Female,162,66,24
1014,Male,185,106,30
1015,Male,175,90,28.5
1016,Female,160,65,24
1017,Female,165,66,24.5
1018,Female,175,70,25.5
1019,Female,165,72,24.5
1020,Female,154,49,22.5
1021,Female,164,66,24.5
1022,Female,171,71,25
1023,Female,169,78,25
1024,Male,180,85,29
1025,Male,173,88,28
1026,Male,172,80,28
1027,Female,158,60,23
1028,Female,166,60,24.5
1029,Male,183,104,29.5
1030,Female,158,50,23
1031,Female,161,58,24
1032,Male,166,66,27.5
1033,Female,148,44,22.5
1034,Male,167,79,27.5
1035,Female,167,61,24.5
1036,Female,158,60,23
1037,Female,162,62,24
1038,Female,172,70,25.5
1039,Female,161,59,24
1040,Female,178,74,26.5
1041,Female,160,62,24
1042,Female,154,54,22.5
1043,Male,172,84,28
1044,Male,172,78,28
1045,Female,159,53,23
1046,Male,178,86,28.5
1047,Male,179,87,28.5
1048,Male,176,89,28.5
1049,Male,164,69,27
1050,Male,172,77,28
1051,Female,153,55,22.5
1052,Male,187,90,29.5
1053,Female,157,55,23
1054,Male,164,67,27
1055,Female,163,65,24
1056,Male,181,92,29
1057,Female,172,85,25.5
1058,Female,163,68,24
1059,Male,179,89,28.5
1060,Male,167,66,27.5
1061,Female,175,87,25.5
1062,Male,181,93,29
1063,Female,155,56,22.5
1064,Female,155,53,22.5
1065,Female,161,54,24
1066,Female,157,59,23
1067,Female,163,60,24
1068,Female,173,65,25.5
1069,Male,183,96,28
1070,Male,181,96,29
1071,Male,173,81,28
1072,Female,156,53,22.5
1073,Male,168,69,27.5
1074,Male,173,84,28
1075,Male,181,93,29
1076,Female,171,76,25
1077,Female,156,50,23
1078,Female,164,67,24.5
1079,Female,177,73,26.5
1080,Female,154,51,22.5
1081,Male,178,89,28.5
1082,Male,175,91,28.5
1083,Female,154,47,22.5
1084,Male,160,73,27
1085,Female,167,65,24.5
1086,Female,167,72,24.5
1087,Female,161,59,25
1088,Female,165,63,24.5
1089,Female,172,72,25.5
1090,Male,171,81,28
1091,Male,172,83,28
1092,Female,170,81,25
1093,Male,175,81,28.5
1094,Female,152,54,22.5
1095,Female,160,55,24
1096,Female,158,57,23
1097,Male,180,95,29
1098,Male,173,87,28
1099,Male,173,87,28
1100,Female,156,43,23
1101,Female,169,72,25
1102,Male,165,78,27.5
1103,Male,172,82,28
1104,Female,163,64,24
1105,Female,166,70,24.5
1106,Female,169,69,24.5
1107,Male,163,80,28
1108,Female,171,77,25
1109,Male,172,83,28
1110,Male,170,89,28.5
1111,Female,159,65,23
1112,Female,162,53,24
1113,Female,160,60,24
1114,Female,156,59,22
1115,Female,161,63,24
1116,Female,162,63,24
1117,Female,157,62,23
1118,Male,166,73,26.5
1119,Male,178,90,28.5
1120,Female,169,65,25
1121,Male,173,87,28
1122,Female,156,58,23
1123,Male,175,86,28.5
1124,Female,156,59,23
1125,Female,151,56,22
1126,Female,162,62,24
1127,Male,189,99,29.5
1128,Male,175,78,28.5
1129,Female,160,60,24
1130,Female,168,73,25.5
1131,Female,169,65,25
1132,Female,161,56,24
1133,Female,165,66,24.5
1134,Female,143,40,21
1135,Male,172,75,28
1136,Female,159,56,23
1137,Female,160,61,24
1138,Male,179,87,28.5
1139,Female,157,49,23
1140,Female,155,60,22.5
1141,Male,179,87,28.5
1142,Female,152,51,22.5
1143,Male,178,89,27.5
1144,Female,168,73,25.5
1145,Male,171,76,28
1146,Female,168,66,25
1147,Male,170,78,28
1148,Male,180,86,29
1149,Female,157,56,22.5
1150,Male,182,93,29
1151,Male,174,82,28
1152,Male,173,80,28
1153,Male,187,98,29.5
