出发地,目的地,路线信息,酒店信息
杭州,丽江,"自由行
丽江+大理 丽江雪山-大理双廊5日游 含机票酒店住宿费/独立用车保险，赠送景点门票ZD5
多商圈, 含接送机, 门票
5天4晚|天天出发|直飞|多酒店可选
5.0分 | 已售27人
5580起/人","4.6分
豪华型"
杭州,丽江,"自由行
昆明+大理+丽江+香格里拉 <飞机往返昆明> 丽江+大理+香格里拉6天自由行+管家式服务（内附游玩攻略）
多商圈特色客栈
6天5晚|天天出发|直飞|多酒店可选
5.0分 | 已售29人
2680起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理 昆明丽江、泸沽湖、大理火车双卧7日纯玩游 青春派队船游洱海，慢享大理情
大研古城与丽江古城博物院相邻
7天6晚|端午|直飞|丽江心院客栈
5.0分 | 已售29人
3670起/人","4.5分
高档型"
杭州,丽江,"自由行
昆明+大理+丽江 1人起订 Vip定制纯玩昆明直飞丽江 石林+大理-泸沽湖8天亲子游VK8
多商圈玉龙雪山特色客栈印象丽江
8天7晚|天天出发|中国国际航空|多酒店可选
8280起/人","4.7分
豪华型"
杭州,丽江,"自由行
艳遇丽江-直飞丽江4天3晚自由行 安排品质酒店\特色客栈-免费提供接送机服务
大研古城与大水车相邻特色客栈
4天3晚|端午|直飞|格林豪泰酒店丽江市古城口大水车店
5.0分 | 已售22人
2164起/人","4.0分
经济型"
杭州,丽江,"自由行
丽江+大理 云南定制私家团昆明+大理+丽江5天4晚毕业游，纯玩的价格享VIP待遇V5
多商圈, 含接送机, 门票
5天4晚|天天出发|直飞|多酒店可选
4180起/人","4.8分
高档型"
杭州,丽江,"自由行
昆明+大理+丽江+西双版纳 暑期特惠 四飞机票+豪华住宿 昆明石林大理丽江西双版纳8天纯玩毕业游ZYX8
豪华型多商圈印象丽江
8天7晚|天天出发|中国国际航空|多酒店可选
7580起/人","4.7分
豪华型"
杭州,丽江,"自由行
昆明+大理+丽江+香格里拉 <飞机往返昆明> 丽江+大理+香格里拉5天自由行+管家式服务（内附游玩攻略）
多商圈特色客栈
5天4晚|天天出发|直飞|多酒店可选
5.0分 | 已售23人
2580起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理 云南蜜月定制游 丽江+大理+泸沽湖6天5晚，赠送鲜花蜜月房+海景房MDLL6
多商圈游双古城
6天5晚|端午|直飞|多酒店可选
6380起/人","4.8分
豪华型"
杭州,丽江,"自由行
机 酒纯玩享4晚丽江纳西客栈赠丽水金沙 1天免费用车+玫瑰庄园套票
大研古城在木府附近特色客栈
5天4晚|端午|直飞|丽江溪语茗苑客客栈
5.0分 | 已售39人
2250起/人团","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理 清凉一夏嗨云南 直飞丽江全自由行 寻梦丽江杭州—丽江 大理6+N天自由行
大研古城海边客栈特色客栈
6天5晚|端午|直飞|丽江心怡酒店
5.0分 | 已售23人
2800起/人","4.3分
高档型"
杭州,丽江,"自由行
昆明+西双版纳+丽江 VIP私人定制环飞：私家团：昆明-西双版纳万达主题乐园-丽江冰川公园7日游！
豪华型新城印象丽江
7天6晚|天天出发|飞机|丽江官房大酒店旗店区
5.0分 | 已售26人
6080起/人专享红包团","3.9分
豪华型"
杭州,丽江,"自由行
丽江+大理 云南旅游新播报，0购物，无限制，赠480自费，大理丽江 可增加香格里拉泸沽湖
下关中心在大理西南医院附近
5天4晚|天天出发|直飞|大理金达酒店
2380起/人","4.1分
其他"
杭州,丽江,"自由行
<双飞往返丽江>丽江一地+机场接送 5天自由行 管家式服务（内附完整攻略）
大研古城特色客栈
5天4晚|端午|中国国际航空直飞|丽江古城丽景逍遥居度假庭院
1866起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理 DIY自由定制/特色客栈+当地管家杭州-大理丽江泸沽湖8+N天全自由行
大研古城, 含接送机
8天7晚|端午|直飞|丽江沐云花间人文精品客栈
5.0分 | 已售22人
3500起/人","3.8分
高档型"
杭州,丽江,"自由行
丽江+大理 清凉一夏 VIP私家定制：家庭亲子 独立用车杭州双飞昆明丽江大理7日游
双廊, 含接送机
7天6晚|端午|中国国际航空直飞|大理双廊木莲花洱海度假客栈
5.0分 | 已售29人
4720起/人","4.7分
舒适型"
杭州,丽江,"自由行
昆明+大理+丽江+香格里拉 飞机往返昆明8天7晚 丽江+大理+香格里拉+管家服务+行程定制（附游玩攻略）
主题乐园多商圈特色客栈
8天7晚|端午|多机票可选|多酒店可选
5.0分 | 已售24人
2780起/人","4.9分
其他"
杭州,丽江,"自由行
昆明+大理+丽江+西双版纳 昆明大理丽江西双版纳9日私家团 赠洱海旅拍 住四星酒店或客栈+大理海景房L9
多商圈玉龙雪山游双古城印象丽江
9天8晚|天天出发|直飞|多酒店可选
8580起/人","4.2分
高档型"
杭州,丽江,"自由行
清凉一夏 直飞丽江全自由行 彼云之南，寻梦丽江杭州—丽江4+N天自由行
大研古城特色客栈
4天3晚|天天出发|直飞|丽江心怡酒店
5.0分 | 已售24人
2700起/人","4.3分
高档型"
杭州,丽江,"自由行
丽江+大理 全自由行杭州—昆明 丽江 大理6+N天自由行 旅行就要狠自由
大研古城特色客栈
6天5晚|端午|中国国际航空直飞|丽江心怡酒店
4.9分 | 已售30人
3000起/人团","4.3分
高档型"
杭州,丽江,"机酒自由行
丽江+大理 毕业季行色双廊拉市海骑行 玉龙雪山 丽江 大理小资双飞5日游接送机服务
多商圈海边客栈
5天4晚|天天出发|直飞|多酒店可选
3180起/人","4.7分
其他"
杭州,丽江,"自由行
昆明+大理+丽江+香格里拉 <飞机往返昆明> 丽江+大理+香格里拉7天自由行+管家式服务（内附游玩攻略）
多商圈特色客栈
7天6晚|端午|中国国际航空直飞|多酒店可选
5.0分 | 已售26人
2880起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+香格里拉 直飞丽江+大理/泸沽湖/香格里拉5日+N天自由行/多地任意组合/送拉市海纯玩
多商圈
5天4晚|天天出发|多机票可选|多酒店可选
5.0分 | 已售22人
2460起/人","4.8分
舒适型"
杭州,丽江,"自由行
纯玩丽江 自由行 直飞丽江 精选古城TOP客栈5晚 不挪窝 接送机+酒吧啤酒
大研古城靠近木府
6天5晚|端午|直飞|丽江净水青莲雅舍
5.0分 | 已售27人
2330起/人","4.9分
其他"
杭州,丽江,"自由行
昆明+版纳+丽江+香格里拉 VIP私人定制：昆明-西双版纳中科院-丽江雪山冰川大索道-香格里拉7日游！
独克宗古城乘索道
7天6晚|端午|飞机|迪庆香格里拉古城国际大酒店
5.0分 | 已售20人
5580起/人","3.9分
豪华型"
杭州,丽江,"自由行
丽江+大理 飞机往返昆明6天5晚 丽江+大理+洱海+管家服务+行程定制（附游玩攻略）
主题乐园多商圈特色客栈
6天5晚|端午|多机票可选|多酒店可选
2380起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理 <双飞往返>丽江+大理双廊古镇5天自由行丨赠接送机+丽水金沙+车票（附攻略）
主题乐园多商圈海边客栈特色客栈
5天4晚|端午|直飞|多酒店可选
2310起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+香格里拉 直飞丽江+大理/泸沽湖/香格里拉6日自由行+N天自由行 多地任意组合
多商圈特色客栈
6天5晚|天天出发|多机票可选|多酒店可选
5.0分 | 已售24人
2660起/人","4.8分
舒适型"
杭州,丽江,"自由行
丽江+大理+香格里拉 纯玩0自费自由组合套餐 丽江+大理+香格里拉+泸沽湖自由行双飞5日 高端定制
多商圈, 含接送机
5天4晚|端午|多机票可选|多酒店可选
5.0分 | 已售26人
2070起/人","4.4分
其他"
杭州,丽江,"自由行
直飞丽江丨丽江双飞4天自由行丨赠歌舞表演丽水金沙+接送机+1天专车使用
多商圈特色客栈
4天3晚|天天出发|直飞|多酒店可选
2070起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理 双飞丽江<丽江+泸沽湖+大理7天自由行>赠表演+接送机+专车使用（附攻略）
主题乐园多商圈海边客栈特色客栈
7天6晚|天天出发|直飞|多酒店可选
2670起/人","4.9分
舒适型"
杭州,丽江,"自由行
梦云南 丽江+泸沽湖5天自由行 免赠旅游管家+旅游车+接机附旅游攻略
多商圈特色客栈
7天6晚|天天出发|中国国际航空直飞|多酒店可选
2948起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理+香格里拉 直飞丽江双飞5日大理+香格里拉+泸沽湖下单赠送2日游自由组合可加N日自由行
多商圈玉龙雪山
5天4晚|天天出发|直飞|多酒店可选
5.0分 | 已售30人
2980起/人专享红包","4.4分
高档型"
杭州,丽江,"自由行
丽江+大理 飞机往返昆明5天4晚 丽江+大理+洱海+管家服务+行程定制（附游玩攻略）
主题乐园多商圈特色客栈
5天4晚|天天出发|多机票可选|多酒店可选
2280起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理 往返直飞丽江+泸沽湖+大理7天自由行 送特色美食旅游车接机4星入住
多商圈, 含接送机
7天6晚|天天出发|直飞|多酒店可选
3198起/人","4.9分
舒适型"
杭州,丽江,"自由行
VIP私人定制环飞：昆明、版纳潘多拉星球、丽江冰川公园大索道、香格里拉7日游
亲子游豪华型新城乘索道印象丽江
7天6晚|端午|飞机|丽江官房大酒店旗店区
5.0分 | 已售23人
6580起/人","4.4分
豪华型"
杭州,丽江,"机酒自由行
双飞丽江 泸沽湖 玉龙雪山 特色古城内酒店 ＋免费接送机享浪漫宁静之五日游
多商圈湖景房
5天4晚|天天出发|直飞|多酒店可选
2599起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理 <往返直飞丽江>丽江+大理5天自由行（含20KM专用车+管家服务）附旅游攻略
多商圈, 含接送机
5天4晚|端午|直飞|多酒店可选
2918起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理 DIY自由定制/特色客栈+当地管家杭州-大理丽江6+N天全自由行
多商圈, 含接送机
6天5晚|端午|直飞|多酒店可选
5.0分 | 已售25人
3150起/人","4.4分
其他"
杭州,丽江,"自由行
昆明+大理+丽江+香格里拉 DIY自由定制/特色客栈+当地管家杭州-大理丽江香格里拉8+N天全自由行
大研古城特色客栈
8天7晚|端午|直飞|丽江沐云花间人文精品客栈
5.0分 | 已售22人
3500起/人","3.8分
高档型"
杭州,丽江,"自由行
丽江+大理 相约丽江 漫步大理 网红客栈 好评如潮 双飞往返赠接送
多商圈特色客栈
5天4晚|端午|多机票可选|多酒店可选
3488起/人","4.7分
高档型"
杭州,丽江,"自由行
丽江+大理 云南纯玩+自由行，0限制0购物，住海景客栈，大理丽江6日双飞游，赠表演游轮！
多商圈游双古城海边客栈洱海游船
6天5晚|天天出发|直飞|多酒店可选
5.0分 | 已售28人
2180起/人","4.1分
其他"
杭州,丽江,"自由行
<飞机往返丽江> 丽江+大理+香格里拉3天自由行+管家式服务（内附游玩攻略）
多商圈特色客栈
3天2晚|端午|多机票可选|多酒店可选
5.0分 | 已售26人
2380起/人","4.9分
其他"
杭州,丽江,"自由行
昆明+大理+丽江+香格里拉 DIY自由定制/特色客栈+当地管家杭州-大理丽江泸沽湖香格里拉10+N天
大研古城特色客栈
10天9晚|端午|中国国际航空直飞|丽江沐云花间人文精品客栈
5.0分 | 已售28人
3800起/人","3.8分
高档型"
杭州,丽江,"自由行
丽江+大理 丽江泸沽湖大理7天自由行送歌舞会特色美食旅游车玫瑰庄园接机4星入住
多商圈, 含接送机
7天6晚|天天出发|中国国际航空直飞|多酒店可选
3198起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理 <往返直飞>丽江+大理5天自由行（含20KM专用车+管家服务）附旅游攻略
多商圈, 含接送机
5天4晚|天天出发|直飞|多酒店可选
2918起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理 直飞丽江自由定制+当地管家杭州-大理丽江香格里拉泸沽湖10+N天全自由行
大研古城, 含接送机
10天9晚|端午|直飞|丽江沐云花间人文精品客栈
5.0分 | 已售26人
3650起/人","3.8分
高档型"
杭州,丽江,"自由行
直飞丽江<赠接送机+歌舞表演丽水金沙>丽江古城双飞5天自由行（附自由行攻略）
多商圈特色客栈
5天4晚|天天出发|直飞|多酒店可选
2670起/人","4.9分
舒适型"
杭州,丽江,"自由行
飞机往返丽江3天2晚 丽江古城+拉市海+管家服务+行程定制（附游玩攻略）
大研古城特色客栈
3天2晚|天天出发|多机票可选|Q居丽江阳光花舍精品客栈
5.0分 | 已售24人
2380起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理 <双飞往返丽江> 丽江+泸沽湖+大理7天自由行 管家式服务（内附完整攻略）
主题乐园多商圈特色客栈
7天6晚|天天出发|直飞|多酒店可选
2366起/人","4.9分
舒适型"
杭州,丽江,"自由行
昆明+西双版纳+丽江 VIP私人定制环飞：昆明-版纳中科院、万达主题-丽江雪山大索道-泸沽湖8日游
豪华型新城走婚宴乘索道印象丽江
8天7晚|天天出发|飞机|丽江官房大酒店旗店区
5.0分 | 已售24人
6480起/人","4.4分
豪华型"
杭州,丽江,"自由行
往返直飞 丽江+泸沽湖5天自由行 赠旅游管家+旅游车+接机附旅游攻略
豪华型多商圈特色客栈
5天4晚|端午|直飞|多酒店可选
2948起/人","4.9分
舒适型"
杭州,丽江,"自由行
<双飞往返丽江+泸沽湖5天自由行>赠接送机+丽水金沙+专车使用（附攻略）
多商圈特色客栈
5天4晚|端午|直飞|多酒店可选
2220起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+香格里拉 杭州飞丽江5天4晚 高端国际五星住宿 云南丽江香格里拉专车行程随心定ZYZ5
豪华型多商圈洲际玉龙雪山印象丽江
5天4晚|端午|直飞|多酒店可选
5.0分 | 已售24人
5780起/人","4.5分
豪华型"
杭州,丽江,"自由行
丽江+香格里拉 全自由行 我的旅游我做主杭州双飞—昆明 丽江 香格里拉6+N天
大研古城海边客栈特色客栈
6天5晚|端午|直飞|丽江凌云·花舍精品客栈
5.0分 | 已售21人
3250起/人","4.7分
高档型"
杭州,丽江,"自由行
丽江+大理+香格里拉 亲子毕业推荐 杭州飞丽江大理6天5晚 专车行程随心定，景点自由组 ZYD6
豪华型多商圈玉龙雪山游双古城印象丽江
6天5晚|天天出发|直飞|多酒店可选
5.0分 | 已售28人
6280起/人","4.6分
豪华型"
杭州,丽江,"自由行
丽江+大理+香格里拉 云南定制私家团，大理+丽江5天4晚，赠洱海双人旅拍，独立专车+五星酒店LP5
豪华型多商圈玉龙雪山游双古城印象丽江
5天4晚|端午|中国国际航空直飞|多酒店可选
6380起/人","4.6分
豪华型"
杭州,丽江,"机酒自由行
昆明+丽江+香格里拉 杭州飞昆明5日+N天自由休闲游，任意组合丽江/香格里拉/泸沽湖 ZYX001
独克宗古城
5天4晚|天天出发|多机票可选|迪庆融城港湾度假酒店
5.0分 | 已售30人
1680起/人","4.8分
舒适型"
杭州,丽江,"自由行
丽江+香格里拉 逼格旅行丨双飞丽江+香格里拉5日游丨宿精品客栈丨含接送机+旅途用车L4-H
多商圈, 含接送机
5天4晚|天天出发|直飞|多酒店可选
2340起/人","4.5分
其他"
杭州,丽江,"自由行
丽江+大理 遇见纯玩错峰游 大理丽江6天5晚奢旅自由行，杭州直飞丽江往返机票含税。
多商圈
6天5晚|端午|直飞|多酒店可选
5.0分 | 已售25人
3580起/人","4.1分
舒适型"
杭州,丽江,"自由行
丽江+大理+香格里拉 云南私家团大理+丽江+香格里拉7日6晚杨丽萍艺术酒店悦榕庄洲际恬居Y7
多核心商圈豪华住宿, 含接送机, 门票
7天6晚|天天出发|直飞|多酒店可选
11080起/人","4.7分
豪华型"
杭州,丽江,"自由行
丽江+大理+香格里拉 直飞丽江纯玩定制5天4晚半自由行包含接送机+精选古城客栈+赠送套餐可选
5天4晚|端午|直飞|丽江古城天雨楼酒店
2690起/人","3.5分
舒适型"
杭州,丽江,"自由行
丽江+大理+香格里拉 直飞丽江 纯玩 精选TOP古城客栈（可现选）可赠送 三选一套餐+达人推荐玩乐
大研古城靠近木府双廊
6天5晚|端午|直飞|丽江净水青莲雅舍
2630起/人","4.9分
其他"
杭州,丽江,"自由行
0限制直飞昆明全程自由行+N日自由行+舒适客栈5天4晚游；赠送拉市海丽水金沙
多商圈
5天4晚|端午|直飞|多酒店可选
5.0分 | 已售27人
2160起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理+香格里拉 <飞机往返丽江> 丽江+大理+香格里拉4天自由行+管家式服务（内附游玩攻略）
多商圈特色客栈
4天3晚|天天出发|多机票可选|多酒店可选
5.0分 | 已售23人
2380起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+香格里拉 双飞丽江<丽江+香格里拉+泸沽湖7天自由行>赠表演+接送机+专车使用丨附攻略
多商圈特色客栈
7天6晚|天天出发|直飞|多酒店可选
2670起/人","4.9分
舒适型"
杭州,丽江,"自由行
成都+稻城 <丽江+泸沽湖+稻城亚丁+芒康>11日大环线自由行，圆您滇、川、藏自驾之梦
多商圈
11天10晚|天天出发|多机票可选|多酒店可选
5080起/人","4.7分
舒适型"
杭州,丽江,"自由行
丽江+大理+香格里拉 直飞丽江 定制纯玩自由行（特色客栈+香格里拉+泸沽湖+大理多种套餐任意搭配）
大研古城靠近木府特色客栈
6天5晚|端午|直飞|丽江净水青莲雅舍
5.0分 | 已售21人
2740起/人团","4.9分
其他"
杭州,丽江,"自由行
丽江+香格里拉 <双飞往返丽江+香格里拉5天自由行>赠丽水金沙+接送机+专车使用（附攻略）
多商圈特色客栈
5天4晚|天天出发|直飞|多酒店可选
5.0分 | 已售23人
2370起/人","4.9分
舒适型"
杭州,丽江,"自由行
双飞云南！全程自由行+昆明大理丽江泸沽湖香格里拉10天9晚+特色客栈+接送机
多商圈特色客栈
10天9晚|天天出发|直飞|多酒店可选
3670起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理+香格里拉 艳遇行色直飞往返丽江自由行5日+4晚高档客栈+赠拉市海+束河古镇一日游
多商圈, 含接送机
5天4晚|端午|直飞|多酒店可选
2998起/人","4.5分
豪华型"
杭州,丽江,"自由行
丽江+大理+香格里拉 <飞机往返直飞>丽江+香格里拉+大理7天自由行 赠特色美食旅游车+接机
多商圈, 含接送机
7天6晚|天天出发|直飞|多酒店可选
3168起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+香格里拉 <超值双飞>丽江+香格里拉5天自由行 赠送歌舞会特色美食旅游车+接机
多商圈特色客栈
7天6晚|天天出发|中国国际航空直飞|多酒店可选
2938起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理+香格里拉 <飞机往返丽江> 丽江+大理+香格里拉5天自由行+管家式服务（内附游玩攻略）
多商圈特色客栈
5天4晚|端午|多机票可选|多酒店可选
5.0分 | 已售28人
2680起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理+香格里拉 <飞机往返丽江> 丽江+大理+香格里拉7天自由行+管家式服务（内附游玩攻略）
主题乐园多商圈特色客栈
7天6晚|端午|多机票可选|多酒店可选
5.0分 | 已售25人
3080起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理+香格里拉 <飞机往返丽江> 丽江+大理+香格里拉6天自由行+管家式服务（内附游玩攻略）
多商圈特色客栈
6天5晚|端午|多机票可选|多酒店可选
5.0分 | 已售22人
2880起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理+香格里拉 蜜约丽江遇见丽江,品味旅行！赠送甜点下午茶+蜜月房布置+赠送精美写真
蜜月旅行多商圈特色客栈
5天4晚|天天出发|直飞|多酒店可选
3498起/人","4.9分
高档型"
杭州,丽江,"自由行
丽江+香格里拉 往返直飞丽江+香格里拉+泸沽湖7日游（赠20KM专用车+特色餐）附旅游攻略
多商圈特色客栈
7天6晚|天天出发|直飞|多酒店可选
3138起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理+香格里拉 毕业旅行推荐 各地飞丽江大理香格里拉私人定制，五星酒店或豪华客栈 ZYZD7
多商圈双廊玉龙雪山游双古城
7天6晚|天天出发|直飞|多酒店可选
5.0分 | 已售29人
6880起/人","4.6分
豪华型"
杭州,丽江,"自由行
丽江+香格里拉 DIY 丽江+香格里拉+泸沽湖7日游（含往返机票+20KM专用车）附旅游攻略
多商圈特色客栈
7天6晚|天天出发|直飞|多酒店可选
3138起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理+香格里拉 丽江香格里拉大理7天自由行 赠送歌舞会特色美食旅游车玫瑰庄园+接机
多商圈, 含接送机
7天6晚|天天出发|直飞|多酒店可选
3168起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理+香格里拉 直飞丽江9天自由行（含往返机票+20KM专用车+接送机+特色客栈）附旅游攻略
多商圈, 含接送机
9天8晚|天天出发|直飞|多酒店可选
3418起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理+香格里拉 纯玩+不限年龄+洱海骑行+直飞丽江，大理、丽江、香格里拉8日半自由行！
多商圈洱海骑行双廊游双古城
8天7晚|端午|直飞|多酒店可选
5.0分 | 已售26人
2990起/人","4.4分
高档型"
杭州,丽江,"自由行
丽江+大理+香格里拉 双飞丽江<丽江+泸沽湖+香格里拉+大理9天自由行>赠表演+接送机+专车使用
主题乐园多商圈海边客栈特色客栈
9天8晚|天天出发|直飞|多酒店可选
2940起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理+香格里拉 <双飞往返丽江>丽江、香格里拉、泸沽湖、大理9天自由行管家式服务（附攻略）
主题乐园多商圈海边客栈特色客栈
9天8晚|端午|多机票可选|多酒店可选
2488起/人","4.9分
舒适型"
杭州,丽江,"机酒自由行
丽江+大理+香格里拉 直飞丽江自由行5日丽江古城+特色客栈+赠拉市海.三股水.束河古镇一日游
多商圈特色客栈
5天4晚|端午|直飞|多酒店可选
2858起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+香格里拉 直飞丽江<丽江+香格里拉双飞6日自由行>赠歌舞表演丽水金沙+接送机+专车使用
多商圈特色客栈
6天5晚|端午|直飞|多酒店可选
2490起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+香格里拉 <超值往返直飞>丽江+香格里拉5天自由行 赠特色美食旅游车内附旅游攻略
多商圈特色客栈
5天4晚|天天出发|直飞|多酒店可选
2918起/人","4.9分
舒适型"
