PassengerId,Name,PClass,Age,Sex,Survived,SexCode,Title
80,"Davidson, Mr Thornton",1.0,31.0,male,0,0,Mr
81,"Davidson, Mrs Thornton (Orian Hays)",1.0,27.0,female,1,1,Mrs
82,"de Villiers, Madame Berthe",1.0,30.397989417989415,female,1,1,Mrs
83,"Dick, Mr Albert Adrian",1.0,31.0,male,1,0,Mr
84,"Dick, Mrs Albert Adrian Vera Gillespie",1.0,17.0,female,1,1,Mrs
85,"Dodge, Dr Washington",1.0,30.397989417989415,male,1,0,Mr
86,"Dodge, Mrs Washington (Ruth Vidaver)",1.0,30.397989417989415,female,1,1,Mrs
87,"Dodge, Master Washington",1.0,4.0,male,1,0,Mr
88,"Douglas, Mrs Frederick Charles (Suzette Baxter)",1.0,27.0,female,1,1,Mrs
89,"Douglas, Mr Walter Donald",1.0,50.0,male,0,0,Mr
90,"Douglas, Mrs Walter Donald (Mahala Dutton)",1.0,48.0,female,1,1,Mrs
91,"Duff Gordon, Sir Cosmo Edmund",1.0,49.0,male,1,0,Mr
92,"Duff Gordon, Lady (Lucille Wallace Sutherland)",1.0,48.0,female,1,1,Mrs
93,"Dulles, Mr William Crothers",1.0,39.0,male,0,0,Mr
94,"Earnshaw, Mrs Boulton (Olive Potter)",1.0,23.0,female,1,1,Mrs
95,"Eustis, Miss Elizabeth Mussey",1.0,53.0,female,1,1,Miss
96,"Evans, Miss Edith Corse",1.0,36.0,female,0,1,Miss
97,"Flegenheim, Mrs Alfred (Antoinette)",1.0,30.397989417989415,female,1,1,Mrs
98,"Flynn, Mr John Irving",1.0,30.397989417989415,male,1,0,Mr
99,"Foreman, Mr Benjamin Laventall",1.0,30.0,male,0,0,Mr
100,"Fortune, Miss Alice Elizabeth",1.0,24.0,female,1,1,Miss
101,"Fortune, Mr Charles Alexander",1.0,19.0,male,0,0,Mr
102,"Fortune, Miss Ethel Flora",1.0,28.0,female,1,1,Miss
103,"Fortune, Miss Mabel",1.0,23.0,female,1,1,Miss
104,"Fortune, Mr Mark",1.0,64.0,male,0,0,Mr
105,"Fortune, Mrs Mark (Mary McDougald)",1.0,60.0,female,1,1,Mrs
106,"Franklin, Mr Thomas Parham",1.0,30.397989417989415,male,0,0,Mr
107,"Frauenthal, Dr Henry William",1.0,49.0,male,1,0,Mr
108,"Frauenthal, Mrs Henry William (Clara Heinsheimer)",1.0,30.397989417989415,female,1,1,Mrs
109,"Frauenthal, Mr Isaac Gerald",1.0,44.0,male,1,0,Mr
110,"Frolicher, Miss Marguerite",1.0,22.0,female,1,1,Miss
111,"Frolicher-Stehli, Mr Maxmillian",1.0,60.0,male,1,0,Mr
112,"Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli)",1.0,48.0,female,1,1,Mrs
113,"Futrelle, Mr Jacques",1.0,37.0,male,0,0,Mr
114,"Futrelle, Mrs Jacques (May Peel)",1.0,35.0,female,1,1,Mrs
115,"Gee, Mr Arthur H",1.0,47.0,male,0,0,Mr
116,"Gibson, Miss Dorothy",1.0,22.0,female,1,1,Miss
117,"Gibson, Mrs Leonard (Pauline C Boeson)",1.0,45.0,female,1,1,Mrs
118,"Goldenberg, Mr Samuel L",1.0,49.0,male,1,0,Mr
119,"Goldenberg, Mrs Samuel L (Edwiga Grabowsko)",1.0,30.397989417989415,female,1,1,Mrs
120,"Goldschmidt, Mr George B",1.0,71.0,male,0,0,Mr
121,"Gracie, Colonel Archibald IV",1.0,54.0,male,1,0,Mr
122,"Graham, Mr George Edward",1.0,38.0,male,0,0,Mr
123,"Graham, Miss Margaret Edith",1.0,19.0,female,1,1,Miss
124,"Graham, Mrs William Thompson (Edith Junkins)",1.0,58.0,female,1,1,Mrs
125,"Greenfield, Mrs Leo David (Blanche Strouse)",1.0,45.0,female,1,1,Mrs
126,"Greenfield, Mr William Bertram",1.0,23.0,male,1,0,Mr
127,"Guggenheim, Mr Benjamin",1.0,46.0,male,0,0,Mr
128,"Harder, Mr George Achilles",1.0,25.0,male,1,0,Mr
129,"Harder, Mrs George Achilles (Dorothy Annan)",1.0,21.0,female,1,1,Mrs
130,"Harper, Mr Henry Sleeper",1.0,48.0,male,1,0,Mr
131,"Harper, Mrs Henry Sleeper (Myna Haxtun)",1.0,49.0,female,1,1,Mrs
132,"Harris, Mr Henry Birkhardt",1.0,45.0,male,0,0,Mr
133,"Harris, Mrs Henry Birkhardt (Irene Wallach)",1.0,36.0,female,1,1,Mrs
134,"Hawksford, Mr Walter James",1.0,30.397989417989415,male,1,0,Mr
135,"Hays, Mr Charles Melville",1.0,55.0,male,0,0,Mr
136,"Hays, Mrs Charles Melville (Clara Jennings Gregg)",1.0,52.0,female,1,1,Mrs
137,"Hays, Miss Margaret Bechstein",1.0,24.0,female,1,1,Miss
138,"Head, Mr Christopher",1.0,30.397989417989415,male,0,0,Mr
139,"Hilliard, Mr Herbert Henry",1.0,30.397989417989415,male,0,0,Mr
140,"Hipkins, Mr William Edward",1.0,30.397989417989415,male,0,0,Mr
141,"Hippach, Miss Jean Gertrude",1.0,16.0,female,1,1,Miss
142,"Hippach, Mrs Louis Albert (Ida Sophia Fischer)",1.0,44.0,female,1,1,Mrs
143,"Hogeboom, Mrs John C (Anna Andrews)",1.0,51.0,female,1,1,Mrs
144,"Holverson, Mr Alexander Oskar",1.0,42.0,male,0,0,Mr
145,"Holverson, Mrs Alexander Oskar (Mary Aline Towner)",1.0,35.0,female,1,1,Mrs
146,"Homer, Mr Harry",1.0,35.0,male,1,0,Mr
147,"Hoyt, Mr Frederick Maxfield",1.0,38.0,male,1,0,Mr
148,"Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)",1.0,35.0,female,1,1,Mrs
149,"Hoyt, Mr William F",1.0,30.397989417989415,male,0,0,Mr
150,"Isham, Miss Anne Elizabeth",1.0,50.0,female,0,1,Miss
151,"Ismay, Mr Joseph Bruce",1.0,49.0,male,1,0,Mr
152,"Jones, Mr Charles Cresson",1.0,46.0,male,0,0,Mr
153,"Julian, Mr Henry Forbes",1.0,30.397989417989415,male,0,0,Mr
154,"Kent, Mr Edward Austin",1.0,58.0,male,0,0,Mr
155,"Kenyon, Mr Frederick R",1.0,41.0,male,0,0,Mr
156,"Kenyon, Mrs Frederick R (Marion)",1.0,30.397989417989415,female,1,1,Mrs
157,"Kimball, Mr Edwin Nelson Jr",1.0,42.0,male,1,0,Mr
158,"Kimball, Mrs Edwin Nelson Jr (Gertrude Parsons)",1.0,40.0,female,1,1,Mrs
159,"Klaber, Mr Herman",1.0,30.397989417989415,male,0,0,Mr
160,"Leader, Dr Alice Farnham",1.0,30.397989417989415,female,1,1,Mrs
161,"Lewy, Mr Ervin G",1.0,30.397989417989415,male,0,0,Mr
162,"Lindeberg-Lind, Mr Erik Gustaf",1.0,42.0,male,0,0,Mr
163,"Lindstrom, Mrs Carl Johan (Sigrid Posse)",1.0,55.0,female,1,1,Mrs
164,"Lines, Mrs Ernest H (Elizabeth Lindsey James)",1.0,50.0,female,1,1,Mrs
165,"Lines, Miss Mary Conover",1.0,16.0,female,1,1,Miss
166,"Lingrey, Mr Edward",1.0,30.397989417989415,male,0,0,Mr
167,"Long, Mr Milton Clyde",1.0,29.0,male,0,0,Mr
168,"Longley, Miss Gretchen Fiske",1.0,21.0,female,1,1,Miss
169,"Loring, Mr Joseph Holland",1.0,30.0,male,0,0,Mr
170,"Madill, Miss Georgette Alexandra",1.0,15.0,female,1,1,Miss
171,"Maguire, Mr John Edward",1.0,30.0,male,0,0,Mr
172,"Marechal, Mr Pierre",1.0,30.397989417989415,male,1,0,Mr
173,"Marvin, Mr Daniel Warner",1.0,30.397989417989415,male,0,0,Mr
174,"Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson)",1.0,30.397989417989415,female,1,1,Mrs
175,"McCaffry, Mr Thomas Francis",1.0,46.0,male,0,0,Mr
176,"McCarthy, Mr Timothy J",1.0,54.0,male,0,0,Mr
177,"McGough, Mr James R",1.0,36.0,male,1,0,Mr
178,"Meyer, Mr Edgar Joseph",1.0,28.0,male,0,0,Mr
179,"Meyer, Mrs Edgar Joseph (Leila Saks)",1.0,30.397989417989415,female,1,1,Mrs
180,"Millet, Mr Francis Davis",1.0,65.0,male,0,0,Mr
181,"Minahan, Miss Daisy E",1.0,33.0,female,1,1,Miss
182,"Minahan, Dr William Edward",1.0,44.0,male,0,0,Mr
183,"Minahan, Mrs William Edward (Lillian E Thorpe)",1.0,37.0,female,1,1,Mrs
184,"Mock, Mr Philip E",1.0,30.397989417989415,male,1,0,Mr
185,"Molson, Mr Harry Markland",1.0,55.0,male,0,0,Mr
186,"Moore, Mr Clarence Bloomfield",1.0,47.0,male,0,0,Mr
187,"Natsch, Mr Charles H",1.0,36.0,male,0,0,Mr
188,"Newell, Mr Arthur Webster",1.0,58.0,male,0,0,Mr
189,"Newell, Miss Madeleine",1.0,31.0,female,1,1,Miss
190,"Newell, Miss Marjorie",1.0,23.0,female,1,1,Miss
191,"Newsom, Miss Helen Monypeny",1.0,19.0,female,1,1,Miss
192,"Nicholson, Mr Arthur Ernest",1.0,64.0,male,0,0,Mr
193,"Omont, Mr A Fernand",1.0,30.397989417989415,male,1,0,Mr
194,"Ostby, Mr Engelhart Cornelius",1.0,64.0,male,0,0,Mr
195,"Ostby, Miss Helen Raghnild",1.0,22.0,female,1,1,Miss
196,"Ovies y Rodriguez, Mr Servando",1.0,28.0,male,0,0,Mr
197,"Parr, Mr William Henry Marsh",1.0,30.397989417989415,male,0,0,Mr
198,"Partner, Mr Austin",1.0,30.397989417989415,male,0,0,Mr
199,"Payne, Mr Vivian Ponsonby",1.0,22.0,male,0,0,Mr
200,"Pears, Mr Thomas",1.0,30.397989417989415,male,0,0,Mr
201,"Pears, Mrs Thomas (Edith)",1.0,30.397989417989415,female,1,1,Mrs
202,"Penasco, Mr Victor de Satode",1.0,18.0,male,0,0,Mr
203,"Penasco, Mrs Victor de Satode (Josefa de Soto)",1.0,17.0,female,1,1,Mrs
204,"Peuchen, Major Arthur Godfrey",1.0,52.0,male,1,0,Mr
205,"Porter, Mr Walter Chamberlain",1.0,46.0,male,0,0,Mr
206,"Potter, Mrs Thomas, Jr (Lily Alexenia Wilson)",1.0,56.0,female,1,1,Mrs
207,"Reuchlin, Jonkheer John George",1.0,30.397989417989415,male,0,0,Mr
208,"Rheims, Mr George Lucien",1.0,30.397989417989415,male,1,0,Mr
209,"Robert, Mrs Edward Scott (Elisabeth Walton McMillan)",1.0,43.0,female,1,1,Mrs
210,"Roebling, Mr Washington Augustus 2nd",1.0,31.0,male,0,0,Mr
211,"Romaine, Mr Charles Hallace",1.0,30.397989417989415,male,1,0,Mr
212,"Rood, Mr Hugh R",1.0,30.397989417989415,male,0,0,Mr
213,"Rosenbaum (Russell), Miss Edith Louise",1.0,33.0,female,1,1,Miss
214,"Ross, Mr John Hugo",1.0,30.397989417989415,male,0,0,Mr
215,"Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes)",1.0,27.0,female,1,1,Mrs
216,"Rothschild, Mr Martin",1.0,55.0,male,0,0,Mr
217,"Rothschild, Mrs Martin (Elizabeth L Barrett)",1.0,54.0,female,1,1,Mrs
218,"Rowe, Mr Alfred G",1.0,30.397989417989415,male,0,0,Mr
219,"Ryerson, Mr Arthur Larned",1.0,61.0,male,0,0,Mr
220,"Ryerson, Mrs Arthur Larned (Emily Maria Borie)",1.0,48.0,female,1,1,Mrs
221,"Ryerson, Miss Emily Borie",1.0,18.0,female,1,1,Miss
222,"Ryerson, Master John Borie",1.0,13.0,male,1,0,Mr
223,"Ryerson, Miss Susan (Suzette) Parker",1.0,21.0,female,1,1,Miss
224,"Saalfeld, Mr Adolphe",1.0,30.397989417989415,male,1,0,Mr
225,"Salomon, Mr Abraham L",1.0,30.397989417989415,male,1,0,Mr
226,"Schabert, Mrs Paul (Emma Mock)",1.0,30.397989417989415,female,1,1,Mrs
227,"Seward, Mr Frederic Kimber",1.0,34.0,male,1,0,Mr
228,"Shutes, Miss Elizabeth W",1.0,40.0,female,1,1,Miss
229,"Silverthorne, Mr Spencer Victor",1.0,36.0,male,1,0,Mr
230,"Silvey, Mr William Baird",1.0,50.0,male,0,0,Mr
231,"Silvey, Mrs William Baird (Alice Munger)",1.0,39.0,female,1,1,Mrs
232,"Simonius-Blumer, Col Alfons",1.0,56.0,male,1,0,Mr
233,"Sloper, Mr William Thompson",1.0,28.0,male,1,0,Mr
234,"Smart, Mr John Montgomery",1.0,56.0,male,0,0,Mr
235,"Smith, Mr James Clinch",1.0,56.0,male,0,0,Mr
236,"Smith, Mr Lucien Philip",1.0,24.0,male,0,0,Mr
237,"Smith, Mrs Lucien Philip (Mary Eloise Hughes",1.0,18.0,female,1,1,Mrs
238,"Smith, Mr Richard William",1.0,30.397989417989415,male,0,0,Mr
239,"Snyder, Mr John Pillsbury",1.0,24.0,male,1,0,Mr
240,"Snyder, Mrs John Pillsbury (Nelle Stevenson)",1.0,23.0,female,1,1,Mrs
241,"Spedden, Mr Frederick Oakley",1.0,45.0,male,1,0,Mr
242,"Spedden, Mrs Frederick Oakley (Margaretta Corning Stone)",1.0,40.0,female,1,1,Mrs
243,"Spedden, Master Robert Douglas",1.0,6.0,male,1,0,Mr
244,"Spencer, Mr William Augustus",1.0,57.0,male,0,0,Mr
245,"Spencer, Mrs William Augustus (Marie Eugenie)",1.0,30.397989417989415,female,1,1,Mrs
246,"Staehlin, Dr Max",1.0,32.0,male,1,0,Mr
247,"Stead, Mr William Thomas",1.0,62.0,male,0,0,Mr
248,"Stengel, Mr Charles Emil Henry",1.0,54.0,male,1,0,Mr
249,"Stengel, Mrs Charles Emil Henry (Annie May Morris)",1.0,43.0,female,1,1,Mrs
250,"Stephenson, Mrs Walter Bertram (Martha Eustis)",1.0,52.0,female,1,1,Mrs
251,"Stewart, Mr Albert A",1.0,30.397989417989415,male,0,0,Mr
252,"Stone, Mrs George Nelson (Martha E)",1.0,62.0,female,1,1,Mrs
253,"Straus, Mr Isidor",1.0,67.0,male,0,0,Mr
254,"Straus, Mrs Isidor (Ida Blun)",1.0,63.0,female,0,1,Mrs
255,"Sutton, Mr Frederick",1.0,61.0,male,0,0,Mr
256,"Swift, Mrs Frederick Joel (Margaret Welles Barron)",1.0,46.0,female,1,1,Mrs
257,"Taussig, Mr Emil",1.0,52.0,male,0,0,Mr
258,"Taussig, Mrs Emil (Tillie Mandelbaum)",1.0,39.0,female,1,1,Mrs
259,"Taussig, Miss Ruth",1.0,18.0,female,1,1,Miss
260,"Taylor, Mr Elmer Zebley",1.0,48.0,male,1,0,Mr
261,"Taylor, Mrs Elmer Zebley (Juliet Cummins Wright)",1.0,30.397989417989415,female,1,1,Mrs
262,"Thayer, Mr John Borland",1.0,49.0,male,0,0,Mr
263,"Thayer, Mrs John Borland (Marian Longstreth Morris)",1.0,39.0,female,1,1,Mrs
264,"Thayer, Mr John Borland, jr",1.0,17.0,male,1,0,Mr
265,"Thorne, Mr George (alias of: Mr George Rosenshine)",1.0,46.0,male,0,0,Mr
266,"Thorne, Mrs Gertrude Maybelle",1.0,30.397989417989415,female,1,1,Mrs
267,"Tucker, Mr Gilbert Milligan, jr",1.0,31.0,male,1,0,Mr
268,"Uruchurtu, Mr Manuel E",1.0,30.397989417989415,male,0,0,Mr
269,"Van Derhoef, Mr Wyckoff",1.0,61.0,male,0,0,Mr
270,"Walker, Mr William Anderson",1.0,47.0,male,0,0,Mr
271,"Warren, Mr Frank Manley",1.0,64.0,male,0,0,Mr
272,"Warren, Mrs Frank Manley (Anna S Atkinson)",1.0,60.0,female,1,1,Mrs
273,"Weir, Col John",1.0,60.0,male,0,0,Mr
274,"White, Mrs J Stuart (Ella Holmes)",1.0,55.0,female,1,1,Mrs
275,"White, Mr Percival Wayland",1.0,54.0,male,0,0,Mr
276,"White, Mr Richard Frasar",1.0,21.0,male,0,0,Mr
277,"Wick, Mr George Dennick",1.0,57.0,male,0,0,Mr
278,"Wick, Mrs George Dennick (Martha Hitchcock)",1.0,45.0,female,1,1,Mrs
279,"Wick, Miss Mary Natalie",1.0,31.0,female,1,1,Miss
280,"Widener, Mr George Dunton",1.0,50.0,male,0,0,Mr
281,"Widener, Mrs George Dunton (Eleanor Elkins)",1.0,50.0,female,1,1,Mrs
282,"Widener, Mr Harry Elkins",1.0,27.0,male,0,0,Mr
283,"Willard, Miss Constance",1.0,20.0,female,1,1,Miss
284,"Williams, Mr Charles Duane",1.0,51.0,male,0,0,Mr
285,"Williams, Mr Fletcher Lambert",1.0,30.397989417989415,male,0,0,Mr
286,"Williams, Mr Richard Norris II",1.0,21.0,male,1,0,Mr
287,"Woolner, Mr Hugh",1.0,30.397989417989415,male,1,0,Mr
288,"Wright, Mr George",1.0,30.397989417989415,male,0,0,Mr
289,"Young, Miss Marie Grice",1.0,36.0,female,1,1,Miss
290,"Barber, Ms ",1.0,30.397989417989415,female,1,1,Miss
291,"Bazzani, Ms Albina",1.0,30.397989417989415,female,1,1,Miss
292,"Bidois, Miss Rosalie",1.0,30.397989417989415,female,1,1,Miss
293,"Bird, Ms Ellen",1.0,30.397989417989415,female,1,1,Miss
294,"Bissetti, Ms Amelia",1.0,30.397989417989415,female,1,1,Miss
295,"Burns, Ms Elizabeth Margaret",1.0,30.397989417989415,female,1,1,Miss
296,"Chaudanson, Ms         Victorine",1.0,30.397989417989415,female,1,1,Miss
297,"Cleaver, Ms Alice",1.0,30.397989417989415,female,1,1,Miss
298,"Daniels, Ms Sarah",1.0,30.397989417989415,female,1,1,Miss
299,"Endres, Miss Caroline Louise",1.0,30.397989417989415,female,1,1,Miss
300,"Farthing, Mr John",1.0,30.397989417989415,male,0,0,Mr
301,"Fleming, Ms Margaret",1.0,30.397989417989415,female,0,1,Miss
302,"Francatelli, Ms Laura Mabel",1.0,30.397989417989415,female,1,1,Miss
303,"Fry, Mr Richard",1.0,30.397989417989415,male,0,0,Mr
304,"Geiger, Miss Emily ",1.0,30.397989417989415,female,1,1,Miss
305,"Giglio, Mr Victor",1.0,30.397989417989415,male,0,0,Mr
306,"Harrington, Mr Charles",1.0,30.397989417989415,male,0,0,Mr
307,"Harrison, Mr William   Henry",1.0,40.0,male,0,0,Mr
308,"Hassah, Mr Hamad",1.0,30.397989417989415,male,0,0,Mr
309,"Icabad (Icabod), Ms",1.0,30.397989417989415,female,1,1,Mrs
310,"Keeping, Mr Edwin",1.0,32.0,male,0,0,Mr
311,"Kenchen, Ms Amelia",1.0,30.397989417989415,female,1,1,Miss
312,"LeRoy, Miss Berthe",1.0,30.397989417989415,female,1,1,Miss
313,"Lesneur, Mr Gustave",1.0,30.397989417989415,male,0,0,Mr
314,"Maloney, Ms",1.0,30.397989417989415,female,1,1,Mrs
315,"Oliva, Mlle",1.0,30.397989417989415,female,0,1,Mrs
316,"Pericault, Ms",1.0,30.397989417989415,female,1,1,Mrs
317,"Ringhini, Mr Sante",1.0,33.0,male,0,0,Mr
318,"Robbins, Mr Victor",1.0,30.397989417989415,male,0,0,Mr
319,"Segesser, Mlle Emma",1.0,30.397989417989415,female,1,1,Miss
320,"Seredeca, Ms",1.0,30.397989417989415,female,0,1,Mrs
321,"Ward, Ms Anna",1.0,30.397989417989415,female,0,1,Miss
322,"Wilson, Ms Helen",1.0,30.397989417989415,female,1,1,Miss
323,"Abelson, Mr Samuel",2.0,30.0,male,0,0,Mr
324,"Abelson, Mrs Samuel (Anna)",2.0,28.0,female,1,1,Mrs
325,"Andrew, Mr Edgar Samuel",2.0,18.0,male,0,0,Mr
326,"Andrew, Mr Frank",2.0,30.397989417989415,male,0,0,Mr
327,"Angle, Mr William A",2.0,34.0,male,0,0,Mr
328,"Angle, Mrs William A (Florence)",2.0,32.0,female,1,1,Mrs
329,"Ashby, Mr John",2.0,57.0,male,0,0,Mr
330,"Bailey, Mr Percy Andrew",2.0,18.0,male,0,0,Mr
331,"Baimbrigge, Mr Charles R",2.0,23.0,male,0,0,Mr
332,"Balls, Mrs Ada E Hall",2.0,36.0,female,1,1,Mrs
333,"Banfield, Mr Frederick J",2.0,28.0,male,0,0,Mr
334,"Bateman, Rev Robert James",2.0,51.0,male,0,0,Mr
335,"Beane, Mr Edward",2.0,32.0,male,1,0,Mr
336,"Beane, Mrs Edward (Ethel Clarke)",2.0,19.0,female,1,1,Mrs
337,"Beauchamp, Mr Henry James",2.0,28.0,male,0,0,Mr
338,"Becker, Mrs Allen Oliver (Nellie E Baumgardner)",2.0,36.0,female,1,1,Mrs
339,"Becker, Miss Marion Louise",2.0,4.0,female,1,1,Miss
340,"Becker, Master Richard F",2.0,1.0,male,1,0,Mr
341,"Becker, Miss Ruth Elizabeth",2.0,12.0,female,1,1,Miss
342,"Beesley, Mr Lawrence",2.0,34.0,male,1,0,Mr
343,"Bentham, Miss Lilian W",2.0,19.0,female,1,1,Miss
344,"Berriman, Mr William S",2.0,23.0,male,0,0,Mr
345,"Botsford, Mr William Hull",2.0,26.0,male,0,0,Mr
346,"Bowenur, Mr Solomon",2.0,30.397989417989415,male,0,0,Mr
347,"Bracken, Mr James H",2.0,27.0,male,0,0,Mr
348,"Brown, Miss Edith E",2.0,15.0,female,1,1,Miss
349,"Brown, Mr Thomas William Solomon",2.0,45.0,male,0,0,Mr
