排名,名稱,網址,圖片,價格
14,[MUJI無印良品]無選別年輪蛋糕/紅茶/1個【保存期限至2020/10/19】,https://www.books.com.tw/products/N001203042?loc=P_0004_014,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/120/30/N001203042.jpg&v=5f17db80&w=150&h=150,優惠價：69元
15,為什麼不能等一下：王宏哲給孩子的情緒教育繪本,https://www.books.com.tw/products/0010863227?loc=P_0004_015,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/32/0010863227.jpg&v=5f05ae3d&w=150&h=150,優惠價：79折284元
16,【OMORY】#304不鏽鋼法式餐具組(附收納袋)-藍色,https://www.books.com.tw/products/N001145481?loc=P_0004_016,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/114/54/N001145481.jpg&v=5ea29411&w=150&h=150,優惠價：85折339元
17,黃阿瑪的後宮生活 貓咪超有事1-貓奴的崩潰與歡愉日記,https://www.books.com.tw/products/0010866664?loc=P_0004_017,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/66/0010866664.jpg&v=5f2e2778&w=150&h=150,優惠價：79折261元
18,小學生年度學習行事曆 （附「超實用10種教學情境表格」別冊）：班級經營×教學備課×親師溝通，一本搞定！,https://www.books.com.tw/products/0010866328?loc=P_0004_018,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/63/0010866328.jpg&v=5f33c4b5&w=150&h=150,優惠價：79折379元
19,Shadowing跟讀法︰神奇打造日語表現力（MP3免費下載）,https://www.books.com.tw/products/0010863984?loc=P_0004_019,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/39/0010863984.jpg&v=5f0c37b7&w=150&h=150,優惠價：79折277元
20,[MUJI無印良品]聚丙烯檔案盒.標準型.1/2,https://www.books.com.tw/products/N001196444?loc=P_0004_020,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/119/64/N001196444.jpg&v=5f2d1cfc&w=150&h=150,優惠價：89元
21,豐蔬食：超過200道你不知道的人氣蔬食料理推薦！,https://www.books.com.tw/products/0010864834?loc=P_0004_021,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/48/0010864834.jpg&v=5f20f87c&w=150&h=150,優惠價：79折356元
22,大會計師教你從財報數字看懂產業本質,https://www.books.com.tw/products/0010864916?loc=P_0004_022,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/49/0010864916.jpg&v=5f18233d&w=150&h=150,優惠價：79折332元
23,心念自癒力：突破中醫、西醫的心療法,https://www.books.com.tw/products/0010865137?loc=P_0004_023,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/51/0010865137.jpg&v=5f157253&w=150&h=150,優惠價：79折300元
24,每天10分鐘，親子互動英文【數字篇】：第一本全家一起玩、一起學的親子英文課本（附贈VRP虛擬點讀筆App + 1CD + 教學手冊）,https://www.books.com.tw/products/0010862693?loc=P_0004_024,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/26/0010862693.jpg&v=5ef1cbba&w=150&h=150,優惠價：79折236元
25,為什麼要睡覺？：睡出健康與學習力、夢出創意的新科學,https://www.books.com.tw/products/0010813161?loc=P_0004_025,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/081/31/0010813161.jpg&v=5e4bcabb&w=150&h=150,優惠價：79折363元
26,被討厭的勇氣：自我啟發之父「阿德勒」的教導,https://www.books.com.tw/products/0010653153?loc=P_0004_026,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/065/31/0010653153.jpg&v=543baa1a&w=150&h=150,優惠價：79折237元
27,[MUJI無印良品]無選別年輪蛋糕/楓糖/1個【保存期限至2020/10/19】,https://www.books.com.tw/products/N001203044?loc=P_0004_027,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/120/30/N001203044.jpg&v=5f17db81&w=150&h=150,優惠價：69元
28,彼得原理：暢銷50年商管巨作！揭露公司充滿無能人物的理由,https://www.books.com.tw/products/0010860154?loc=P_0004_028,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/01/0010860154.jpg&v=5ecf92b7&w=150&h=150,優惠價：79折269元
29,【日本ORIM今治毛巾】MELANGER超輕量純棉格子手帕毛巾 ‧今樣紅,https://www.books.com.tw/products/N001011318?loc=P_0004_029,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/101/13/N001011318.jpg&v=5c4a95b7&w=150&h=150,優惠價：65折96元
30,[MUJI無印良品]無選別年輪蛋糕/咖啡/1個【保存期限至2020/10/19】,https://www.books.com.tw/products/N001203045?loc=P_0004_030,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/120/30/N001203045.jpg&v=5f17db81&w=150&h=150,優惠價：69元
31,魚丁糸 / 魚丁糸LOGO徽章組,https://www.books.com.tw/products/0020218483?loc=P_0004_031,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/021/84/0020218483.jpg&v=5f2d1811&w=150&h=150,優惠價：350元
32,電影限定雙書套組 《可不可以，你也剛好喜歡我？》+《謝謝你，也剛好喜歡我》,https://www.books.com.tw/products/0010849821?loc=P_0004_032,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/084/98/0010849821.jpg&v=5e452541&w=150&h=150,優惠價：72折482元
33,泡泡精靈1：尋找魔力星星果,https://www.books.com.tw/products/0010862075?loc=P_0004_033,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/20/0010862075.jpg&v=5ee9f0bc&w=150&h=150,優惠價：79折221元
34,斜槓青年【實踐版】：成為內控者，建立幸福人生的正向迴圈,https://www.books.com.tw/products/0010864593?loc=P_0004_034,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/45/0010864593.jpg&v=5f0d89cf&w=150&h=150,優惠價：79折253元
35,大人的性愛相談：不是長大自然就會，親密關係的探索解答之書,https://www.books.com.tw/products/0010862823?loc=P_0004_035,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/28/0010862823.jpg&v=5f05ae3d&w=150&h=150,優惠價：79折269元
36,富爸爸，窮爸爸（20週年紀念版）,https://www.books.com.tw/products/0010791121?loc=P_0004_036,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/079/11/0010791121.jpg&v=5b3231d0&w=150&h=150,優惠價：79折300元
37,新制多益 NEW TOEIC 單字大全：2018起多益更新單字資訊完全掌握！(附13小時8種版本MP3),https://www.books.com.tw/products/0010771883?loc=P_0004_037,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/077/18/0010771883.jpg&v=5a2531bb&w=150&h=150,優惠價：79折394元
38,迪士尼小熊維尼-造型藍芽喇叭,https://www.books.com.tw/products/N001206883?loc=P_0004_038,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/120/68/N001206883.jpg&v=5f290fe0&w=150&h=150,優惠價：850元
39,ESTEE LAUDER 雅詩蘭黛 粉嫩慾望潤色護唇膏(3.2g)-百貨公司貨,https://www.books.com.tw/products/N001150758?loc=P_0004_039,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/115/07/N001150758.jpg&v=5e4de1d0&w=150&h=150,優惠價：688元
40,請問財富‧無極瑤池金母親傳財富心法：為你解開貧窮困頓、喚醒靈魂的富足意識！,https://www.books.com.tw/products/0010866665?loc=P_0004_040,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/66/0010866665.jpg&v=5f2cd5f8&w=150&h=150,優惠價：79折379元
41,全新制怪物講師教學團隊的TOEIC 多益單字＋文法＋5回全真模擬試題+解析【網路獨家套書】（3書＋2CD＋防水書套）,https://www.books.com.tw/products/0010866258?loc=P_0004_041,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/62/0010866258.jpg&v=5f214fd9&w=150&h=150,優惠價：66折725元
42,李鳳山飪養之道（修訂版）：用心涵養‧放大素養,https://www.books.com.tw/products/0010810528?loc=P_0004_042,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/081/05/0010810528.jpg&v=5c2c3b79&w=150&h=150,優惠價：79折284元
43,麥肯錫都用這8招做到 超效率生產力：一流人才需要的不是聰明頭腦，也不是好人緣，而是「快、準、好」！,https://www.books.com.tw/products/0010786540?loc=P_0004_043,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/078/65/0010786540.jpg&v=5ae99403&w=150&h=150,優惠價：9折270元
44,[MUJI無印良品]可收納多用途頸枕/深藍.約27x58cm,https://www.books.com.tw/products/N001081452?loc=P_0004_044,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/108/14/N001081452.jpg&v=5d37fe70&w=150&h=150,優惠價：990元
45,學習的領導打造成長的團隊：如何與團隊共同突破困境達到結果,https://www.books.com.tw/products/0010826818?loc=P_0004_045,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/68/0010826818.jpg&v=5d149ad0&w=150&h=150,優惠價：9折405元
46,原子習慣：細微改變帶來巨大成就的實證法則,https://www.books.com.tw/products/0010822522?loc=P_0004_046,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/25/0010822522.jpg&v=5cda990c&w=150&h=150,優惠價：79折261元
47,Mestemacher 麥大師 德國健康麵包 Fitmess Bread 500g,https://www.books.com.tw/products/N001123925?loc=P_0004_047,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/112/39/N001123925.jpg&v=5dd50904&w=150&h=150,優惠價：149元
48,緘默的病人（博客來獨家書衣+作者燙金簽名版）,https://www.books.com.tw/products/0010864389?loc=P_0004_048,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/43/0010864389.jpg&v=5f0d894c&w=150&h=150,優惠價：79折315元
49,電商人妻社群圈粉思維：單月從0到萬，讓流量變現的品牌爆紅經營心法,https://www.books.com.tw/products/0010866969?loc=P_0004_049,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/69/0010866969.jpg&v=5f2bdbaa&w=150&h=150,優惠價：79折300元
50,地下鐵 全,https://www.books.com.tw/products/0010862186?loc=P_0004_050,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/21/0010862186.jpg&v=5eeb423e&w=150&h=150,優惠價：85折119元
51,任天堂 Nintendo Switch 電光藍&紅 Joy-Con 主機 續航力加強版 支援繁體中文介面[台灣公司貨]電光藍&紅,https://www.books.com.tw/products/N001138188?loc=P_0004_051,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/113/81/N001138188.jpg&v=5e0e9e11&w=150&h=150,優惠價：13290元
52,來生別哭【博客來獨家書封永恆版】(限量發售 溫如生親筆簽名書),https://www.books.com.tw/products/0010866806?loc=P_0004_052,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/68/0010866806.jpg&v=5f2938dd&w=150&h=150,優惠價：79折269元
53,【南門市場快車】招牌特厚蜜汁豬肉乾(95g),https://www.books.com.tw/products/N000265519?loc=P_0004_053,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/026/55/N000265519.jpg&v=5b8ce697&w=150&h=150,優惠價：95折114元
54,[MUJI無印良品]無選別年輪蛋糕/香蕉/1個【保存期限至2020/10/19】,https://www.books.com.tw/products/N001203041?loc=P_0004_054,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/120/30/N001203041.jpg&v=5f17db80&w=150&h=150,優惠價：69元
55,Carol的世界烘焙地圖：到不了的地方，就用甜點吧！,https://www.books.com.tw/products/0010866259?loc=P_0004_055,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/62/0010866259.jpg&v=5f214faa&w=150&h=150,優惠價：75折600元
56,養出內心強大的孩子（博客來獨家版）：全球都在學的矽谷教養法，幫孩子配備未來最重要的人生實力,https://www.books.com.tw/products/0010864629?loc=P_0004_056,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/46/0010864629.jpg&v=5f0edae8&w=150&h=150,優惠價：79折332元
57,奇蹟英語講師帶你從0解構多益TOEIC單字文法（暢銷紀念版附作者親繪明信片）,https://www.books.com.tw/products/0010865697?loc=P_0004_057,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/56/0010865697.jpg&v=5f1966ba&w=150&h=150,優惠價：79折355元
58,慢慢致富：告別金錢焦慮，77天思考練習不再害怕負債、低薪、沒工作，打造財務幸福循環,https://www.books.com.tw/products/0010865671?loc=P_0004_058,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/56/0010865671.jpg&v=5f1966b5&w=150&h=150,優惠價：79折253元
59,大會計師教你從財報數字看懂經營本質,https://www.books.com.tw/products/0010825332?loc=P_0004_059,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/53/0010825332.jpg&v=5d038542&w=150&h=150,優惠價：79折300元
60,月刊VOLLEYBALL 9月號/2020,https://www.books.com.tw/products/J030093792?loc=P_0004_060,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/J03/009/37/J030093792.jpg&v=5f338c6c&w=150&h=150,優惠價：389元
61,Mestemacher 麥大師 德國裸麥粗麵包  500g,https://www.books.com.tw/products/N001123933?loc=P_0004_061,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/112/39/N001123933.jpg&v=5dd50bd1&w=150&h=150,優惠價：149元
62,aibo PVC表層 輕巧高滑順滑鼠墊(18x22cm),https://www.books.com.tw/products/N000902301?loc=P_0004_062,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/090/23/N000902301.jpg&v=5a82599e&w=150&h=150,優惠價：150元
63,田馥甄 / 無人知曉 (典藏白膠LP版),https://www.books.com.tw/products/0020218560?loc=P_0004_063,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/021/85/0020218560.jpg&v=5f36301d&w=150&h=150,優惠價：1500元
64,【日本ORIM今治毛巾】QULACHIC經典天然純棉毛巾 ‧白梅灰,https://www.books.com.tw/products/N001011299?loc=P_0004_064,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/101/12/N001011299.jpg&v=5c41a2f1&w=150&h=150,優惠價：65折239元
65,【大師兄銷魂麵舖】大師兄銷魂拌麵 粗麵,https://www.books.com.tw/products/N001066539?loc=P_0004_065,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/106/65/N001066539.jpg&v=5cf7c055&w=150&h=150,優惠價：65元
66,【義美】原味貝果 (6個/包 附草莓果醬),https://www.books.com.tw/products/N011491929?loc=P_0004_066,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N01/149/19/N011491929.jpg&v=5cc3b7a1&w=150&h=150,優惠價：170元
67,阿甘投資法：不看盤、不選股、不挑買點也能穩穩賺,https://www.books.com.tw/products/0010858721?loc=P_0004_067,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/085/87/0010858721.jpg&v=5ebe6f39&w=150&h=150,優惠價：79折332元
68,如果歷史是一群喵(6)：魏晉南北篇【萌貓漫畫學歷史】,https://www.books.com.tw/products/0010866262?loc=P_0004_068,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/62/0010866262.jpg&v=5f214fab&w=150&h=150,優惠價：79折356元
69,人工擁抱,https://www.books.com.tw/products/0010859832?loc=P_0004_069,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/085/98/0010859832.jpg&v=5ecb9e2e&w=150&h=150,優惠價：79折526元
70,魅力學：無往不利的自我經營術,https://www.books.com.tw/products/0010773456?loc=P_0004_070,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/077/34/0010773456.jpg&v=5a2e5e6c&w=150&h=150,優惠價：75折285元
71,正常人,https://www.books.com.tw/products/0010861316?loc=P_0004_071,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/13/0010861316.jpg&v=5ee1dd8b&w=150&h=150,優惠價：79折300元
72,【新市區農會】毛豆香鬆 220g/包,https://www.books.com.tw/products/N001144871?loc=P_0004_072,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/114/48/N001144871.jpg&v=5e38ea27&w=150&h=150,優惠價：200元
73,養心日月談：迎進正向能量，開啟靈性生活,https://www.books.com.tw/products/0010747353?loc=P_0004_073,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/074/73/0010747353.jpg&v=58fece0c&w=150&h=150,優惠價：7折224元
74,角落小夥伴  魔法繪本裡的新朋友：紙上電影書(角落生物),https://www.books.com.tw/products/0010858874?loc=P_0004_074,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/085/88/0010858874.jpg&v=5ec4aec6&w=150&h=150,優惠價：79折237元
75,沛特斯救髮B咖啡因洗髮精(稀疏髮質)946ml/32oz,https://www.books.com.tw/products/N001119079?loc=P_0004_075,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/111/90/N001119079.jpg&v=5f1aa0f7&w=150&h=150,優惠價：359元
76,【日本ORIM今治毛巾】QULACHIC經典天然純棉毛巾 ‧松葉綠,https://www.books.com.tw/products/N001011301?loc=P_0004_076,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/101/13/N001011301.jpg&v=5c41a2f1&w=150&h=150,優惠價：65折239元
77,【日本ORIM今治毛巾】QULACHIC經典天然純棉毛巾 ‧薄櫻粉,https://www.books.com.tw/products/N001011298?loc=P_0004_077,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/101/12/N001011298.jpg&v=5c41a2f1&w=150&h=150,優惠價：65折239元
78,安德尼斯烘焙坊的祕密：每日完售！吳克己的烘焙關鍵技法，在家重現店內的40款秒殺麵包,https://www.books.com.tw/products/0010864950?loc=P_0004_078,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/49/0010864950.jpg&v=5f117dc2&w=150&h=150,優惠價：9折378元
79,任天堂 Nintendo Switch《集合啦！動物森友會》中文版 [台灣公司貨],https://www.books.com.tw/products/N001113385?loc=P_0004_079,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/111/33/N001113385.jpg&v=5e3d616c&w=150&h=150,優惠價：1790元
80,好日子｜天然蠶絲牙線 線圈補充包,https://www.books.com.tw/products/N000926610?loc=P_0004_080,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/092/66/N000926610.jpg&v=5ae29500&w=150&h=150,優惠價：90元
81,正向聚焦：有效肯定的三十種變化，點燃孩子的內在動力,https://www.books.com.tw/products/0010865257?loc=P_0004_081,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/52/0010865257.jpg&v=5f33c4b3&w=150&h=150,優惠價：79折300元
82,劉以豪 / U (預購版),https://www.books.com.tw/products/0020218518?loc=P_0004_082,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/021/85/0020218518.jpg&v=5f3259df&w=150&h=150,優惠價：300元
83,[MUJI無印良品]軟質聚乙烯收納盒/大,https://www.books.com.tw/products/N000896748?loc=P_0004_083,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/089/67/N000896748.jpg&v=5a61bee0&w=150&h=150,優惠價：299元
84,【OMORY】#304不鏽鋼法式餐具組(附收納袋)-黑色,https://www.books.com.tw/products/N001145482?loc=P_0004_084,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/114/54/N001145482.jpg&v=5ea29362&w=150&h=150,優惠價：85折339元
85,迷蹤,https://www.books.com.tw/products/0010861105?loc=P_0004_085,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/11/0010861105.jpg&v=5ede132f&w=150&h=150,優惠價：79折308元
86,《EXCELSA》素面織紋圓餐墊(岩灰),https://www.books.com.tw/products/N011679512?loc=P_0004_086,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N01/167/95/N011679512.jpg&v=5dd4ae5b&w=150&h=150,優惠價：85折219元
87,青春豬頭少年不會夢到迷惘女歌手 豪華限定版（博客來獨家）,https://www.books.com.tw/products/0010865293?loc=P_0004_087,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/52/0010865293.jpg&v=5f16c400&w=150&h=150,優惠價：1350元
88,[MUJI無印良品]自由換芯膠墨筆芯/黑0.38mm,https://www.books.com.tw/products/N001076538?loc=P_0004_088,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/107/65/N001076538.jpg&v=5d8c6791&w=150&h=150,優惠價：19元
89,屁屁偵探讀本：被怪盜盯上的新娘,https://www.books.com.tw/products/0010863254?loc=P_0004_089,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/32/0010863254.jpg&v=5efc65c7&w=150&h=150,優惠價：79折221元
90,從讀到寫，林怡辰的閱讀教育：用閱讀、寫作， 讓無動力孩子愛上學習,https://www.books.com.tw/products/0010812361?loc=P_0004_090,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/081/23/0010812361.jpg&v=5c4ae52f&w=150&h=150,優惠價：79折253元
91,每道傷心的坎，都是通往幸福的階梯,https://www.books.com.tw/products/0010809449?loc=P_0004_091,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/080/94/0010809449.jpg&v=5c1b6f44&w=150&h=150,優惠價：79折221元
92,【SunFlower三花】三花90度隱形五趾襪.五指襪.襪子_黑,https://www.books.com.tw/products/N000738766?loc=P_0004_092,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/073/87/N000738766.jpg&v=5ea10a51&w=150&h=150,優惠價：180元
93,三菱UMR-109鋼珠筆芯0.5黑,https://www.books.com.tw/products/N011372898?loc=P_0004_093,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N01/137/28/N011372898.jpg&v=5b3c7613&w=150&h=150,優惠價：32元
94,[MUJI無印良品]有機棉天竺枕套/43/混淺灰,https://www.books.com.tw/products/N000907269?loc=P_0004_094,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/090/72/N000907269.jpg&v=5aa0ec19&w=150&h=150,優惠價：9折189元
95,你在左邊放了一句再見【日落巴黎‧雋永版】,https://www.books.com.tw/products/0010864300?loc=P_0004_095,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/43/0010864300.jpg&v=5f084331&w=150&h=150,優惠價：79折284元
96,Mestemacher 麥大師 德國鄉村黑麵包  500g,https://www.books.com.tw/products/N001123934?loc=P_0004_096,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/112/39/N001123934.jpg&v=5dd50c85&w=150&h=150,優惠價：149元
97,LION日本獅王 肌潤保濕沐浴乳補充包 茉莉玫瑰 360ml,https://www.books.com.tw/products/N000923238?loc=P_0004_097,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/092/32/N000923238.jpg&v=5ad7188f&w=150&h=150,優惠價：85折158元
98,【日本ORIM今治毛巾】QULACHIC經典天然純棉手巾 ‧群青藍,https://www.books.com.tw/products/N001011305?loc=P_0004_098,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/101/13/N001011305.jpg&v=5c4a95b5&w=150&h=150,優惠價：65折122元
99,任天堂NS Switch 健身環大冒險(RingFit Advanture)同捆組-台灣公司貨,https://www.books.com.tw/products/N001099540?loc=P_0004_099,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/109/95/N001099540.jpg&v=5dbfdeba&w=150&h=150,優惠價：4980元
100,韓國書籍 韓劇 雖然是精神病但沒關係 繪本 - ˊ真正真正的臉孔找到了 (韓國進口版),https://www.books.com.tw/products/0020218505?loc=P_0004_100,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/021/85/0020218505.jpg&v=5f321e14&w=150&h=150,優惠價：628元
